SNR,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
-20,0.0956060606060606,0.095,0.091060606060606,0.0953030303030303,0.095,0.0951515151515151,0.0945454545454545,0.0948484848484848,0.0969696969696969,0.0975757575757575,0.0956060606060606,0.0954545454545454,0.0951515151515151,0.0954545454545454,0.0965151515151515,0.0984848484848484,0.0968181818181818,0.0992424242424242,0.0959090909090909,0.0974242424242424,0.0975757575757575,0.095,0.0977272727272727,0.0986363636363636,0.0995454545454545,0.0986363636363636,0.1009090909090909,0.1036363636363636,0.1074242424242424,0.1069696969696969,0.106060606060606,0.1081818181818181,0.1134848484848484,0.1190909090909091,0.1207575757575757,0.1275757575757575,0.1263636363636363,0.1296969696969697
-18,0.0963636363636363,0.0978787878787878,0.0963636363636363,0.0965151515151515,0.0972727272727272,0.0959090909090909,0.096060606060606,0.0962121212121212,0.0993939393939394,0.0951515151515151,0.0995454545454545,0.0956060606060606,0.0966666666666666,0.0986363636363636,0.0978787878787878,0.1012121212121212,0.0981818181818181,0.1015151515151515,0.0971212121212121,0.0995454545454545,0.0995454545454545,0.1007575757575757,0.0998484848484848,0.1001515151515151,0.1027272727272727,0.1019696969696969,0.1054545454545454,0.1081818181818181,0.1087878787878788,0.1113636363636363,0.1146969696969697,0.118030303030303,0.1221212121212121,0.1224242424242424,0.1245454545454545,0.1268181818181818,0.1292424242424242,0.13757575757575757
-16,0.094090909090909,0.1006060606060606,0.0969696969696969,0.1,0.1022727272727272,0.1028787878787878,0.1006060606060606,0.1018181818181818,0.1006060606060606,0.1012121212121212,0.1036363636363636,0.1018181818181818,0.1007575757575757,0.1059090909090909,0.1019696969696969,0.1022727272727272,0.1072727272727272,0.1028787878787878,0.106060606060606,0.1075757575757575,0.1045454545454545,0.1096969696969697,0.1098484848484848,0.1106060606060606,0.1121212121212121,0.1148484848484848,0.1119696969696969,0.1157575757575757,0.1177272727272727,0.1222727272727272,0.1254545454545454,0.1245454545454545,0.1351515151515151,0.1383333333333333,0.1424242424242424,0.1443939393939394,0.1496969696969697,0.15378787878787878
-14,0.1131818181818181,0.1215151515151515,0.1269696969696969,0.1263636363636363,0.1306060606060606,0.1265151515151515,0.1309090909090909,0.128030303030303,0.1307575757575757,0.1363636363636363,0.1348484848484848,0.1390909090909091,0.1327272727272727,0.1401515151515151,0.1325757575757575,0.1415151515151515,0.1381818181818181,0.141060606060606,0.1407575757575757,0.1453030303030303,0.1439393939393939,0.1401515151515151,0.148030303030303,0.1454545454545454,0.145,0.1463636363636363,0.1525757575757576,0.1578787878787878,0.1636363636363636,0.163030303030303,0.1628787878787878,0.1686363636363636,0.1777272727272727,0.1818181818181818,0.1854545454545454,0.1857575757575757,0.1919696969696969,0.19727272727272727
-12,0.1365151515151515,0.1642424242424242,0.1719696969696969,0.1743939393939394,0.1695454545454545,0.1715151515151515,0.1698484848484848,0.1736363636363636,0.1734848484848485,0.1789393939393939,0.1765151515151515,0.1793939393939393,0.1787878787878788,0.1789393939393939,0.1777272727272727,0.18,0.1768181818181818,0.1836363636363636,0.1862121212121212,0.1862121212121212,0.1856060606060606,0.1906060606060606,0.191060606060606,0.1969696969696969,0.1957575757575757,0.1987878787878788,0.2037878787878788,0.2092424242424242,0.2119696969696969,0.2248484848484848,0.2227272727272727,0.2309090909090909,0.2378787878787878,0.2448484848484848,0.2519696969696969,0.2507575757575757,0.2637878787878788,0.2643939393939394
-10,0.2143939393939394,0.245,0.2619696969696969,0.2607575757575757,0.2553030303030303,0.2507575757575757,0.2521212121212121,0.255,0.2509090909090909,0.2578787878787879,0.2569696969696969,0.2581818181818182,0.26,0.2659090909090909,0.2628787878787879,0.2642424242424242,0.2666666666666666,0.2624242424242424,0.2716666666666666,0.275,0.2759090909090909,0.2796969696969697,0.283030303030303,0.2862121212121212,0.2865151515151515,0.2957575757575758,0.3001515151515151,0.3162121212121212,0.3248484848484848,0.326060606060606,0.3281818181818182,0.3368181818181818,0.356969696969697,0.3478787878787879,0.3598484848484848,0.3645454545454545,0.378030303030303,0.3828787878787879
-8,0.3125757575757575,0.3589393939393939,0.3766666666666666,0.3757575757575757,0.3842424242424242,0.386060606060606,0.3890909090909091,0.3901515151515151,0.3875757575757576,0.3956060606060606,0.4022727272727273,0.4004545454545454,0.406969696969697,0.4012121212121212,0.4087878787878788,0.4059090909090909,0.4233333333333333,0.4142424242424242,0.4212121212121212,0.4203030303030303,0.4268181818181818,0.4254545454545455,0.4328787878787878,0.4337878787878788,0.4407575757575757,0.4436363636363636,0.4472727272727272,0.4662121212121212,0.4739393939393939,0.4875757575757575,0.4787878787878787,0.4827272727272727,0.5068181818181818,0.5001515151515151,0.5157575757575757,0.5224242424242425,0.5343939393939394,0.5342424242424243
-6,0.4369696969696969,0.4889393939393939,0.5066666666666667,0.5160606060606061,0.5292424242424243,0.5371212121212121,0.5551515151515152,0.5559090909090909,0.565,0.57,0.5737878787878787,0.5790909090909091,0.5777272727272728,0.5865151515151515,0.6007575757575757,0.5928787878787879,0.6028787878787879,0.6042424242424242,0.6133333333333333,0.6086363636363636,0.6139393939393939,0.6265151515151515,0.6210606060606061,0.6248484848484849,0.6343939393939394,0.6416666666666667,0.6398484848484849,0.661969696969697,0.6675757575757576,0.671969696969697,0.6787878787878788,0.6793939393939394,0.6987878787878787,0.6962121212121212,0.7065151515151515,0.7124242424242424,0.7222727272727273,0.7237878787878788
-4,0.5513636363636364,0.6075757575757575,0.6224242424242424,0.639090909090909,0.6516666666666666,0.6559090909090909,0.6757575757575758,0.6751515151515152,0.6872727272727273,0.6909090909090909,0.6966666666666667,0.7016666666666667,0.7112121212121212,0.718030303030303,0.7275757575757575,0.725,0.7298484848484849,0.7381818181818182,0.7315151515151516,0.7446969696969697,0.7490909090909091,0.7495454545454545,0.7521212121212121,0.7546969696969696,0.7639393939393939,0.7659090909090909,0.7709090909090909,0.7974242424242424,0.7957575757575758,0.798939393939394,0.8101515151515152,0.806969696969697,0.8246969696969697,0.8265151515151515,0.8293939393939394,0.8275757575757576,0.8390909090909091,0.8433333333333334
-2,0.6359090909090909,0.7209090909090909,0.733030303030303,0.745,0.7703030303030303,0.7687878787878788,0.7874242424242425,0.7865151515151515,0.8003030303030303,0.7981818181818182,0.8037878787878788,0.8084848484848485,0.8148484848484848,0.826060606060606,0.8207575757575758,0.8315151515151515,0.8278787878787879,0.8319696969696969,0.8393939393939394,0.8422727272727273,0.8506060606060606,0.8442424242424242,0.8524242424242424,0.8516666666666667,0.8553030303030303,0.8563636363636363,0.8660606060606061,0.8757575757575757,0.8739393939393939,0.8784848484848485,0.8765151515151515,0.8783333333333333,0.8854545454545455,0.8887878787878788,0.8874242424242424,0.891969696969697,0.8959090909090909,0.8974242424242425
