SNR,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
-20,0.0945454545454545,0.0956060606060606,0.0959090909090909,0.0937878787878787,0.0924242424242424,0.095,0.0946969696969697,0.0943939393939393,0.0984848484848484,0.0943939393939393,0.0974242424242424,0.096060606060606,0.0937878787878787,0.095,0.094090909090909,0.0965151515151515,0.0957575757575757,0.0974242424242424,0.0972727272727272,0.0989393939393939,0.0984848484848484,0.0989393939393939,0.0993939393939394,0.1021212121212121,0.1001515151515151,0.1039393939393939,0.1031818181818181,0.1057575757575757,0.1053030303030303,0.1075757575757575,0.1054545454545454,0.10515151515151515
-18,0.0922727272727272,0.0956060606060606,0.0956060606060606,0.0962121212121212,0.0971212121212121,0.0996969696969697,0.0968181818181818,0.0966666666666666,0.0959090909090909,0.096060606060606,0.0965151515151515,0.0972727272727272,0.0971212121212121,0.0986363636363636,0.0998484848484848,0.0987878787878787,0.1001515151515151,0.1003030303030303,0.101060606060606,0.1021212121212121,0.0998484848484848,0.1031818181818181,0.1048484848484848,0.1051515151515151,0.1059090909090909,0.1039393939393939,0.1095454545454545,0.1066666666666666,0.1081818181818181,0.109090909090909,0.1103030303030303,0.10924242424242424
-16,0.094090909090909,0.098030303030303,0.0968181818181818,0.0981818181818181,0.0995454545454545,0.1012121212121212,0.1019696969696969,0.1028787878787878,0.1024242424242424,0.1028787878787878,0.1031818181818181,0.1025757575757575,0.1057575757575757,0.1048484848484848,0.1039393939393939,0.1051515151515151,0.108030303030303,0.1084848484848484,0.1066666666666666,0.111060606060606,0.1089393939393939,0.1131818181818181,0.1148484848484848,0.1136363636363636,0.1177272727272727,0.1145454545454545,0.1162121212121212,0.1184848484848484,0.1198484848484848,0.1221212121212121,0.1231818181818181,0.12333333333333334
-14,0.1093939393939393,0.1190909090909091,0.125,0.1263636363636363,0.1259090909090909,0.1303030303030303,0.1259090909090909,0.1315151515151515,0.1381818181818181,0.1292424242424242,0.13,0.135,0.1387878787878788,0.1418181818181818,0.1359090909090909,0.1366666666666666,0.1395454545454545,0.1433333333333333,0.1431818181818182,0.1466666666666666,0.1453030303030303,0.1513636363636363,0.1521212121212121,0.1522727272727272,0.1551515151515151,0.155,0.1604545454545454,0.1642424242424242,0.1633333333333333,0.1633333333333333,0.1703030303030303,0.16424242424242425
-12,0.1436363636363636,0.1651515151515151,0.1707575757575757,0.1713636363636363,0.1681818181818181,0.1657575757575757,0.1754545454545454,0.1731818181818182,0.1836363636363636,0.1763636363636363,0.1772727272727272,0.1789393939393939,0.176060606060606,0.1839393939393939,0.1818181818181818,0.1833333333333333,0.1837878787878787,0.1903030303030303,0.1977272727272727,0.1925757575757575,0.195,0.2003030303030303,0.2054545454545454,0.2033333333333333,0.2048484848484848,0.2068181818181818,0.2115151515151515,0.2159090909090909,0.2134848484848484,0.2212121212121212,0.2189393939393939,0.22272727272727272
-10,0.2148484848484848,0.243030303030303,0.2469696969696969,0.2554545454545454,0.2539393939393939,0.2437878787878787,0.2495454545454545,0.26,0.253030303030303,0.2572727272727272,0.2554545454545454,0.2589393939393939,0.2645454545454545,0.2674242424242424,0.2693939393939394,0.2687878787878788,0.2763636363636363,0.2765151515151515,0.2807575757575757,0.2824242424242424,0.2971212121212121,0.3022727272727272,0.2990909090909091,0.3081818181818181,0.3095454545454545,0.3109090909090909,0.3143939393939394,0.3240909090909091,0.325,0.3277272727272727,0.3333333333333333,0.3328787878787879
-8,0.3065151515151515,0.3586363636363636,0.3684848484848484,0.3690909090909091,0.376060606060606,0.3966666666666666,0.3881818181818182,0.3943939393939394,0.3939393939393939,0.3924242424242424,0.4021212121212121,0.4024242424242424,0.413030303030303,0.411969696969697,0.4162121212121212,0.42,0.4343939393939394,0.4263636363636364,0.4346969696969697,0.4418181818181818,0.4490909090909091,0.4568181818181818,0.4595454545454545,0.4653030303030303,0.4716666666666667,0.4724242424242424,0.4874242424242424,0.4810606060606061,0.4959090909090909,0.4925757575757575,0.4957575757575757,0.5009090909090909
-6,0.4339393939393939,0.5010606060606061,0.5045454545454545,0.5243939393939394,0.5371212121212121,0.5472727272727272,0.5601515151515152,0.5621212121212121,0.5622727272727273,0.5742424242424242,0.5786363636363636,0.5872727272727273,0.5831818181818181,0.6010606060606061,0.5937878787878788,0.6119696969696969,0.618030303030303,0.6195454545454545,0.6181818181818182,0.6206060606060606,0.6304545454545455,0.6377272727272727,0.6448484848484849,0.6516666666666666,0.6504545454545455,0.6537878787878788,0.6678787878787878,0.6728787878787879,0.6745454545454546,0.666060606060606,0.6753030303030303,0.6851515151515152
-4,0.5362121212121213,0.62,0.6386363636363637,0.6431818181818182,0.6559090909090909,0.6706060606060606,0.6786363636363636,0.6963636363636364,0.6986363636363636,0.7137878787878787,0.7112121212121212,0.7175757575757575,0.7254545454545455,0.7275757575757575,0.7393939393939394,0.745,0.7672727272727272,0.7663636363636364,0.7698484848484849,0.7795454545454545,0.7728787878787878,0.7953030303030303,0.796969696969697,0.8043939393939394,0.7965151515151515,0.8040909090909091,0.8095454545454546,0.8162121212121212,0.8228787878787879,0.8153030303030303,0.8251515151515152,0.8275757575757576
-2,0.6257575757575757,0.7195454545454546,0.7284848484848485,0.7457575757575757,0.7695454545454545,0.7803030303030303,0.7904545454545454,0.806969696969697,0.81,0.8203030303030303,0.82,0.8259090909090909,0.8293939393939394,0.8363636363636363,0.833030303030303,0.8433333333333334,0.8596969696969697,0.8657575757575757,0.8668181818181818,0.8646969696969697,0.8671212121212121,0.8760606060606061,0.8822727272727273,0.8822727272727273,0.8825757575757576,0.8828787878787879,0.8913636363636364,0.8906060606060606,0.894090909090909,0.8936363636363637,0.8948484848484849,0.8968181818181818
