SNR,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
-20,0.093030303030303,0.0925757575757575,0.0924242424242424,0.0924242424242424,0.0936363636363636,0.0966666666666666,0.093030303030303,0.0959090909090909,0.0928787878787878,0.0956060606060606,0.094090909090909,0.0956060606060606,0.0971212121212121,0.0968181818181818,0.0965151515151515,0.0951515151515151,0.0965151515151515,0.0963636363636363,0.0977272727272727,0.098030303030303,0.0992424242424242,0.0972727272727272,0.1004545454545454,0.1015151515151515,0.1025757575757575,0.1059090909090909,0.1059090909090909,0.1072727272727272,0.1074242424242424,0.1087878787878788,0.1093939393939393,0.1133333333333333,0.1174242424242424,0.11712121212121213
-18,0.0943939393939393,0.095,0.0954545454545454,0.098030303030303,0.0969696969696969,0.096060606060606,0.0966666666666666,0.0953030303030303,0.0956060606060606,0.0966666666666666,0.0983333333333333,0.0956060606060606,0.0965151515151515,0.0974242424242424,0.1,0.0981818181818181,0.0981818181818181,0.1021212121212121,0.1018181818181818,0.1033333333333333,0.1006060606060606,0.0993939393939394,0.1040909090909091,0.1065151515151515,0.1066666666666666,0.1086363636363636,0.1093939393939393,0.1107575757575757,0.1142424242424242,0.1163636363636363,0.1203030303030303,0.1268181818181818,0.1212121212121212,0.12484848484848485
-16,0.0933333333333333,0.0934848484848484,0.0966666666666666,0.1007575757575757,0.1046969696969696,0.1009090909090909,0.1048484848484848,0.1016666666666666,0.1036363636363636,0.1039393939393939,0.1033333333333333,0.1056060606060606,0.1074242424242424,0.101060606060606,0.1053030303030303,0.1075757575757575,0.106060606060606,0.1074242424242424,0.1071212121212121,0.1069696969696969,0.1103030303030303,0.109090909090909,0.1093939393939393,0.1122727272727272,0.1171212121212121,0.118030303030303,0.1201515151515151,0.1242424242424242,0.1303030303030303,0.1296969696969697,0.1325757575757575,0.1372727272727272,0.1406060606060606,0.1431818181818182
-14,0.11,0.1204545454545454,0.1221212121212121,0.1287878787878787,0.1265151515151515,0.133030303030303,0.1284848484848484,0.1301515151515151,0.1304545454545454,0.1346969696969697,0.1363636363636363,0.1348484848484848,0.1340909090909091,0.1371212121212121,0.1378787878787878,0.1396969696969697,0.14,0.1412121212121212,0.1396969696969697,0.1433333333333333,0.1437878787878788,0.1477272727272727,0.1471212121212121,0.1531818181818181,0.1562121212121212,0.1590909090909091,0.1616666666666666,0.1686363636363636,0.1753030303030303,0.1739393939393939,0.1769696969696969,0.185,0.191060606060606,0.18848484848484848
-12,0.1421212121212121,0.1684848484848485,0.1634848484848484,0.17,0.1687878787878788,0.1728787878787878,0.1713636363636363,0.1768181818181818,0.176060606060606,0.1807575757575757,0.1812121212121212,0.1787878787878788,0.1843939393939394,0.1874242424242424,0.1859090909090909,0.1834848484848484,0.1913636363636363,0.1846969696969697,0.1901515151515151,0.1918181818181818,0.1915151515151515,0.1942424242424242,0.1951515151515151,0.208030303030303,0.2104545454545454,0.211060606060606,0.2159090909090909,0.2277272727272727,0.2254545454545454,0.2322727272727272,0.2312121212121212,0.2456060606060606,0.2481818181818181,0.24924242424242424
-10,0.2095454545454545,0.2477272727272727,0.2546969696969697,0.2524242424242424,0.2472727272727272,0.2495454545454545,0.2469696969696969,0.2537878787878788,0.2527272727272727,0.2577272727272727,0.2507575757575757,0.26,0.2654545454545454,0.265,0.2606060606060606,0.2687878787878788,0.2753030303030303,0.2743939393939394,0.2813636363636363,0.2807575757575757,0.2874242424242424,0.289090909090909,0.288030303030303,0.3034848484848484,0.3145454545454546,0.3168181818181818,0.3222727272727272,0.3345454545454545,0.3393939393939394,0.346969696969697,0.348030303030303,0.3648484848484848,0.3636363636363636,0.3751515151515151
-8,0.3145454545454546,0.3516666666666667,0.3696969696969697,0.3812121212121212,0.3798484848484848,0.3883333333333333,0.3912121212121212,0.3906060606060606,0.3953030303030303,0.3996969696969697,0.4018181818181818,0.4037878787878788,0.4116666666666667,0.4160606060606061,0.4165151515151515,0.4093939393939394,0.4203030303030303,0.4245454545454545,0.4298484848484848,0.4407575757575757,0.4407575757575757,0.4524242424242424,0.4445454545454545,0.4663636363636363,0.4690909090909091,0.4824242424242424,0.4816666666666667,0.5060606060606061,0.5043939393939394,0.5089393939393939,0.5145454545454545,0.5339393939393939,0.5322727272727272,0.5354545454545454
-6,0.428030303030303,0.4916666666666666,0.5071212121212121,0.5286363636363637,0.531969696969697,0.5493939393939394,0.556060606060606,0.5659090909090909,0.5737878787878787,0.5743939393939393,0.5854545454545454,0.5918181818181818,0.5918181818181818,0.5995454545454545,0.598030303030303,0.6043939393939394,0.6075757575757575,0.6140909090909091,0.6131818181818182,0.6145454545454545,0.6263636363636363,0.6248484848484849,0.6337878787878788,0.6506060606060606,0.6609090909090909,0.6612121212121213,0.6690909090909091,0.6863636363636364,0.6942424242424242,0.6995454545454546,0.701060606060606,0.7153030303030303,0.7203030303030303,0.7274242424242424
-4,0.5463636363636364,0.618030303030303,0.6386363636363637,0.6554545454545454,0.6598484848484848,0.6724242424242424,0.6813636363636364,0.6887878787878788,0.7033333333333334,0.706060606060606,0.7103030303030303,0.7251515151515151,0.7192424242424242,0.7316666666666667,0.7353030303030303,0.7377272727272727,0.7527272727272727,0.7524242424242424,0.7562121212121212,0.7630303030303031,0.7596969696969696,0.7672727272727272,0.7639393939393939,0.7878787878787878,0.7943939393939394,0.7995454545454546,0.7953030303030303,0.8181818181818182,0.8227272727272728,0.8222727272727273,0.8253030303030303,0.8374242424242424,0.8409090909090909,0.8384848484848485
-2,0.6174242424242424,0.7124242424242424,0.7362121212121212,0.7593939393939394,0.7653030303030303,0.7854545454545454,0.7957575757575758,0.8034848484848485,0.8009090909090909,0.8136363636363636,0.8265151515151515,0.8281818181818181,0.8313636363636364,0.8343939393939394,0.8381818181818181,0.8409090909090909,0.850909090909091,0.843939393939394,0.8583333333333333,0.8545454545454545,0.8554545454545455,0.8581818181818182,0.8589393939393939,0.8751515151515151,0.8809090909090909,0.8807575757575757,0.8810606060606061,0.8904545454545455,0.8922727272727272,0.8918181818181818,0.8953030303030303,0.8984848484848484,0.8963636363636364,0.8981818181818182
0,0.6743939393939394,0.7665151515151515,0.8036363636363636,0.8216666666666667,0.8403030303030303,0.8495454545454545,0.8578787878787879,0.8636363636363636,0.87,0.88,0.881969696969697,0.8893939393939394,0.8931818181818182,0.8912121212121212,0.8959090909090909,0.8971212121212121,0.8998484848484849,0.9006060606060606,0.902121212121212,0.9031818181818182,0.9078787878787878,0.907121212121212,0.9065151515151516,0.9142424242424242,0.9096969696969696,0.9128787878787878,0.9140909090909092,0.9180303030303032,0.9193939393939394,0.9180303030303032,0.9186363636363636,0.9209090909090908,0.9190909090909092,0.9198484848484848
2,0.6878787878787879,0.7971212121212121,0.8268181818181818,0.8386363636363636,0.8519696969696969,0.8712121212121212,0.8766666666666667,0.8815151515151515,0.8912121212121212,0.8930303030303031,0.8989393939393939,0.9083333333333332,0.9075757575757576,0.9075757575757576,0.9159090909090908,0.908939393939394,0.9113636363636364,0.9177272727272728,0.9172727272727272,0.9172727272727272,0.916969696969697,0.916969696969697,0.916969696969697,0.922121212121212,0.9237878787878788,0.92,0.9209090909090908,0.9231818181818182,0.9231818181818182,0.9234848484848484,0.9236363636363636,0.9243939393939394,0.9233333333333332,0.9228787878787879
4,0.6945454545454546,0.8054545454545454,0.833939393939394,0.8428787878787879,0.8619696969696969,0.8740909090909091,0.8818181818181818,0.8933333333333333,0.899090909090909,0.8984848484848484,0.9065151515151516,0.9125757575757576,0.9130303030303032,0.9174242424242424,0.9175757575757576,0.9181818181818182,0.9183333333333332,0.9172727272727272,0.9213636363636364,0.922121212121212,0.9231818181818182,0.9203030303030304,0.9251515151515152,0.9253030303030304,0.9248484848484848,0.922878787878788,0.925,0.9281818181818182,0.928939393939394,0.9262121212121212,0.9284848484848484,0.927121212121212,0.9281818181818182,0.9271212121212121
6,0.6984848484848485,0.8125757575757576,0.8415151515151515,0.8607575757575757,0.8693939393939394,0.88,0.8889393939393939,0.895,0.9001515151515151,0.9051515151515152,0.9075757575757576,0.9154545454545454,0.9165151515151516,0.9192424242424242,0.9207575757575758,0.9181818181818182,0.9184848484848483,0.9224242424242424,0.9209090909090908,0.9245454545454546,0.9213636363636364,0.9227272727272728,0.9268181818181818,0.9245454545454546,0.9266666666666666,0.9262121212121212,0.9296969696969696,0.9283333333333332,0.9286363636363636,0.9263636363636364,0.9257575757575758,0.9284848484848484,0.9265151515151516,0.9277272727272727
8,0.703939393939394,0.8077272727272727,0.8433333333333334,0.8556060606060606,0.8715151515151515,0.8893939393939394,0.8928787878787878,0.895,0.8992424242424243,0.9080303030303032,0.911969696969697,0.9172727272727272,0.9156060606060606,0.9140909090909092,0.9174242424242424,0.9206060606060606,0.9251515151515152,0.9207575757575758,0.9248484848484848,0.9231818181818182,0.9253030303030304,0.9243939393939394,0.923939393939394,0.9283333333333332,0.9286363636363636,0.9256060606060608,0.926060606060606,0.9283333333333332,0.9284848484848484,0.9292424242424242,0.93,0.9307575757575758,0.9292424242424242,0.9286363636363636
10,0.7084848484848485,0.8116666666666666,0.8471212121212122,0.8587878787878788,0.8683333333333333,0.8825757575757576,0.8934848484848484,0.8968181818181818,0.9013636363636364,0.9080303030303032,0.9096969696969696,0.9140909090909092,0.9163636363636364,0.9177272727272728,0.9207575757575758,0.922121212121212,0.9213636363636364,0.9240909090909092,0.9203030303030304,0.9245454545454546,0.921818181818182,0.9215151515151516,0.9251515151515152,0.9283333333333332,0.9283333333333332,0.926060606060606,0.9254545454545454,0.9268181818181818,0.928030303030303,0.93,0.93,0.9303030303030304,0.9284848484848484,0.93
12,0.7048484848484848,0.8124242424242424,0.8416666666666667,0.8569696969696969,0.8668181818181818,0.8821212121212121,0.8856060606060606,0.895,0.9013636363636364,0.9080303030303032,0.9095454545454544,0.9136363636363636,0.9131818181818182,0.9162121212121213,0.9186363636363636,0.9196969696969696,0.9201515151515152,0.9216666666666666,0.9268181818181818,0.9224242424242424,0.9215151515151516,0.9245454545454546,0.9213636363636364,0.9265151515151516,0.9284848484848484,0.9231818181818182,0.9283333333333332,0.9292424242424242,0.9286363636363636,0.927878787878788,0.927878787878788,0.9303030303030304,0.9268181818181818,0.9295454545454546
14,0.7086363636363636,0.813939393939394,0.838939393939394,0.8528787878787879,0.8701515151515151,0.8781818181818182,0.894090909090909,0.8945454545454545,0.8937878787878788,0.9066666666666666,0.9087878787878788,0.911818181818182,0.9181818181818182,0.9192424242424242,0.9204545454545454,0.9213636363636364,0.9207575757575758,0.9209090909090908,0.9237878787878788,0.9224242424242424,0.923030303030303,0.9225757575757576,0.9240909090909092,0.927121212121212,0.9283333333333332,0.926969696969697,0.9284848484848484,0.928030303030303,0.9295454545454546,0.9290909090909092,0.9292424242424242,0.9298484848484848,0.9306060606060608,0.9262121212121213
16,0.698030303030303,0.816969696969697,0.833939393939394,0.8501515151515151,0.8663636363636363,0.8825757575757576,0.8854545454545455,0.8936363636363637,0.8984848484848484,0.901969696969697,0.905,0.9131818181818182,0.9137878787878788,0.9195454545454546,0.9172727272727272,0.9124242424242424,0.9204545454545454,0.9206060606060606,0.9184848484848483,0.9180303030303032,0.9192424242424242,0.9234848484848484,0.9234848484848484,0.922878787878788,0.922121212121212,0.9225757575757576,0.9201515151515152,0.9231818181818182,0.9240909090909092,0.921060606060606,0.9225757575757576,0.9231818181818182,0.9225757575757576,0.9234848484848485
18,0.7063636363636364,0.8143939393939394,0.8431818181818181,0.8583333333333333,0.87,0.8757575757575757,0.8877272727272727,0.8939393939393939,0.8968181818181818,0.9065151515151516,0.9103030303030304,0.9151515151515152,0.915,0.9192424242424242,0.9195454545454546,0.921060606060606,0.9225757575757576,0.9224242424242424,0.923030303030303,0.9243939393939394,0.923030303030303,0.9207575757575758,0.918939393939394,0.9254545454545454,0.9254545454545454,0.9246969696969696,0.9233333333333332,0.922121212121212,0.9253030303030304,0.9231818181818182,0.9246969696969696,0.9262121212121212,0.9259090909090908,0.9233333333333333
Avg,0.4817196969696969,0.5525151515151515,0.571530303030303,0.583189393939394,0.5905833333333333,0.6005075757575757,0.6055151515151516,0.6102424242424243,0.6138106060606061,0.6189545454545454,0.6219242424242424,0.6265151515151515,0.6280757575757576,0.6304015151515151,0.6319242424242424,0.63225,0.6358712121212121,0.6364848484848484,0.638719696969697,0.6399621212121213,0.6409242424242424,0.6421969696969697,0.6428939393939394,0.6504924242424243,0.6529621212121212,0.6537272727272727,0.6551969696969697,0.6614848484848485,0.6635,0.6642575757575757,0.665780303030303,0.6714772727272728,0.6716363636363636,0.6728181818181819
