SNR,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42
-20,0.1045555555555555,0.1083611111111111,0.1059166666666666,0.1051944444444444,0.1090277777777777,0.1055555555555555,0.1073611111111111,0.1064722222222222,0.1071944444444444,0.1090277777777777,0.1071388888888889,0.1068611111111111,0.1099166666666666,0.1091388888888888,0.1101666666666666,0.1112777777777777,0.1132222222222222,0.1153888888888888,0.1177222222222222,0.1182222222222222,0.1221388888888889,0.1261666666666666,0.1282777777777777,0.1278055555555555,0.1279444444444444,0.1314722222222222,0.1357222222222222,0.1366944444444444,0.13675,0.1401666666666666,0.1421944444444444,0.15225,0.1576111111111111,0.1601666666666666,0.1633055555555555,0.16675,0.1801666666666666,0.1828888888888888,0.1868888888888888,0.1871666666666666,0.2003611111111111,0.2021111111111111,0.20433333333333334
-18,0.1109166666666666,0.1093888888888888,0.1091111111111111,0.1098055555555555,0.1106666666666666,0.1125,0.11225,0.1143611111111111,0.1132222222222222,0.1136388888888888,0.1112222222222222,0.1151944444444444,0.1158611111111111,0.11875,0.11925,0.1180833333333333,0.1211111111111111,0.1249166666666666,0.1338333333333333,0.1411388888888889,0.1475,0.1542222222222222,0.15625,0.1579444444444444,0.1658611111111111,0.1667222222222222,0.1718333333333333,0.1799166666666666,0.1800277777777778,0.1820833333333333,0.1825277777777778,0.2082222222222222,0.2181666666666666,0.2155,0.2226388888888889,0.2261111111111111,0.2410277777777777,0.2496944444444444,0.2517777777777777,0.2514722222222222,0.2646388888888888,0.2658611111111111,0.26658333333333334
-16,0.1175,0.1196944444444444,0.1218611111111111,0.1230277777777777,0.1248888888888888,0.1248055555555555,0.1246388888888888,0.1230833333333333,0.12475,0.1240555555555555,0.1276944444444444,0.1290277777777777,0.1295555555555555,0.1316666666666666,0.1316111111111111,0.1310833333333333,0.1357222222222222,0.1411666666666666,0.1536111111111111,0.1620555555555555,0.1688611111111111,0.1758888888888889,0.1860555555555555,0.1916111111111111,0.1981666666666666,0.2014166666666666,0.20525,0.2149166666666666,0.2163333333333333,0.2146388888888888,0.2168888888888888,0.2389722222222222,0.2447777777777778,0.2454444444444444,0.2506944444444444,0.2555555555555555,0.2686666666666666,0.2695,0.269,0.2710833333333333,0.2781666666666667,0.28225,0.28155555555555556
-14,0.1395555555555555,0.1493888888888888,0.1494722222222222,0.1550833333333333,0.1546111111111111,0.1569722222222222,0.1586111111111111,0.1583888888888888,0.1615555555555555,0.1627222222222222,0.1609166666666666,0.1648055555555555,0.1626666666666666,0.1657222222222222,0.1691944444444444,0.1704166666666666,0.1741388888888889,0.1835555555555555,0.1903333333333333,0.2036111111111111,0.2098333333333333,0.2174722222222222,0.2231944444444444,0.22775,0.2363333333333333,0.23575,0.2396111111111111,0.24375,0.2434722222222222,0.2466666666666666,0.2520833333333333,0.2593888888888889,0.2664722222222222,0.2649722222222222,0.2658055555555556,0.26775,0.2788333333333333,0.2800277777777777,0.2785,0.2860277777777777,0.2910555555555555,0.2902777777777778,0.29294444444444445
-12,0.1957777777777777,0.2005555555555555,0.2098611111111111,0.2125277777777778,0.2169722222222222,0.2178888888888888,0.2175833333333333,0.2180555555555555,0.21875,0.2177222222222222,0.2189444444444444,0.2250833333333333,0.2205,0.2250277777777777,0.2236944444444444,0.2272777777777777,0.2314444444444444,0.2378888888888889,0.2470833333333333,0.2549722222222222,0.2587777777777778,0.26625,0.2704444444444444,0.2718888888888889,0.2729444444444444,0.2763888888888889,0.2769166666666666,0.277,0.2811388888888889,0.2802777777777778,0.2859722222222222,0.2973611111111111,0.3008888888888889,0.3028888888888889,0.3049722222222222,0.3071111111111111,0.3201666666666666,0.3181388888888889,0.3228055555555555,0.3204444444444444,0.3307777777777778,0.3310833333333333,0.332
-10,0.2786111111111111,0.2869166666666666,0.2906944444444444,0.3003611111111111,0.3085555555555556,0.3086944444444444,0.3113055555555555,0.3123055555555555,0.3163611111111111,0.3156944444444444,0.3158611111111111,0.31725,0.3190555555555555,0.3225277777777778,0.3262777777777778,0.3257222222222222,0.3308055555555556,0.3349166666666666,0.3365,0.3438888888888889,0.34575,0.3518333333333333,0.3583333333333333,0.3585277777777778,0.3661111111111111,0.3646944444444444,0.3681944444444444,0.3726666666666666,0.37075,0.3749166666666667,0.3798333333333333,0.3941666666666666,0.3947777777777778,0.3996944444444444,0.4018611111111111,0.4038611111111111,0.4153888888888888,0.419,0.42025,0.4238333333333333,0.4326111111111111,0.4329166666666666,0.43422222222222223
-8,0.3675555555555556,0.39625,0.4000277777777777,0.4104166666666666,0.4135277777777777,0.4169166666666666,0.4247222222222222,0.4282222222222222,0.4316111111111111,0.4344722222222222,0.4391111111111111,0.4363055555555555,0.44325,0.4419444444444444,0.4451388888888888,0.44725,0.4509444444444444,0.4565833333333333,0.4658333333333333,0.4625555555555555,0.46775,0.4708611111111111,0.47775,0.4776944444444444,0.4851944444444444,0.4864444444444444,0.4931388888888889,0.4948611111111111,0.4966666666666666,0.498,0.5005833333333334,0.5170833333333333,0.5231111111111111,0.5275833333333333,0.5313888888888889,0.5365555555555556,0.54525,0.5480555555555555,0.5514722222222223,0.5526666666666666,0.5630277777777778,0.5659166666666666,0.5632777777777778
-6,0.4681666666666667,0.534,0.5547222222222222,0.5654444444444444,0.5650555555555555,0.5686388888888889,0.5759444444444445,0.5779722222222222,0.5805555555555556,0.5855277777777778,0.59125,0.59575,0.5988611111111111,0.6021111111111112,0.6031666666666666,0.61075,0.6076111111111111,0.6171111111111112,0.6240277777777777,0.6283055555555556,0.6281944444444445,0.6343055555555556,0.6365555555555555,0.6403611111111112,0.6417222222222222,0.6413888888888889,0.6449722222222222,0.6494166666666666,0.6520277777777778,0.6519444444444444,0.6573888888888889,0.6740277777777778,0.6771666666666667,0.6843333333333333,0.68375,0.6866944444444445,0.6996666666666667,0.7035555555555556,0.7031111111111111,0.70575,0.7123888888888888,0.7156111111111111,0.7143888888888889
-4,0.5986111111111111,0.6770833333333334,0.7050833333333333,0.7190277777777778,0.7294444444444445,0.7365555555555555,0.7407222222222222,0.74525,0.7494722222222222,0.7550555555555556,0.7564722222222222,0.7571388888888889,0.7625277777777778,0.7651111111111111,0.7705833333333333,0.7722222222222223,0.7758888888888889,0.7773055555555556,0.7783333333333333,0.7821388888888889,0.7823055555555556,0.7881111111111111,0.7889722222222222,0.7918055555555555,0.7917222222222222,0.7947777777777778,0.7954444444444444,0.8022222222222222,0.8028888888888889,0.8041388888888888,0.8070277777777778,0.8205,0.8213333333333334,0.8254444444444444,0.8256388888888889,0.8289444444444445,0.8375277777777778,0.8415833333333333,0.84175,0.8425277777777778,0.8464166666666667,0.8499722222222222,0.8506944444444444
-2,0.6998888888888889,0.7956666666666666,0.8297222222222222,0.8452222222222222,0.85425,0.8577777777777778,0.8614166666666667,0.8646666666666667,0.8676666666666667,0.8685277777777778,0.8738055555555555,0.8759444444444444,0.8761388888888889,0.88,0.8799166666666667,0.8811111111111111,0.88175,0.8822777777777778,0.8832777777777778,0.8861388888888889,0.8866111111111111,0.8867222222222222,0.8889166666666667,0.8900833333333333,0.8915833333333333,0.8931111111111111,0.8927777777777778,0.8938888888888888,0.8940555555555556,0.8959444444444444,0.8965,0.9038055555555556,0.9054444444444444,0.9069722222222222,0.9070833333333334,0.9085277777777778,0.9108333333333334,0.9121388888888888,0.9134166666666668,0.9116666666666666,0.9149722222222222,0.9131666666666668,0.9152222222222223
