SNR,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45
-20,0.1086111111111111,0.1060555555555555,0.1056666666666666,0.1079166666666666,0.1062777777777777,0.106,0.1065555555555555,0.1050555555555555,0.1060833333333333,0.1046111111111111,0.1098055555555555,0.10725,0.1091111111111111,0.10825,0.1089166666666666,0.1113055555555555,0.1131944444444444,0.1141666666666666,0.1203888888888888,0.1220833333333333,0.126,0.12425,0.1246111111111111,0.1303888888888889,0.1317777777777777,0.1317222222222222,0.1339722222222222,0.1384166666666666,0.14925,0.1548333333333333,0.1571666666666666,0.1564166666666666,0.1599722222222222,0.1767222222222222,0.1784722222222222,0.1819444444444444,0.1833888888888888,0.1843333333333333,0.1881944444444444,0.188,0.1982777777777777,0.2013611111111111,0.2035277777777777,0.2049444444444444,0.2115277777777778,0.21044444444444443
-18,0.1087222222222222,0.1089722222222222,0.1103888888888888,0.1098888888888888,0.1116666666666666,0.1147777777777777,0.1138611111111111,0.111,0.1150833333333333,0.1148055555555555,0.1145833333333333,0.1147222222222222,0.1158333333333333,0.1170277777777777,0.1180277777777777,0.11925,0.1214444444444444,0.12775,0.1376388888888889,0.1445555555555555,0.1504166666666666,0.1554722222222222,0.1581388888888888,0.1660277777777777,0.1690555555555555,0.1761111111111111,0.1736944444444444,0.1818055555555555,0.2055555555555555,0.2119722222222222,0.2156944444444444,0.2153055555555555,0.2223888888888888,0.2409166666666666,0.2436666666666666,0.2457777777777778,0.2479444444444444,0.2480555555555555,0.24875,0.2481944444444444,0.2614444444444444,0.26025,0.2649722222222222,0.2629722222222222,0.2708611111111111,0.27091666666666664
-16,0.1181944444444444,0.1214166666666666,0.1235277777777777,0.1253333333333333,0.1239444444444444,0.1265277777777777,0.1248055555555555,0.1281111111111111,0.1251388888888888,0.1278333333333333,0.1279166666666666,0.1285277777777777,0.1303333333333333,0.1289722222222222,0.1297222222222222,0.1309722222222222,0.1350277777777777,0.1454722222222222,0.1575277777777777,0.167,0.1780555555555555,0.1837777777777778,0.1925833333333333,0.2011666666666666,0.2023888888888889,0.2103333333333333,0.2117777777777778,0.2203055555555555,0.23675,0.2421388888888888,0.2437777777777778,0.2459722222222222,0.247,0.2614722222222222,0.26075,0.2653888888888889,0.2632222222222222,0.2664166666666667,0.2648055555555555,0.2669444444444444,0.2768333333333333,0.2744722222222222,0.2755277777777777,0.2743888888888889,0.2816666666666667,0.28247222222222224
-14,0.1425833333333333,0.1554722222222222,0.1554166666666666,0.1555555555555555,0.1590555555555555,0.1573611111111111,0.1601666666666666,0.1609444444444444,0.1621666666666666,0.1665833333333333,0.1630555555555555,0.1625555555555555,0.1651111111111111,0.1665,0.1644166666666666,0.1709722222222222,0.1739722222222222,0.1835,0.1969166666666666,0.2029166666666666,0.2161944444444444,0.2198055555555555,0.2271944444444444,0.2369444444444444,0.2365555555555555,0.2389444444444444,0.24075,0.2459722222222222,0.2561111111111111,0.2566388888888889,0.2613888888888889,0.2600277777777778,0.2609166666666667,0.2709444444444444,0.2720277777777777,0.2730555555555555,0.2743333333333333,0.2756388888888889,0.2773888888888889,0.2776666666666667,0.2851944444444444,0.2872777777777778,0.2840833333333333,0.2869444444444444,0.2899722222222222,0.28833333333333333
-12,0.1945,0.2041944444444444,0.2109722222222222,0.21525,0.2170555555555555,0.2200555555555555,0.2228333333333333,0.2204722222222222,0.2221388888888888,0.2189166666666666,0.2257222222222222,0.2226111111111111,0.2238611111111111,0.2229166666666666,0.2256944444444444,0.2284444444444444,0.2293888888888889,0.2418055555555555,0.2532222222222222,0.2638055555555555,0.2633055555555555,0.2684722222222222,0.2650833333333333,0.2744166666666666,0.2764444444444444,0.2743611111111111,0.2810277777777777,0.2841111111111111,0.28775,0.2897777777777778,0.2932222222222222,0.2919166666666666,0.2987222222222222,0.3072777777777777,0.3085555555555556,0.3097777777777777,0.3130277777777778,0.3130277777777778,0.3121944444444444,0.315,0.3188888888888889,0.3220555555555555,0.3201666666666666,0.3207777777777778,0.32475,0.32811111111111113
-10,0.2775555555555555,0.2833055555555555,0.2906388888888889,0.2962777777777777,0.3023333333333333,0.3054722222222222,0.3078611111111111,0.3097777777777777,0.3139166666666667,0.317,0.3178055555555555,0.3175833333333333,0.3231388888888888,0.3232777777777778,0.3233333333333333,0.3256388888888888,0.3319444444444444,0.3379722222222222,0.3458055555555555,0.3498888888888889,0.3506944444444444,0.3555,0.3571388888888889,0.3624722222222222,0.3623888888888888,0.36675,0.3661944444444444,0.3682222222222222,0.38225,0.3869722222222222,0.3919722222222222,0.3925833333333333,0.3906111111111111,0.4056111111111111,0.4046666666666667,0.4097777777777778,0.4078333333333333,0.4093333333333333,0.4112222222222222,0.4134444444444444,0.4183333333333333,0.4218055555555555,0.4231388888888889,0.4255277777777778,0.4262777777777777,0.4293888888888889
-8,0.3638333333333333,0.3911111111111111,0.3936666666666666,0.4014444444444444,0.4068333333333333,0.4109722222222222,0.4173611111111111,0.4208055555555555,0.4241666666666667,0.4268333333333333,0.4321666666666666,0.4341666666666666,0.4381111111111111,0.43925,0.4465555555555555,0.4428333333333333,0.4519444444444444,0.4579722222222222,0.46025,0.4629722222222222,0.4669166666666666,0.4753888888888889,0.4805,0.4831666666666667,0.4838611111111111,0.4911666666666666,0.49175,0.4926944444444444,0.51125,0.5135555555555555,0.51625,0.5233333333333333,0.5246666666666666,0.5325833333333333,0.5372777777777777,0.5438333333333333,0.5438333333333333,0.5459722222222222,0.5439444444444445,0.5468611111111111,0.5523333333333333,0.5564166666666667,0.5568333333333333,0.5576666666666666,0.5589166666666666,0.5645
-6,0.4705277777777777,0.5327777777777778,0.5559722222222222,0.5669722222222222,0.5663611111111111,0.5692777777777778,0.5726944444444444,0.5814166666666667,0.5811944444444445,0.5868611111111111,0.5897222222222223,0.5933333333333334,0.5979166666666667,0.6026666666666667,0.6038611111111111,0.6086111111111111,0.6118611111111111,0.6163055555555556,0.62175,0.6288611111111111,0.63125,0.6350833333333333,0.6352777777777778,0.6397222222222222,0.6443611111111112,0.6435833333333333,0.6493055555555556,0.6537222222222222,0.6688333333333333,0.6730277777777778,0.6771944444444444,0.6780277777777778,0.6835833333333333,0.6934722222222223,0.6962777777777778,0.6966111111111111,0.70125,0.7003888888888888,0.704,0.70725,0.7092222222222222,0.7118888888888889,0.7138055555555556,0.7142777777777778,0.7205277777777778,0.7186388888888889
-4,0.5926944444444444,0.67325,0.7052222222222222,0.7213333333333334,0.7307777777777777,0.7394166666666667,0.7435555555555555,0.7485555555555555,0.7518888888888889,0.7539166666666667,0.7600833333333333,0.7614444444444445,0.7653611111111112,0.7700555555555556,0.7710277777777778,0.7761388888888889,0.7762777777777777,0.7761944444444444,0.7811388888888889,0.7848055555555555,0.7874444444444444,0.79075,0.7926388888888889,0.79525,0.7985555555555556,0.7987222222222222,0.8000555555555555,0.8048055555555556,0.8159166666666666,0.8202222222222222,0.8223055555555555,0.8239444444444445,0.8268333333333333,0.8327222222222223,0.838,0.8378611111111111,0.8413888888888889,0.8425,0.8427222222222223,0.8429166666666666,0.8508055555555556,0.8493611111111111,0.8512777777777778,0.8503888888888889,0.85375,0.8544444444444445
-2,0.6958888888888889,0.7938611111111111,0.8280277777777778,0.8423055555555555,0.8505,0.8573055555555555,0.8603055555555555,0.8635555555555555,0.8687222222222222,0.8681388888888889,0.8723055555555556,0.8743888888888889,0.8755277777777778,0.8760833333333333,0.87875,0.8824444444444445,0.88025,0.8807777777777778,0.8831388888888889,0.8864166666666666,0.8855833333333333,0.8896388888888889,0.89,0.8922222222222222,0.8931388888888889,0.8925833333333333,0.8934722222222222,0.8955833333333333,0.9033888888888888,0.9055555555555556,0.904,0.9040833333333332,0.9055,0.9112777777777776,0.91225,0.91175,0.9110833333333334,0.9126666666666666,0.9114722222222222,0.91125,0.9154722222222222,0.9137777777777778,0.9145833333333332,0.9171666666666668,0.9163055555555556,0.9168888888888889
