SNR,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51
-20,0.1058055555555555,0.1075,0.1057222222222222,0.1063611111111111,0.1065833333333333,0.1078888888888889,0.1050833333333333,0.1060555555555555,0.1078611111111111,0.1098611111111111,0.1104722222222222,0.1075277777777777,0.1086111111111111,0.10975,0.1116944444444444,0.1135555555555555,0.1145,0.1183888888888888,0.12075,0.1268333333333333,0.1260555555555555,0.1284722222222222,0.1324444444444444,0.1312777777777777,0.1315833333333333,0.1342777777777777,0.1359166666666666,0.1365277777777777,0.1397222222222222,0.1388888888888889,0.1407222222222222,0.14175,0.1406111111111111,0.1553888888888888,0.1586111111111111,0.1638611111111111,0.1693611111111111,0.1681666666666666,0.1670277777777777,0.1662777777777777,0.1843055555555555,0.1850277777777778,0.1904444444444444,0.1934722222222222,0.1910833333333333,0.1904444444444444,0.2065277777777777,0.2040833333333333,0.2055555555555555,0.20925,0.2151388888888888,0.21752777777777776
-18,0.1074166666666666,0.1078333333333333,0.1120277777777777,0.1075,0.1109722222222222,0.1122222222222222,0.1133333333333333,0.1126944444444444,0.1143055555555555,0.1143611111111111,0.1138333333333333,0.1145,0.1159444444444444,0.119,0.1169444444444444,0.1203333333333333,0.1269444444444444,0.1387777777777777,0.1478333333333333,0.1533055555555555,0.1616111111111111,0.1613055555555555,0.1685277777777777,0.1720277777777777,0.1755277777777777,0.1810833333333333,0.18325,0.1871944444444444,0.1870277777777777,0.1876944444444444,0.1903333333333333,0.1930555555555555,0.1916944444444444,0.2151666666666666,0.2190833333333333,0.2269722222222222,0.2317222222222222,0.2280277777777777,0.2294166666666666,0.23175,0.2478055555555555,0.2522777777777777,0.2536111111111111,0.2553333333333333,0.2548611111111111,0.255,0.2647222222222222,0.2683055555555556,0.2704166666666667,0.2685277777777777,0.2764722222222222,0.2767777777777778
-16,0.1160555555555555,0.1216944444444444,0.1196944444444444,0.124,0.1223888888888889,0.1227222222222222,0.1250555555555555,0.1243611111111111,0.1264444444444444,0.12625,0.1233611111111111,0.1291111111111111,0.1301944444444444,0.1297222222222222,0.1295833333333333,0.1360555555555555,0.1480833333333333,0.1586388888888888,0.1719166666666666,0.1808888888888888,0.1896388888888888,0.1923611111111111,0.2003888888888889,0.2058055555555555,0.2094722222222222,0.2121666666666666,0.2158888888888888,0.2243055555555555,0.2181666666666666,0.2184444444444444,0.22275,0.2269166666666666,0.2282222222222222,0.24525,0.2489722222222222,0.2520555555555555,0.2555555555555555,0.2520555555555555,0.2578055555555555,0.2549722222222222,0.2681944444444444,0.2705555555555555,0.2703611111111111,0.2725,0.2726944444444444,0.27375,0.2834166666666666,0.2843055555555555,0.2873333333333333,0.2873888888888889,0.2900277777777778,0.28847222222222224
-14,0.1386666666666666,0.1490555555555555,0.1518333333333333,0.1533333333333333,0.1563333333333333,0.1549722222222222,0.1591944444444444,0.1593611111111111,0.1618888888888889,0.16075,0.1647222222222222,0.1646666666666666,0.1640833333333333,0.1655555555555555,0.1664722222222222,0.1754444444444444,0.189,0.20125,0.21175,0.2229444444444444,0.2288055555555555,0.2303611111111111,0.23525,0.2414722222222222,0.2439722222222222,0.2423333333333333,0.2474722222222222,0.2494722222222222,0.2488611111111111,0.2474722222222222,0.2499722222222222,0.2537777777777777,0.2510833333333333,0.2653055555555555,0.26725,0.27025,0.2683611111111111,0.2703333333333333,0.2734444444444444,0.2750833333333333,0.2823611111111111,0.2863055555555555,0.2863333333333333,0.2884444444444444,0.2866944444444444,0.2871388888888889,0.2961111111111111,0.2955,0.2940555555555555,0.2943055555555555,0.2976944444444444,0.3000833333333333
-12,0.1926111111111111,0.2061944444444444,0.2139166666666666,0.2164444444444444,0.2181666666666666,0.2141388888888888,0.2173055555555555,0.2147777777777778,0.2224722222222222,0.2203333333333333,0.2209166666666666,0.2186666666666666,0.2200555555555555,0.2276111111111111,0.22825,0.2299166666666666,0.2441944444444444,0.25275,0.25925,0.2642222222222222,0.2685555555555555,0.2740555555555555,0.2741388888888889,0.2739444444444444,0.2756111111111111,0.2798611111111111,0.2820833333333333,0.2820555555555555,0.2813333333333333,0.2831388888888889,0.2852777777777778,0.2873055555555555,0.2870277777777777,0.2944722222222222,0.3008055555555555,0.3035,0.3033333333333333,0.3065277777777778,0.3042222222222222,0.3083333333333333,0.3140277777777778,0.3161111111111111,0.3178055555555555,0.3193888888888889,0.3203333333333333,0.3195277777777778,0.3270555555555555,0.3283611111111111,0.3300833333333333,0.3331111111111111,0.3356666666666666,0.33441666666666664
-10,0.2811388888888889,0.2910833333333333,0.2985555555555556,0.3022222222222222,0.3068055555555555,0.3118055555555555,0.3101666666666666,0.3130833333333333,0.3187777777777777,0.3182222222222222,0.3176944444444444,0.3218055555555555,0.3226388888888888,0.3273611111111111,0.3235555555555555,0.3345555555555555,0.3387222222222222,0.3430833333333333,0.3462777777777778,0.3524722222222222,0.3550833333333333,0.3604166666666666,0.357,0.3625,0.3694444444444444,0.3675277777777778,0.3714444444444444,0.3738055555555555,0.37425,0.3752777777777777,0.3783333333333333,0.3790277777777778,0.3776666666666666,0.3935,0.3952222222222222,0.4006944444444444,0.4018888888888889,0.4055277777777777,0.4071111111111111,0.4057222222222222,0.4188888888888888,0.4190833333333333,0.4208333333333333,0.4236944444444444,0.4221388888888889,0.4243888888888888,0.4305833333333333,0.4345555555555555,0.4328333333333333,0.4364166666666667,0.4428055555555555,0.4398611111111111
-8,0.36875,0.3963888888888889,0.4013333333333333,0.40175,0.4106388888888889,0.4185555555555555,0.4224444444444444,0.4258888888888889,0.4288611111111111,0.4310555555555556,0.4353055555555555,0.4372222222222222,0.4405,0.4428611111111111,0.4496388888888888,0.4537777777777778,0.4514444444444444,0.461,0.4640555555555555,0.4693055555555555,0.4755555555555555,0.4740277777777777,0.4813611111111111,0.4844166666666666,0.4850833333333333,0.4877777777777777,0.4899166666666666,0.4939444444444444,0.495,0.5002777777777778,0.4978888888888889,0.5037222222222222,0.5031388888888889,0.5211944444444444,0.5208333333333334,0.5307777777777778,0.53,0.5307777777777778,0.5335,0.5352777777777777,0.5504722222222223,0.5514444444444444,0.5518611111111111,0.5541944444444444,0.5609444444444445,0.5592222222222222,0.5635,0.5676944444444444,0.5679722222222222,0.5698888888888889,0.5728055555555556,0.5731388888888889
-6,0.4783888888888888,0.5359166666666667,0.5522222222222222,0.5591388888888889,0.5623888888888889,0.5720555555555555,0.5735833333333333,0.5809444444444445,0.5856388888888889,0.5886111111111111,0.59,0.596,0.5984444444444444,0.6014166666666667,0.6053333333333333,0.6093888888888889,0.6140555555555556,0.6191666666666666,0.6209444444444444,0.6238888888888889,0.6291111111111111,0.6295277777777778,0.6339166666666667,0.6385555555555555,0.6389722222222223,0.6434166666666666,0.6464444444444445,0.6472222222222223,0.6504444444444445,0.6515,0.6526666666666666,0.6535833333333333,0.6561666666666667,0.678,0.6795,0.6853333333333333,0.6854444444444444,0.6857777777777778,0.6879722222222222,0.6923888888888889,0.7028055555555556,0.7056388888888889,0.70675,0.7091666666666666,0.70975,0.7131666666666666,0.7188888888888889,0.7226944444444444,0.7226388888888889,0.7228888888888889,0.7254166666666667,0.7273888888888889
-4,0.60175,0.6718611111111111,0.6986388888888889,0.7157222222222223,0.7237222222222223,0.7325555555555555,0.7380555555555556,0.7452222222222222,0.7480277777777777,0.7534166666666666,0.757,0.7599166666666667,0.7639166666666667,0.7690833333333333,0.7688888888888888,0.7687777777777778,0.7706666666666667,0.7741388888888889,0.7771944444444444,0.7810833333333334,0.7817222222222222,0.7853611111111111,0.7873888888888889,0.7905555555555556,0.7901111111111111,0.7943611111111111,0.79625,0.7966666666666666,0.7994722222222223,0.8013611111111111,0.8008333333333333,0.8031666666666667,0.8075,0.8186944444444444,0.8235277777777777,0.8241944444444445,0.8258333333333333,0.8271666666666667,0.8303055555555555,0.8292777777777778,0.8400555555555556,0.8437777777777777,0.8423055555555555,0.8434722222222222,0.8449444444444445,0.8471944444444445,0.85125,0.8518333333333333,0.8544166666666667,0.8518611111111111,0.8558611111111111,0.8567222222222223
-2,0.7095555555555556,0.7908611111111111,0.8243333333333334,0.8372222222222222,0.8468055555555556,0.8525833333333334,0.8609444444444444,0.8632777777777778,0.8651111111111112,0.8668333333333333,0.8700277777777777,0.8740833333333333,0.8727777777777778,0.8776111111111111,0.8791666666666667,0.8775,0.8800277777777777,0.8804444444444445,0.8833055555555556,0.8834722222222222,0.8866388888888889,0.8866944444444445,0.8863888888888889,0.8900277777777778,0.88925,0.8903333333333333,0.89075,0.8932222222222223,0.8945277777777778,0.895,0.89475,0.8948611111111111,0.8970833333333333,0.9046944444444444,0.9051944444444444,0.9058055555555556,0.9078611111111112,0.9080555555555556,0.9078611111111112,0.9078888888888887,0.9113333333333332,0.9115277777777778,0.9125277777777778,0.9131111111111112,0.9112777777777776,0.9131944444444444,0.9155555555555556,0.9171944444444444,0.9151666666666668,0.9155555555555556,0.9173888888888888,0.9175
