checkpoint,group,frequency,normalized_power,n_samples
initial,high_snr_analog,0.0,1.0,512
initial,high_snr_analog,0.001953125,0.8294546008110046,512
initial,high_snr_analog,0.00390625,0.4514823257923126,512
initial,high_snr_analog,0.005859375,0.12955087423324585,512
initial,high_snr_analog,0.0078125,0.007222033571451902,512
initial,high_snr_analog,0.009765625,0.024300888180732727,512
initial,high_snr_analog,0.01171875,0.04967677220702171,512
initial,high_snr_analog,0.013671875,0.03224468603730202,512
initial,high_snr_analog,0.015625,0.0064553492702543736,512
initial,high_snr_analog,0.017578125,0.0043678986839950085,512
initial,high_snr_analog,0.01953125,0.013941243290901184,512
initial,high_snr_analog,0.021484375,0.013467551209032536,512
initial,high_snr_analog,0.0234375,0.005068470723927021,512
initial,high_snr_analog,0.025390625,0.0020637684501707554,512
initial,high_snr_analog,0.02734375,0.0053357770666480064,512
initial,high_snr_analog,0.029296875,0.006450465880334377,512
initial,high_snr_analog,0.03125,0.0034313020296394825,512
initial,high_snr_analog,0.033203125,0.0014534019865095615,512
initial,high_snr_analog,0.03515625,0.0025253642816096544,512
initial,high_snr_analog,0.037109375,0.003443486522883177,512
initial,high_snr_analog,0.0390625,0.002402817364782095,512
initial,high_snr_analog,0.041015625,0.0012656484032049775,512
initial,high_snr_analog,0.04296875,0.0014331276761367917,512
initial,high_snr_analog,0.044921875,0.0018639405025169253,512
initial,high_snr_analog,0.046875,0.0015763271367177367,512
initial,high_snr_analog,0.048828125,0.0011255629360675812,512
initial,high_snr_analog,0.05078125,0.0010935202008113265,512
initial,high_snr_analog,0.052734375,0.0011409660801291466,512
initial,high_snr_analog,0.0546875,0.0009809680050238967,512
initial,high_snr_analog,0.056640625,0.000886080670170486,512
initial,high_snr_analog,0.05859375,0.0009554103598929942,512
initial,high_snr_analog,0.060546875,0.0009042329620569944,512
initial,high_snr_analog,0.0625,0.0007133481558412313,512
initial,high_snr_analog,0.064453125,0.0006817640387453139,512
initial,high_snr_analog,0.06640625,0.0008051121258176863,512
initial,high_snr_analog,0.068359375,0.000782824819907546,512
initial,high_snr_analog,0.0703125,0.0006159725598990917,512
initial,high_snr_analog,0.072265625,0.0005915052024647593,512
initial,high_snr_analog,0.07421875,0.0007156819920055568,512
initial,high_snr_analog,0.076171875,0.0007145359995774925,512
initial,high_snr_analog,0.078125,0.0005638498114421964,512
initial,high_snr_analog,0.080078125,0.0005179768777452409,512
initial,high_snr_analog,0.08203125,0.0006227862322703004,512
initial,high_snr_analog,0.083984375,0.0006495124544017017,512
initial,high_snr_analog,0.0859375,0.0005297986208461225,512
initial,high_snr_analog,0.087890625,0.0004603991692420095,512
initial,high_snr_analog,0.08984375,0.0005297261523082852,512
initial,high_snr_analog,0.091796875,0.000579032173845917,512
initial,high_snr_analog,0.09375,0.000505155767314136,512
initial,high_snr_analog,0.095703125,0.000423157267505303,512
initial,high_snr_analog,0.09765625,0.00044021770008839667,512
initial,high_snr_analog,0.099609375,0.0004837464075535536,512
initial,high_snr_analog,0.1015625,0.0004507725534494966,512
initial,high_snr_analog,0.103515625,0.00037505952059291303,512
initial,high_snr_analog,0.10546875,0.00035140386899001896,512
initial,high_snr_analog,0.107421875,0.00038660180871374905,512
initial,high_snr_analog,0.109375,0.0004060841165482998,512
initial,high_snr_analog,0.111328125,0.0003700152155943215,512
initial,high_snr_analog,0.11328125,0.00032563344575464725,512
initial,high_snr_analog,0.115234375,0.00033588663791306317,512
initial,high_snr_analog,0.1171875,0.0003813349758274853,512
initial,high_snr_analog,0.119140625,0.00037983813672326505,512
initial,high_snr_analog,0.12109375,0.00031888336525298655,512
initial,high_snr_analog,0.123046875,0.0002947836765088141,512
initial,high_snr_analog,0.125,0.00035902310628443956,512
initial,high_snr_analog,0.126953125,0.0004117980715818703,512
initial,high_snr_analog,0.12890625,0.0003573156427592039,512
initial,high_snr_analog,0.130859375,0.00028030629619024694,512
initial,high_snr_analog,0.1328125,0.0003135192673653364,512
initial,high_snr_analog,0.134765625,0.0003995810111518949,512
initial,high_snr_analog,0.13671875,0.0003800245758611709,512
initial,high_snr_analog,0.138671875,0.00027885325835086405,512
initial,high_snr_analog,0.140625,0.0002701224002521485,512
initial,high_snr_analog,0.142578125,0.00036745297256857157,512
initial,high_snr_analog,0.14453125,0.00039258634205907583,512
initial,high_snr_analog,0.146484375,0.00029362697387114167,512
initial,high_snr_analog,0.1484375,0.00024311036395374686,512
initial,high_snr_analog,0.150390625,0.00033217735472135246,512
initial,high_snr_analog,0.15234375,0.0004079474601894617,512
initial,high_snr_analog,0.154296875,0.00034487180528230965,512
initial,high_snr_analog,0.15625,0.00026087596779689193,512
initial,high_snr_analog,0.158203125,0.00029949515010230243,512
initial,high_snr_analog,0.16015625,0.00038063700776547194,512
initial,high_snr_analog,0.162109375,0.00035619919071905315,512
initial,high_snr_analog,0.1640625,0.0002699907636269927,512
initial,high_snr_analog,0.166015625,0.0002634378324728459,512
initial,high_snr_analog,0.16796875,0.0003244227555114776,512
initial,high_snr_analog,0.169921875,0.0003273401234764606,512
initial,high_snr_analog,0.171875,0.0002598412102088332,512
initial,high_snr_analog,0.173828125,0.00022542179794982076,512
initial,high_snr_analog,0.17578125,0.00025248853489756584,512
initial,high_snr_analog,0.177734375,0.0002648906665854156,512
initial,high_snr_analog,0.1796875,0.00023233398678712547,512
initial,high_snr_analog,0.181640625,0.00020933017367497087,512
initial,high_snr_analog,0.18359375,0.0002212639810750261,512
initial,high_snr_analog,0.185546875,0.00022891278786119074,512
initial,high_snr_analog,0.1875,0.0002145031321560964,512
initial,high_snr_analog,0.189453125,0.00020656864217016846,512
initial,high_snr_analog,0.19140625,0.00021259498316794634,512
initial,high_snr_analog,0.193359375,0.00020817462063860148,512
initial,high_snr_analog,0.1953125,0.00019515094754751772,512
initial,high_snr_analog,0.197265625,0.00019918056204915047,512
initial,high_snr_analog,0.19921875,0.0002126288745785132,512
initial,high_snr_analog,0.201171875,0.00020589692576322705,512
initial,high_snr_analog,0.203125,0.00018817484669853002,512
initial,high_snr_analog,0.205078125,0.0001926630357047543,512
initial,high_snr_analog,0.20703125,0.00021062932501081377,512
initial,high_snr_analog,0.208984375,0.00020500538812484592,512
initial,high_snr_analog,0.2109375,0.00018180176266469061,512
initial,high_snr_analog,0.212890625,0.0001824320643208921,512
initial,high_snr_analog,0.21484375,0.00020819234487134963,512
initial,high_snr_analog,0.216796875,0.00021689407003577799,512
initial,high_snr_analog,0.21875,0.00019744556630030274,512
initial,high_snr_analog,0.220703125,0.00018640067719388753,512
initial,high_snr_analog,0.22265625,0.00020132833742536604,512
initial,high_snr_analog,0.224609375,0.00021450044005177915,512
initial,high_snr_analog,0.2265625,0.0002080834237858653,512
initial,high_snr_analog,0.228515625,0.0002048205496976152,512
initial,high_snr_analog,0.23046875,0.00022211061150301248,512
initial,high_snr_analog,0.232421875,0.00023747389786876738,512
initial,high_snr_analog,0.234375,0.00022658836678601801,512
initial,high_snr_analog,0.236328125,0.00020532975031528622,512
initial,high_snr_analog,0.23828125,0.00020548776956275105,512
initial,high_snr_analog,0.240234375,0.00022714324586559087,512
initial,high_snr_analog,0.2421875,0.00024205847876146436,512
initial,high_snr_analog,0.244140625,0.00023659292492084205,512
initial,high_snr_analog,0.24609375,0.0002275176375405863,512
initial,high_snr_analog,0.248046875,0.00023255313863046467,512
initial,high_snr_analog,0.25,0.0002433907357044518,512
initial,high_snr_analog,0.251953125,0.0002403927646810189,512
initial,high_snr_analog,0.25390625,0.00022506224922835827,512
initial,high_snr_analog,0.255859375,0.00021937921701464802,512
initial,high_snr_analog,0.2578125,0.0002314572047907859,512
initial,high_snr_analog,0.259765625,0.0002421679237158969,512
initial,high_snr_analog,0.26171875,0.0002360293292440474,512
initial,high_snr_analog,0.263671875,0.00022518607147503644,512
initial,high_snr_analog,0.265625,0.00022543636441696435,512
initial,high_snr_analog,0.267578125,0.0002278787869727239,512
initial,high_snr_analog,0.26953125,0.0002181637828471139,512
initial,high_snr_analog,0.271484375,0.00020622128795366734,512
initial,high_snr_analog,0.2734375,0.00020745553774759173,512
initial,high_snr_analog,0.275390625,0.0002097526448778808,512
initial,high_snr_analog,0.27734375,0.00019350564980413765,512
initial,high_snr_analog,0.279296875,0.0001718152780085802,512
initial,high_snr_analog,0.28125,0.00017181519069708884,512
initial,high_snr_analog,0.283203125,0.00018506590276956558,512
initial,high_snr_analog,0.28515625,0.00017960583500098437,512
initial,high_snr_analog,0.287109375,0.00015681516379117966,512
initial,high_snr_analog,0.2890625,0.00014980460400693119,512
initial,high_snr_analog,0.291015625,0.00016405647329520434,512
initial,high_snr_analog,0.29296875,0.00016825119382701814,512
initial,high_snr_analog,0.294921875,0.0001521539525128901,512
initial,high_snr_analog,0.296875,0.0001451160351280123,512
initial,high_snr_analog,0.298828125,0.00016174025950022042,512
initial,high_snr_analog,0.30078125,0.00017474876949563622,512
initial,high_snr_analog,0.302734375,0.00016336630505975336,512
initial,high_snr_analog,0.3046875,0.00014853288303129375,512
initial,high_snr_analog,0.306640625,0.00015476251428481191,512
initial,high_snr_analog,0.30859375,0.00017058827506843954,512
initial,high_snr_analog,0.310546875,0.00017338639008812606,512
initial,high_snr_analog,0.3125,0.00016662199050188065,512
initial,high_snr_analog,0.314453125,0.0001670767815085128,512
initial,high_snr_analog,0.31640625,0.00017552846111357212,512
initial,high_snr_analog,0.318359375,0.00018164870562031865,512
initial,high_snr_analog,0.3203125,0.00018242740770801902,512
initial,high_snr_analog,0.322265625,0.00018033436208497733,512
initial,high_snr_analog,0.32421875,0.00017692995606921613,512
initial,high_snr_analog,0.326171875,0.0001770350063452497,512
initial,high_snr_analog,0.328125,0.0001843335194280371,512
initial,high_snr_analog,0.330078125,0.00018990896933246404,512
initial,high_snr_analog,0.33203125,0.00018351954349782318,512
initial,high_snr_analog,0.333984375,0.0001749388175085187,512
initial,high_snr_analog,0.3359375,0.00018058744899462909,512
initial,high_snr_analog,0.337890625,0.00019232727936469018,512
initial,high_snr_analog,0.33984375,0.0001888508559204638,512
initial,high_snr_analog,0.341796875,0.00017502412083558738,512
initial,high_snr_analog,0.34375,0.00017512885096948594,512
initial,high_snr_analog,0.345703125,0.00018779934907797724,512
initial,high_snr_analog,0.34765625,0.00018702118541114032,512
initial,high_snr_analog,0.349609375,0.00017098468379117548,512
initial,high_snr_analog,0.3515625,0.0001675420207902789,512
initial,high_snr_analog,0.353515625,0.00018326196004636586,512
initial,high_snr_analog,0.35546875,0.0001907379919430241,512
initial,high_snr_analog,0.357421875,0.00017915369244292378,512
initial,high_snr_analog,0.359375,0.00017384541570208967,512
initial,high_snr_analog,0.361328125,0.00018845309386961162,512
initial,high_snr_analog,0.36328125,0.0002000735985348001,512
initial,high_snr_analog,0.365234375,0.00019324454478919506,512
initial,high_snr_analog,0.3671875,0.00018828823522198945,512
initial,high_snr_analog,0.369140625,0.00020107555610593408,512
initial,high_snr_analog,0.37109375,0.00021201952768024057,512
initial,high_snr_analog,0.373046875,0.00020293447596486658,512
initial,high_snr_analog,0.375,0.0001912316947709769,512
initial,high_snr_analog,0.376953125,0.00019775347027461976,512
initial,high_snr_analog,0.37890625,0.00020966786541976035,512
initial,high_snr_analog,0.380859375,0.00020550383487716317,512
initial,high_snr_analog,0.3828125,0.0001923143136082217,512
initial,high_snr_analog,0.384765625,0.00018837219977285713,512
initial,high_snr_analog,0.38671875,0.0001896967296488583,512
initial,high_snr_analog,0.388671875,0.00018198922043666244,512
initial,high_snr_analog,0.390625,0.00016905191296245903,512
initial,high_snr_analog,0.392578125,0.00016387327923439443,512
initial,high_snr_analog,0.39453125,0.00016495128511451185,512
initial,high_snr_analog,0.396484375,0.00016275187954306602,512
initial,high_snr_analog,0.3984375,0.00015770428581163287,512
initial,high_snr_analog,0.400390625,0.00015487817290704697,512
initial,high_snr_analog,0.40234375,0.0001526856649434194,512
initial,high_snr_analog,0.404296875,0.0001495667384006083,512
initial,high_snr_analog,0.40625,0.00014898688823450357,512
initial,high_snr_analog,0.408203125,0.000149320243508555,512
initial,high_snr_analog,0.41015625,0.0001444045192329213,512
initial,high_snr_analog,0.412109375,0.0001393975835526362,512
initial,high_snr_analog,0.4140625,0.00014645871124230325,512
initial,high_snr_analog,0.416015625,0.00016093059093691409,512
initial,high_snr_analog,0.41796875,0.00016544490063097328,512
initial,high_snr_analog,0.419921875,0.00016081797366496176,512
initial,high_snr_analog,0.421875,0.0001649486512178555,512
initial,high_snr_analog,0.423828125,0.0001776344870449975,512
initial,high_snr_analog,0.42578125,0.00017942114209290594,512
initial,high_snr_analog,0.427734375,0.00017113529611378908,512
initial,high_snr_analog,0.4296875,0.00017722831398714334,512
initial,high_snr_analog,0.431640625,0.00019997563504148275,512
initial,high_snr_analog,0.43359375,0.00021034656674601138,512
initial,high_snr_analog,0.435546875,0.00019869722018484026,512
initial,high_snr_analog,0.4375,0.00019286184397060424,512
initial,high_snr_analog,0.439453125,0.000206814642297104,512
initial,high_snr_analog,0.44140625,0.00021413846116047353,512
initial,high_snr_analog,0.443359375,0.0001974644692381844,512
initial,high_snr_analog,0.4453125,0.00018237523909192532,512
initial,high_snr_analog,0.447265625,0.0001914255553856492,512
initial,high_snr_analog,0.44921875,0.0002034652716247365,512
initial,high_snr_analog,0.451171875,0.00019370915833860636,512
initial,high_snr_analog,0.453125,0.0001785131316864863,512
initial,high_snr_analog,0.455078125,0.00018165646179113537,512
initial,high_snr_analog,0.45703125,0.00018837607058230788,512
initial,high_snr_analog,0.458984375,0.00017528761236462742,512
initial,high_snr_analog,0.4609375,0.0001583887788001448,512
initial,high_snr_analog,0.462890625,0.00016590427549090236,512
initial,high_snr_analog,0.46484375,0.0001851874403655529,512
initial,high_snr_analog,0.466796875,0.0001836294395616278,512
initial,high_snr_analog,0.46875,0.00016669798060320318,512
initial,high_snr_analog,0.470703125,0.00016749357746448368,512
initial,high_snr_analog,0.47265625,0.00018748451839201152,512
initial,high_snr_analog,0.474609375,0.00019466494268272072,512
initial,high_snr_analog,0.4765625,0.0001792780531104654,512
initial,high_snr_analog,0.478515625,0.0001674305967753753,512
initial,high_snr_analog,0.48046875,0.00017387453408446163,512
initial,high_snr_analog,0.482421875,0.0001801980979507789,512
initial,high_snr_analog,0.484375,0.00017089898756239563,512
initial,high_snr_analog,0.486328125,0.00015849976625759155,512
initial,high_snr_analog,0.48828125,0.0001576817303430289,512
initial,high_snr_analog,0.490234375,0.00015953982074279338,512
initial,high_snr_analog,0.4921875,0.00014908317825756967,512
initial,high_snr_analog,0.494140625,0.00013174774358049035,512
initial,high_snr_analog,0.49609375,0.00012500151933636516,512
initial,high_snr_analog,0.498046875,0.00013174090418033302,512
initial,high_snr_analog,0.5,0.0001372183469356969,512
initial,high_snr_digital,0.0,1.0,512
initial,high_snr_digital,0.001953125,0.8303292393684387,512
initial,high_snr_digital,0.00390625,0.45517653226852417,512
initial,high_snr_digital,0.005859375,0.13706430792808533,512
initial,high_snr_digital,0.0078125,0.016565216705203056,512
initial,high_snr_digital,0.009765625,0.031824711710214615,512
initial,high_snr_digital,0.01171875,0.05439183861017227,512
initial,high_snr_digital,0.013671875,0.0370403490960598,512
initial,high_snr_digital,0.015625,0.014034222811460495,512
initial,high_snr_digital,0.017578125,0.01376460213214159,512
initial,high_snr_digital,0.01953125,0.022507254034280777,512
initial,high_snr_digital,0.021484375,0.02072933316230774,512
initial,high_snr_digital,0.0234375,0.01262550801038742,512
initial,high_snr_digital,0.025390625,0.010571331717073917,512
initial,high_snr_digital,0.02734375,0.013759071938693523,512
initial,high_snr_digital,0.029296875,0.014160249382257462,512
initial,high_snr_digital,0.03125,0.011119534261524677,512
initial,high_snr_digital,0.033203125,0.00961406622081995,512
initial,high_snr_digital,0.03515625,0.010539377108216286,512
initial,high_snr_digital,0.037109375,0.010761371813714504,512
initial,high_snr_digital,0.0390625,0.009494797326624393,512
initial,high_snr_digital,0.041015625,0.008732149377465248,512
initial,high_snr_digital,0.04296875,0.009022219106554985,512
initial,high_snr_digital,0.044921875,0.009038015268743038,512
initial,high_snr_digital,0.046875,0.00841875933110714,512
initial,high_snr_digital,0.048828125,0.00803185161203146,512
initial,high_snr_digital,0.05078125,0.008005877025425434,512
initial,high_snr_digital,0.052734375,0.00769608560949564,512
initial,high_snr_digital,0.0546875,0.007143894210457802,512
initial,high_snr_digital,0.056640625,0.006927977781742811,512
initial,high_snr_digital,0.05859375,0.006966944318264723,512
initial,high_snr_digital,0.060546875,0.006724020000547171,512
initial,high_snr_digital,0.0625,0.006205288227647543,512
initial,high_snr_digital,0.064453125,0.005760698113590479,512
initial,high_snr_digital,0.06640625,0.0053075761534273624,512
initial,high_snr_digital,0.068359375,0.004601473454385996,512
initial,high_snr_digital,0.0703125,0.003885167883709073,512
initial,high_snr_digital,0.072265625,0.0035257262643426657,512
initial,high_snr_digital,0.07421875,0.003358464455232024,512
initial,high_snr_digital,0.076171875,0.0030280575156211853,512
initial,high_snr_digital,0.078125,0.0026417183689773083,512
initial,high_snr_digital,0.080078125,0.0025035112630575895,512
initial,high_snr_digital,0.08203125,0.002509451238438487,512
initial,high_snr_digital,0.083984375,0.0023532321210950613,512
initial,high_snr_digital,0.0859375,0.00208651483990252,512
initial,high_snr_digital,0.087890625,0.0019825585186481476,512
initial,high_snr_digital,0.08984375,0.0020309214014559984,512
initial,high_snr_digital,0.091796875,0.0019961686339229345,512
initial,high_snr_digital,0.09375,0.0018396584782749414,512
initial,high_snr_digital,0.095703125,0.001722669112496078,512
initial,high_snr_digital,0.09765625,0.0016915211454033852,512
initial,high_snr_digital,0.099609375,0.0016481035854667425,512
initial,high_snr_digital,0.1015625,0.0015562016051262617,512
initial,high_snr_digital,0.103515625,0.0014614693354815245,512
initial,high_snr_digital,0.10546875,0.001376546104438603,512
initial,high_snr_digital,0.107421875,0.0012938451254740357,512
initial,high_snr_digital,0.109375,0.001232299255207181,512
initial,high_snr_digital,0.111328125,0.0011802202789112926,512
initial,high_snr_digital,0.11328125,0.0010935650207102299,512
initial,high_snr_digital,0.115234375,0.0010013561695814133,512
initial,high_snr_digital,0.1171875,0.0009862791048362851,512
initial,high_snr_digital,0.119140625,0.0010382115142419934,512
initial,high_snr_digital,0.12109375,0.0010733791859820485,512
initial,high_snr_digital,0.123046875,0.001090603182092309,512
initial,high_snr_digital,0.125,0.001130398246459663,512
initial,high_snr_digital,0.126953125,0.0011098089162260294,512
initial,high_snr_digital,0.12890625,0.0009235990582965314,512
initial,high_snr_digital,0.130859375,0.0006864088354632258,512
initial,high_snr_digital,0.1328125,0.0006162740173749626,512
initial,high_snr_digital,0.134765625,0.0006853091763332486,512
initial,high_snr_digital,0.13671875,0.0006661007646471262,512
initial,high_snr_digital,0.138671875,0.0005292497226037085,512
initial,high_snr_digital,0.140625,0.0004827465454582125,512
initial,high_snr_digital,0.142578125,0.000578268722165376,512
initial,high_snr_digital,0.14453125,0.0006102565675973892,512
initial,high_snr_digital,0.146484375,0.0004940285580232739,512
initial,high_snr_digital,0.1484375,0.00041921218507923186,512
initial,high_snr_digital,0.150390625,0.0004971154849044979,512
initial,high_snr_digital,0.15234375,0.0005600824952125549,512
initial,high_snr_digital,0.154296875,0.0004753776884172112,512
initial,high_snr_digital,0.15625,0.000382350932341069,512
initial,high_snr_digital,0.158203125,0.00042713782750070095,512
initial,high_snr_digital,0.16015625,0.0005020856624469161,512
initial,high_snr_digital,0.162109375,0.0004556417989078909,512
initial,high_snr_digital,0.1640625,0.0003604099038057029,512
initial,high_snr_digital,0.166015625,0.00036104474565945566,512
initial,high_snr_digital,0.16796875,0.0004173409834038466,512
initial,high_snr_digital,0.169921875,0.000403976155212149,512
initial,high_snr_digital,0.171875,0.0003387665783520788,512
initial,high_snr_digital,0.173828125,0.0003207777044735849,512
initial,high_snr_digital,0.17578125,0.0003405397874303162,512
initial,high_snr_digital,0.177734375,0.0003230670699849725,512
initial,high_snr_digital,0.1796875,0.00028051540721207857,512
initial,high_snr_digital,0.181640625,0.0002728991094045341,512
initial,high_snr_digital,0.18359375,0.0002842032699845731,512
initial,high_snr_digital,0.185546875,0.0002651098766364157,512
initial,high_snr_digital,0.1875,0.0002360345533816144,512
initial,high_snr_digital,0.189453125,0.00023801274073775858,512
initial,high_snr_digital,0.19140625,0.0002445434802211821,512
initial,high_snr_digital,0.193359375,0.0002190843952121213,512
initial,high_snr_digital,0.1953125,0.00019458973838482052,512
initial,high_snr_digital,0.197265625,0.00020790865528397262,512
initial,high_snr_digital,0.19921875,0.00022311673092190176,512
initial,high_snr_digital,0.201171875,0.00020201693405397236,512
initial,high_snr_digital,0.203125,0.0001804089843062684,512
initial,high_snr_digital,0.205078125,0.00019566046830732375,512
initial,high_snr_digital,0.20703125,0.00021072282106615603,512
initial,high_snr_digital,0.208984375,0.00018794277275446802,512
initial,high_snr_digital,0.2109375,0.00016615855565760285,512
initial,high_snr_digital,0.212890625,0.00018622780044097453,512
initial,high_snr_digital,0.21484375,0.00021022805594839156,512
initial,high_snr_digital,0.216796875,0.0001934338652063161,512
initial,high_snr_digital,0.21875,0.00016955469618551433,512
initial,high_snr_digital,0.220703125,0.00018503351020626724,512
initial,high_snr_digital,0.22265625,0.0002110540372086689,512
initial,high_snr_digital,0.224609375,0.0002007728471653536,512
initial,high_snr_digital,0.2265625,0.00017797599139157683,512
initial,high_snr_digital,0.228515625,0.00018939209985546768,512
initial,high_snr_digital,0.23046875,0.00021674401068594307,512
initial,high_snr_digital,0.232421875,0.00021292318706400692,512
initial,high_snr_digital,0.234375,0.00018667195399757475,512
initial,high_snr_digital,0.236328125,0.0001803869818104431,512
initial,high_snr_digital,0.23828125,0.00019475222507026047,512
initial,high_snr_digital,0.240234375,0.00019831622194033116,512
initial,high_snr_digital,0.2421875,0.00018723019456956536,512
initial,high_snr_digital,0.244140625,0.00018227506370749325,512
initial,high_snr_digital,0.24609375,0.0001868006947916001,512
initial,high_snr_digital,0.248046875,0.000189236321602948,512
initial,high_snr_digital,0.25,0.00018827180610969663,512
initial,high_snr_digital,0.251953125,0.00018598952738102525,512
initial,high_snr_digital,0.25390625,0.00017785874661058187,512
initial,high_snr_digital,0.255859375,0.0001687181938905269,512
initial,high_snr_digital,0.2578125,0.0001714830141281709,512
initial,high_snr_digital,0.259765625,0.00017897956422530115,512
initial,high_snr_digital,0.26171875,0.00017118283722084016,512
initial,high_snr_digital,0.263671875,0.00015545389032922685,512
initial,high_snr_digital,0.265625,0.00015737413195893168,512
initial,high_snr_digital,0.267578125,0.00016991404118016362,512
initial,high_snr_digital,0.26953125,0.00016232748748734593,512
initial,high_snr_digital,0.271484375,0.00014062605623621494,512
initial,high_snr_digital,0.2734375,0.000141011449159123,512
