dataset,model,label,seed,low_acc,high_acc,overall_acc,run_dir
2016.10a,MCLDNN,MCLDNN,1,0.28342975206611576,0.7597272727272728,0.5033181818181818,logs/model_2016.10a_60_1024_0.001_MCLDNN_aux-none_seed1
2016.10a,MCLDNN,MCLDNN,2,0.3526446280991735,0.8379545454545456,0.5725681818181818,logs/model_2016.10a_60_1024_0.001_MCLDNN_aux-none_seed2
2016.10a,MCLDNN,MCLDNN,3,0.35280991735537187,0.836590909090909,0.5725454545454546,logs/model_2016.10a_60_1024_0.001_MCLDNN_aux-none_seed3
2016.10a,MCLDNN,MCLDNN,4,0.2580578512396694,0.6477727272727273,0.4351363636363636,logs/model_2016.10a_60_1024_0.001_MCLDNN_aux-none_seed4
2016.10a,MCLDNN,MCLDNN,5,0.3574380165289256,0.8427272727272728,0.5777954545454546,logs/model_2016.10a_60_1024_0.001_MCLDNN_aux-none_seed5
2016.10a,MCFormer,MCFormer,1,0.34297520661157027,0.8135909090909091,0.5565909090909091,logs/model_2016.10a_60_1024_0.001_MCFormer_aux-none_seed1
2016.10a,MCFormer,MCFormer,2,0.3452892561983471,0.7818636363636363,0.5435,logs/model_2016.10a_60_1024_0.001_MCFormer_aux-none_seed2
2016.10a,MCFormer,MCFormer,3,0.3417355371900826,0.8150000000000001,0.5571136363636363,logs/model_2016.10a_60_1024_0.001_MCFormer_aux-none_seed3
2016.10a,MCFormer,MCFormer,4,0.3435123966942149,0.8245909090909092,0.562,logs/model_2016.10a_60_1024_0.001_MCFormer_aux-none_seed4
2016.10a,MCFormer,MCFormer,5,0.3453719008264463,0.7882727272727272,0.5455,logs/model_2016.10a_60_1024_0.001_MCFormer_aux-none_seed5
2016.10a,PETCGDNN,PET-CGDNN,1,0.3486776859504132,0.8335909090909089,0.5688863636363637,logs/model_2016.10a_60_1024_0.001_PETCGDNN_aux-none_seed1
2016.10a,PETCGDNN,PET-CGDNN,2,0.32628099173553715,0.8083181818181817,0.5458636363636363,logs/model_2016.10a_60_1024_0.001_PETCGDNN_aux-none_seed2
2016.10a,PETCGDNN,PET-CGDNN,3,0.26871900826446277,0.7562272727272726,0.4931590909090909,logs/model_2016.10a_60_1024_0.001_PETCGDNN_aux-none_seed3
2016.10a,PETCGDNN,PET-CGDNN,4,0.35223140495867766,0.8242272727272727,0.5662045454545455,logs/model_2016.10a_60_1024_0.001_PETCGDNN_aux-none_seed4
2016.10a,PETCGDNN,PET-CGDNN,5,0.3450413223140496,0.8386818181818182,0.5692272727272727,logs/model_2016.10a_60_1024_0.001_PETCGDNN_aux-none_seed5
2016.10a,AMCNET,AMC-Net,1,0.3637190082644628,0.8730454545454546,0.5940227272727273,logs/model_2016.10a_60_1024_0.001_AMCNET_aux-none_seed1
2016.10a,AMCNET,AMC-Net,2,0.37235537190082635,0.8832272727272727,0.6032727272727273,logs/model_2016.10a_60_1024_0.001_AMCNET_aux-none_seed2
2016.10a,AMCNET,AMC-Net,3,0.3701239669421488,0.8855909090909091,0.6031136363636364,logs/model_2016.10a_60_1024_0.001_AMCNET_aux-none_seed3
2016.10a,AMCNET,AMC-Net,4,0.36483471074380164,0.8666818181818181,0.5920227272727273,logs/model_2016.10a_60_1024_0.001_AMCNET_aux-none_seed4
2016.10a,AMCNET,AMC-Net,5,0.36859504132231397,0.8737272727272728,0.5970909090909091,logs/model_2016.10a_60_1024_0.001_AMCNET_aux-none_seed5
2016.10a,FEA_T128,FEA-T,1,0.3676033057851239,0.8804545454545455,0.60025,logs/model_2016.10a_60_1024_0.001_FEA_T128_aux-none_seed1
2016.10a,FEA_T128,FEA-T,2,0.3388842975206611,0.834,0.5647272727272727,logs/model_2016.10a_60_1024_0.001_FEA_T128_aux-none_seed2
2016.10a,FEA_T128,FEA-T,3,0.33342975206611564,0.836590909090909,0.5636590909090909,logs/model_2016.10a_60_1024_0.001_FEA_T128_aux-none_seed3
2016.10a,FEA_T128,FEA-T,4,0.36413223140495865,0.8592272727272727,0.5889545454545455,logs/model_2016.10a_60_1024_0.001_FEA_T128_aux-none_seed4
2016.10a,FEA_T128,FEA-T,5,0.36785123966942146,0.8805454545454546,0.6007954545454546,logs/model_2016.10a_60_1024_0.001_FEA_T128_aux-none_seed5
2016.10b,MCLDNN,MCLDNN,1,0.4124924242424242,0.9309333333333333,0.6467041666666666,logs/model_2016.10b_60_1024_0.001_MCLDNN_aux-none_seed1
2016.10b,MCLDNN,MCLDNN,2,0.1,0.1,0.1,logs/model_2016.10b_60_1024_0.001_MCLDNN_aux-none_seed2
2016.10b,MCLDNN,MCLDNN,3,0.41000757575757574,0.9303750000000001,0.6451833333333333,logs/model_2016.10b_60_1024_0.001_MCLDNN_aux-none_seed3
2016.10b,MCLDNN,MCLDNN,4,0.40878030303030305,0.9298666666666667,0.6442666666666667,logs/model_2016.10b_60_1024_0.001_MCLDNN_aux-none_seed4
2016.10b,MCLDNN,MCLDNN,5,0.41091666666666665,0.9309166666666666,0.6459041666666666,logs/model_2016.10b_60_1024_0.001_MCLDNN_aux-none_seed5
2016.10b,MCFormer,MCFormer,1,0.3957348484848484,0.9213833333333333,0.6337,logs/model_2016.10b_60_1024_0.001_MCFormer_aux-none_seed1
2016.10b,MCFormer,MCFormer,2,0.3978712121212121,0.9197166666666667,0.634225,logs/model_2016.10b_60_1024_0.001_MCFormer_aux-none_seed2
2016.10b,MCFormer,MCFormer,3,0.391030303030303,0.9074000000000002,0.6249541666666667,logs/model_2016.10b_60_1024_0.001_MCFormer_aux-none_seed3
2016.10b,MCFormer,MCFormer,4,0.39393181818181816,0.9171000000000001,0.6308166666666667,logs/model_2016.10b_60_1024_0.001_MCFormer_aux-none_seed4
2016.10b,MCFormer,MCFormer,5,0.40303030303030307,0.9210083333333333,0.637125,logs/model_2016.10b_60_1024_0.001_MCFormer_aux-none_seed5
2016.10b,PETCGDNN,PET-CGDNN,1,0.39786363636363636,0.923875,0.636025,logs/model_2016.10b_60_1024_0.001_PETCGDNN_aux-none_seed1
2016.10b,PETCGDNN,PET-CGDNN,2,0.3928636363636364,0.9229666666666667,0.6326833333333334,logs/model_2016.10b_60_1024_0.001_PETCGDNN_aux-none_seed2
2016.10b,PETCGDNN,PET-CGDNN,3,0.39331818181818173,0.92215,0.6329166666666667,logs/model_2016.10b_60_1024_0.001_PETCGDNN_aux-none_seed3
2016.10b,PETCGDNN,PET-CGDNN,4,0.39519696969696966,0.9245083333333334,0.634875,logs/model_2016.10b_60_1024_0.001_PETCGDNN_aux-none_seed4
2016.10b,PETCGDNN,PET-CGDNN,5,0.3925984848484848,0.9236333333333334,0.6331541666666667,logs/model_2016.10b_60_1024_0.001_PETCGDNN_aux-none_seed5
2016.10b,AMCNET,AMC-Net,1,0.4132272727272727,0.9302416666666667,0.6466333333333333,logs/model_2016.10b_60_1024_0.001_AMCNET_aux-none_seed1
2016.10b,AMCNET,AMC-Net,2,0.4125833333333333,0.9314083333333333,0.6467916666666667,logs/model_2016.10b_60_1024_0.001_AMCNET_aux-none_seed2
2016.10b,AMCNET,AMC-Net,3,0.4153257575757575,0.9319166666666666,0.6485583333333333,logs/model_2016.10b_60_1024_0.001_AMCNET_aux-none_seed3
2016.10b,AMCNET,AMC-Net,4,0.41489393939393937,0.9324999999999999,0.6485875,logs/model_2016.10b_60_1024_0.001_AMCNET_aux-none_seed4
2016.10b,AMCNET,AMC-Net,5,0.41298484848484845,0.9306833333333333,0.6467958333333333,logs/model_2016.10b_60_1024_0.001_AMCNET_aux-none_seed5
2016.10b,FEA_T128,FEA-T,1,0.1,0.1,0.1,logs/model_2016.10b_60_1024_0.001_FEA_T128_aux-none_seed1
2016.10b,FEA_T128,FEA-T,2,0.4030151515151515,0.9270833333333334,0.6403041666666667,logs/model_2016.10b_60_1024_0.001_FEA_T128_aux-none_seed2
2016.10b,FEA_T128,FEA-T,3,0.40569696969696967,0.9283083333333332,0.64195,logs/model_2016.10b_60_1024_0.001_FEA_T128_aux-none_seed3
2016.10b,FEA_T128,FEA-T,4,0.403439393939394,0.9296416666666667,0.6415291666666667,logs/model_2016.10b_60_1024_0.001_FEA_T128_aux-none_seed4
2016.10b,FEA_T128,FEA-T,5,0.4073560606060606,0.9302499999999998,0.6437333333333334,logs/model_2016.10b_60_1024_0.001_FEA_T128_aux-none_seed5
