SNR,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
-20,0.091060606060606,0.0924242424242424,0.0934848484848484,0.0922727272727272,0.093030303030303,0.0924242424242424,0.0933333333333333,0.0928787878787878,0.0934848484848484,0.0933333333333333,0.0951515151515151,0.0933333333333333,0.0918181818181818,0.0942424242424242,0.0954545454545454,0.0933333333333333,0.0971212121212121,0.0939393939393939,0.0942424242424242,0.0937878787878787,0.096060606060606,0.0954545454545454,0.0934848484848484,0.0943939393939393,0.0943939393939393,0.0937878787878787,0.094090909090909,0.0925757575757575,0.096060606060606,0.0933333333333333,0.0954545454545454,0.0946969696969697,0.0933333333333333,0.0953030303030303,0.0975757575757575,0.095,0.096060606060606,0.096060606060606,0.0937878787878787,0.0946969696969697,0.0966666666666666,0.0956060606060606,0.0962121212121212,0.0972727272727272,0.0963636363636363,0.0946969696969697,0.0962121212121212,0.096060606060606,0.0966666666666666,0.096060606060606,0.0971212121212121,0.0971212121212121,0.099090909090909,0.0946969696969697,0.0974242424242424,0.0971212121212121,0.0948484848484848,0.0969696969696969,0.096060606060606,0.09772727272727273
-18,0.0924242424242424,0.0957575757575757,0.0975757575757575,0.0975757575757575,0.0965151515151515,0.0965151515151515,0.0963636363636363,0.0945454545454545,0.0951515151515151,0.0968181818181818,0.0966666666666666,0.0972727272727272,0.0983333333333333,0.0971212121212121,0.0943939393939393,0.095,0.0972727272727272,0.0956060606060606,0.0972727272727272,0.096060606060606,0.0953030303030303,0.0968181818181818,0.0965151515151515,0.0972727272727272,0.0956060606060606,0.095,0.096060606060606,0.0977272727272727,0.0983333333333333,0.0965151515151515,0.0995454545454545,0.0977272727272727,0.0971212121212121,0.0971212121212121,0.0962121212121212,0.0984848484848484,0.0966666666666666,0.098030303030303,0.0968181818181818,0.0965151515151515,0.0978787878787878,0.0965151515151515,0.0969696969696969,0.0974242424242424,0.0975757575757575,0.0986363636363636,0.0975757575757575,0.0974242424242424,0.098030303030303,0.0989393939393939,0.0992424242424242,0.0974242424242424,0.1004545454545454,0.0963636363636363,0.0977272727272727,0.1,0.098030303030303,0.0984848484848484,0.0987878787878787,0.09757575757575758
-16,0.094090909090909,0.0983333333333333,0.0983333333333333,0.0981818181818181,0.103030303030303,0.0992424242424242,0.0993939393939394,0.099090909090909,0.1015151515151515,0.1,0.1021212121212121,0.1036363636363636,0.1016666666666666,0.1015151515151515,0.1004545454545454,0.1053030303030303,0.1016666666666666,0.1027272727272727,0.1019696969696969,0.1007575757575757,0.1006060606060606,0.1016666666666666,0.1003030303030303,0.1016666666666666,0.1039393939393939,0.1027272727272727,0.1021212121212121,0.103030303030303,0.1056060606060606,0.1015151515151515,0.1025757575757575,0.1006060606060606,0.1016666666666666,0.1034848484848484,0.1007575757575757,0.1046969696969696,0.1021212121212121,0.1063636363636363,0.1053030303030303,0.1036363636363636,0.1054545454545454,0.1066666666666666,0.1039393939393939,0.1059090909090909,0.1066666666666666,0.1051515151515151,0.1057575757575757,0.106060606060606,0.1027272727272727,0.1065151515151515,0.1075757575757575,0.1068181818181818,0.11,0.1071212121212121,0.1062121212121212,0.1081818181818181,0.1063636363636363,0.108030303030303,0.1092424242424242,0.11015151515151515
-14,0.1054545454545454,0.1165151515151515,0.1236363636363636,0.1243939393939393,0.1242424242424242,0.128030303030303,0.1262121212121212,0.1263636363636363,0.1327272727272727,0.1293939393939394,0.1272727272727272,0.13,0.1286363636363636,0.1277272727272727,0.1262121212121212,0.1336363636363636,0.1301515151515151,0.1259090909090909,0.1307575757575757,0.1303030303030303,0.1262121212121212,0.1289393939393939,0.1271212121212121,0.1318181818181818,0.1304545454545454,0.1328787878787878,0.1315151515151515,0.13,0.1315151515151515,0.1321212121212121,0.1334848484848484,0.1325757575757575,0.1298484848484848,0.1340909090909091,0.1315151515151515,0.1363636363636363,0.1336363636363636,0.1327272727272727,0.1369696969696969,0.1363636363636363,0.1328787878787878,0.1346969696969697,0.1319696969696969,0.1331818181818181,0.1351515151515151,0.1359090909090909,0.1351515151515151,0.1365151515151515,0.1377272727272727,0.1386363636363636,0.1377272727272727,0.1393939393939394,0.1369696969696969,0.1377272727272727,0.1372727272727272,0.1395454545454545,0.14,0.1381818181818181,0.14,0.14166666666666666
-12,0.1296969696969697,0.1659090909090909,0.1792424242424242,0.1792424242424242,0.181060606060606,0.1754545454545454,0.1743939393939394,0.1745454545454545,0.1693939393939394,0.1683333333333333,0.1656060606060606,0.1637878787878788,0.1706060606060606,0.1634848484848484,0.1668181818181818,0.1733333333333333,0.1651515151515151,0.1645454545454545,0.1690909090909091,0.171060606060606,0.1693939393939394,0.1719696969696969,0.1716666666666666,0.173030303030303,0.1771212121212121,0.1706060606060606,0.1704545454545454,0.1715151515151515,0.1728787878787878,0.1754545454545454,0.1753030303030303,0.1686363636363636,0.1713636363636363,0.173030303030303,0.1798484848484848,0.1809090909090909,0.1789393939393939,0.1784848484848485,0.1818181818181818,0.1839393939393939,0.1798484848484848,0.1819696969696969,0.1839393939393939,0.1845454545454545,0.1868181818181818,0.1821212121212121,0.1831818181818182,0.1898484848484848,0.1865151515151515,0.1859090909090909,0.1869696969696969,0.1866666666666666,0.1877272727272727,0.1878787878787878,0.191060606060606,0.1862121212121212,0.1878787878787878,0.1872727272727272,0.19,0.19151515151515153
-10,0.1842424242424242,0.2506060606060606,0.2619696969696969,0.2598484848484848,0.2628787878787879,0.2624242424242424,0.2568181818181818,0.2574242424242424,0.2566666666666666,0.2543939393939394,0.2566666666666666,0.2519696969696969,0.2551515151515151,0.2475757575757576,0.2542424242424242,0.2519696969696969,0.2562121212121212,0.2548484848484848,0.2439393939393939,0.2471212121212121,0.2533333333333333,0.2427272727272727,0.2468181818181818,0.2493939393939394,0.2422727272727272,0.2463636363636363,0.2492424242424242,0.2540909090909091,0.2533333333333333,0.258030303030303,0.258030303030303,0.2542424242424242,0.2528787878787878,0.2516666666666666,0.2553030303030303,0.2651515151515151,0.2571212121212121,0.2663636363636363,0.2634848484848485,0.2642424242424242,0.263030303030303,0.2698484848484848,0.2634848484848485,0.2704545454545454,0.2668181818181818,0.2753030303030303,0.278030303030303,0.2737878787878788,0.2765151515151515,0.2792424242424242,0.2781818181818182,0.2768181818181818,0.2834848484848485,0.2822727272727273,0.2833333333333333,0.2831818181818182,0.2836363636363636,0.2806060606060606,0.2822727272727273,0.2866666666666667
-8,0.2693939393939394,0.3281818181818182,0.3384848484848485,0.355,0.351969696969697,0.3612121212121212,0.3709090909090909,0.3709090909090909,0.3793939393939394,0.3789393939393939,0.3739393939393939,0.38,0.3898484848484848,0.391060606060606,0.3928787878787879,0.3856060606060606,0.3924242424242424,0.398030303030303,0.3848484848484848,0.3868181818181818,0.3859090909090909,0.3890909090909091,0.3928787878787879,0.3951515151515151,0.3906060606060606,0.396969696969697,0.3981818181818182,0.3946969696969697,0.4007575757575757,0.3939393939393939,0.4009090909090909,0.3933333333333333,0.3940909090909091,0.3987878787878788,0.403030303030303,0.4007575757575757,0.4021212121212121,0.406969696969697,0.4015151515151515,0.4093939393939394,0.4077272727272727,0.4116666666666667,0.4109090909090909,0.4137878787878788,0.4146969696969697,0.4146969696969697,0.4195454545454545,0.418030303030303,0.4228787878787878,0.4116666666666667,0.4221212121212121,0.4293939393939394,0.4268181818181818,0.4289393939393939,0.4231818181818181,0.4296969696969697,0.4257575757575758,0.4298484848484848,0.4278787878787878,0.4296969696969697
-6,0.3607575757575758,0.4274242424242424,0.4603030303030303,0.4651515151515151,0.4713636363636364,0.4953030303030303,0.5025757575757576,0.5086363636363637,0.5148484848484849,0.5193939393939394,0.5256060606060606,0.5280303030303031,0.5342424242424243,0.5384848484848485,0.5451515151515152,0.5456060606060606,0.5496969696969697,0.5474242424242424,0.5503030303030303,0.553939393939394,0.5534848484848485,0.5616666666666666,0.5616666666666666,0.5687878787878788,0.5672727272727273,0.5609090909090909,0.5578787878787879,0.568030303030303,0.5757575757575758,0.568939393939394,0.5733333333333334,0.5683333333333334,0.5695454545454546,0.5745454545454546,0.576969696969697,0.5822727272727273,0.5959090909090909,0.5963636363636363,0.5903030303030303,0.5871212121212122,0.5948484848484848,0.5925757575757575,0.5906060606060606,0.603030303030303,0.6062121212121212,0.6051515151515151,0.6043939393939394,0.5954545454545455,0.6083333333333333,0.6066666666666667,0.6143939393939394,0.6074242424242424,0.6154545454545455,0.6160606060606061,0.6157575757575757,0.6172727272727273,0.6166666666666667,0.6196969696969697,0.6184848484848485,0.6218181818181818
-4,0.4624242424242424,0.545,0.5793939393939394,0.593939393939394,0.6063636363636363,0.6227272727272727,0.6433333333333333,0.6443939393939394,0.6536363636363637,0.6563636363636364,0.6640909090909091,0.676969696969697,0.6766666666666666,0.6756060606060607,0.6809090909090909,0.6812121212121212,0.6821212121212121,0.6921212121212121,0.6874242424242424,0.693030303030303,0.6942424242424242,0.6918181818181818,0.6963636363636364,0.7087878787878787,0.7063636363636364,0.6996969696969697,0.7033333333333334,0.7074242424242424,0.7087878787878787,0.7095454545454546,0.7072727272727273,0.6971212121212121,0.701969696969697,0.7072727272727273,0.7124242424242424,0.7281818181818182,0.7357575757575757,0.7356060606060606,0.7348484848484849,0.7307575757575757,0.7389393939393939,0.7348484848484849,0.7412121212121212,0.7451515151515151,0.7434848484848485,0.7504545454545455,0.7478787878787879,0.7510606060606061,0.755,0.7596969696969696,0.7603030303030303,0.7618181818181818,0.7586363636363637,0.7624242424242424,0.7633333333333333,0.7657575757575757,0.764090909090909,0.7704545454545455,0.7692424242424243,0.769090909090909
-2,0.511969696969697,0.6359090909090909,0.6686363636363636,0.6921212121212121,0.708939393939394,0.7271212121212122,0.7437878787878788,0.7536363636363637,0.7586363636363637,0.7696969696969697,0.7772727272727272,0.7856060606060606,0.7872727272727272,0.7884848484848485,0.7962121212121213,0.8036363636363636,0.8015151515151515,0.8063636363636364,0.8045454545454546,0.8059090909090909,0.816969696969697,0.8113636363636364,0.8166666666666667,0.8201515151515152,0.8192424242424242,0.8213636363636364,0.8218181818181818,0.8301515151515152,0.8253030303030303,0.8284848484848485,0.8306060606060606,0.8183333333333334,0.8253030303030303,0.8296969696969697,0.8321212121212122,0.8495454545454545,0.8436363636363636,0.8522727272727273,0.8503030303030303,0.8554545454545455,0.8493939393939394,0.8512121212121212,0.8548484848484849,0.8618181818181818,0.8633333333333333,0.8612121212121212,0.8666666666666667,0.8645454545454545,0.8619696969696969,0.8665151515151515,0.871969696969697,0.8678787878787879,0.8727272727272727,0.8684848484848485,0.8727272727272727,0.8757575757575757,0.8721212121212121,0.8746969696969698,0.8745454545454545,0.8789393939393939
