SNR,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
-20,0.093030303030303,0.094090909090909,0.0936363636363636,0.0939393939393939,0.091060606060606,0.095,0.0943939393939393,0.0945454545454545,0.0939393939393939,0.0934848484848484,0.096060606060606,0.0936363636363636,0.0957575757575757,0.0946969696969697,0.0939393939393939,0.0942424242424242,0.0954545454545454,0.0963636363636363,0.094090909090909,0.0969696969696969,0.0963636363636363,0.0972727272727272,0.0998484848484848,0.0971212121212121,0.098030303030303,0.0956060606060606,0.0996969696969697,0.1007575757575757,0.1034848484848484,0.1046969696969696,0.1059090909090909,0.1066666666666666,0.1083333333333333,0.1093939393939393,0.1115151515151515,0.1112121212121212,0.1128787878787878,0.1116666666666666,0.116060606060606,0.1174242424242424,0.1190909090909091,0.11863636363636364
-18,0.0948484848484848,0.0946969696969697,0.0953030303030303,0.0962121212121212,0.0974242424242424,0.0962121212121212,0.0965151515151515,0.0953030303030303,0.099090909090909,0.0977272727272727,0.0943939393939393,0.0974242424242424,0.0983333333333333,0.0977272727272727,0.098030303030303,0.0971212121212121,0.0987878787878787,0.1,0.0986363636363636,0.1009090909090909,0.0989393939393939,0.1003030303030303,0.1021212121212121,0.1022727272727272,0.1022727272727272,0.1031818181818181,0.1040909090909091,0.106060606060606,0.1071212121212121,0.11,0.1093939393939393,0.1089393939393939,0.1109090909090909,0.1125757575757575,0.1162121212121212,0.1151515151515151,0.1204545454545454,0.12,0.1187878787878787,0.1224242424242424,0.1215151515151515,0.12393939393939393
-16,0.0963636363636363,0.0959090909090909,0.0996969696969697,0.1,0.1001515151515151,0.0989393939393939,0.0993939393939394,0.1009090909090909,0.1016666666666666,0.1027272727272727,0.1056060606060606,0.1015151515151515,0.103030303030303,0.1045454545454545,0.1040909090909091,0.1065151515151515,0.1051515151515151,0.1066666666666666,0.1069696969696969,0.1084848484848484,0.1054545454545454,0.1056060606060606,0.1068181818181818,0.1096969696969697,0.109090909090909,0.1125757575757575,0.1159090909090909,0.1168181818181818,0.1171212121212121,0.1218181818181818,0.1239393939393939,0.1266666666666666,0.1295454545454545,0.1278787878787878,0.1327272727272727,0.133030303030303,0.1377272727272727,0.1365151515151515,0.1375757575757575,0.1412121212121212,0.1381818181818181,0.1443939393939394
-14,0.1075757575757575,0.1245454545454545,0.1245454545454545,0.1277272727272727,0.1325757575757575,0.1278787878787878,0.1304545454545454,0.1296969696969697,0.1293939393939394,0.1353030303030303,0.1356060606060606,0.1321212121212121,0.1372727272727272,0.1406060606060606,0.1386363636363636,0.1378787878787878,0.138030303030303,0.1346969696969697,0.1415151515151515,0.1446969696969696,0.1395454545454545,0.1463636363636363,0.1418181818181818,0.1451515151515151,0.1427272727272727,0.1454545454545454,0.1492424242424242,0.1578787878787878,0.1589393939393939,0.1559090909090909,0.1615151515151515,0.1636363636363636,0.1666666666666666,0.17,0.1683333333333333,0.1753030303030303,0.1775757575757575,0.1774242424242424,0.1796969696969697,0.1804545454545454,0.1809090909090909,0.18242424242424243
-12,0.1384848484848485,0.1716666666666666,0.1707575757575757,0.1821212121212121,0.18,0.1890909090909091,0.183030303030303,0.1851515151515151,0.1812121212121212,0.1792424242424242,0.1733333333333333,0.1746969696969696,0.1731818181818182,0.1746969696969696,0.1748484848484848,0.1781818181818182,0.1831818181818182,0.1818181818181818,0.1824242424242424,0.1869696969696969,0.1916666666666666,0.1951515151515151,0.1868181818181818,0.1940909090909091,0.1974242424242424,0.1939393939393939,0.2028787878787878,0.2054545454545454,0.211060606060606,0.206060606060606,0.2175757575757576,0.2181818181818181,0.2169696969696969,0.22,0.2251515151515151,0.2284848484848484,0.2322727272727272,0.2342424242424242,0.2369696969696969,0.2403030303030303,0.2422727272727272,0.24075757575757575
-10,0.2159090909090909,0.2583333333333333,0.2619696969696969,0.2742424242424242,0.2565151515151515,0.2654545454545454,0.2740909090909091,0.2722727272727273,0.2816666666666667,0.2809090909090909,0.2771212121212121,0.2756060606060606,0.2781818181818182,0.2798484848484848,0.2737878787878788,0.2725757575757576,0.2763636363636363,0.2771212121212121,0.2863636363636364,0.2784848484848485,0.2804545454545454,0.2807575757575757,0.2846969696969696,0.2863636363636364,0.2857575757575757,0.2909090909090909,0.3027272727272727,0.3057575757575758,0.3063636363636363,0.3107575757575757,0.3131818181818182,0.3290909090909091,0.3190909090909091,0.3236363636363636,0.3319696969696969,0.3301515151515151,0.3413636363636363,0.3384848484848485,0.3506060606060606,0.3504545454545454,0.3477272727272727,0.34939393939393937
-8,0.3243939393939394,0.3666666666666666,0.3727272727272727,0.3766666666666666,0.3821212121212121,0.3846969696969697,0.3884848484848485,0.3872727272727272,0.4009090909090909,0.4116666666666667,0.4154545454545454,0.4156060606060606,0.4204545454545454,0.4260606060606061,0.4171212121212121,0.4340909090909091,0.4213636363636364,0.4327272727272727,0.4290909090909091,0.4334848484848485,0.4328787878787878,0.4401515151515151,0.4395454545454546,0.4404545454545454,0.4433333333333333,0.4421212121212121,0.4463636363636363,0.4618181818181818,0.4656060606060606,0.4678787878787879,0.4818181818181818,0.4846969696969697,0.4933333333333333,0.4945454545454545,0.4942424242424242,0.5098484848484849,0.5096969696969696,0.5078787878787879,0.5143939393939394,0.5242424242424243,0.5210606060606061,0.5178787878787878
-6,0.4421212121212121,0.5027272727272727,0.5146969696969697,0.5193939393939394,0.5265151515151515,0.5242424242424243,0.5334848484848485,0.5422727272727272,0.543939393939394,0.5609090909090909,0.5645454545454546,0.573030303030303,0.5783333333333334,0.5928787878787879,0.5946969696969697,0.6051515151515151,0.5974242424242424,0.6098484848484849,0.610909090909091,0.6134848484848485,0.6175757575757576,0.615,0.6287878787878788,0.6254545454545455,0.6293939393939394,0.6333333333333333,0.6471212121212121,0.661969696969697,0.6615151515151515,0.6583333333333333,0.678030303030303,0.6837878787878788,0.6837878787878788,0.686060606060606,0.696969696969697,0.6972727272727273,0.7006060606060606,0.7022727272727273,0.7059090909090909,0.7069696969696969,0.7083333333333334,0.713939393939394
-4,0.54,0.6162121212121212,0.63,0.6418181818181818,0.6525757575757576,0.6574242424242425,0.668939393939394,0.6746969696969697,0.6801515151515152,0.6913636363636364,0.6928787878787879,0.7063636363636364,0.7137878787878787,0.7201515151515151,0.7227272727272728,0.7318181818181818,0.7312121212121212,0.7351515151515151,0.7362121212121212,0.7425757575757576,0.7478787878787879,0.7521212121212121,0.7563636363636363,0.7559090909090909,0.7631818181818182,0.7581818181818182,0.785,0.7922727272727272,0.7928787878787878,0.7906060606060606,0.8128787878787879,0.8104545454545454,0.8095454545454546,0.8077272727272727,0.8222727272727273,0.8256060606060606,0.8218181818181818,0.8253030303030303,0.8312121212121212,0.8334848484848485,0.8322727272727273,0.8281818181818181
-2,0.6062121212121212,0.6887878787878788,0.6963636363636364,0.7122727272727273,0.7290909090909091,0.7440909090909091,0.7557575757575757,0.7645454545454545,0.7745454545454545,0.7806060606060606,0.7966666666666666,0.8096969696969697,0.8103030303030303,0.8137878787878788,0.8240909090909091,0.8251515151515152,0.83,0.8390909090909091,0.8354545454545454,0.8410606060606061,0.8474242424242424,0.8436363636363636,0.8498484848484849,0.8503030303030303,0.8521212121212122,0.8525757575757575,0.8690909090909091,0.8693939393939394,0.8746969696969698,0.8756060606060606,0.8875757575757576,0.8884848484848484,0.8880303030303031,0.8857575757575757,0.8933333333333333,0.8892424242424243,0.8934848484848484,0.8981818181818182,0.8981818181818182,0.8989393939393939,0.8992424242424243,0.8983333333333333
0,0.6389393939393939,0.7237878787878788,0.7416666666666667,0.7554545454545455,0.7809090909090909,0.798939393939394,0.8121212121212121,0.8112121212121212,0.8245454545454546,0.8366666666666667,0.8490909090909091,0.863030303030303,0.8737878787878788,0.8768181818181818,0.8863636363636364,0.8837878787878788,0.8895454545454545,0.894090909090909,0.8909090909090909,0.8974242424242425,0.8998484848484849,0.899090909090909,0.901060606060606,0.8962121212121212,0.9057575757575758,0.9015151515151516,0.9128787878787878,0.911969696969697,0.913939393939394,0.9116666666666666,0.9181818181818182,0.9145454545454546,0.9175757575757576,0.917121212121212,0.9237878787878788,0.9196969696969696,0.9234848484848484,0.922878787878788,0.9203030303030304,0.9215151515151516,0.9225757575757576,0.921969696969697
2,0.661060606060606,0.7404545454545455,0.7563636363636363,0.7865151515151515,0.8098484848484848,0.8278787878787879,0.8340909090909091,0.8354545454545454,0.8416666666666667,0.8563636363636363,0.87,0.8853030303030303,0.8912121212121212,0.8995454545454545,0.9009090909090908,0.9042424242424244,0.9081818181818182,0.908939393939394,0.9148484848484848,0.9095454545454544,0.9124242424242424,0.9124242424242424,0.9166666666666666,0.9187878787878788,0.9177272727272728,0.9187878787878788,0.9242424242424242,0.9209090909090908,0.9222727272727272,0.9212121212121211,0.925,0.9295454545454546,0.9263636363636364,0.9274242424242424,0.9275757575757576,0.9257575757575758,0.928939393939394,0.9292424242424242,0.9284848484848484,0.9284848484848484,0.9304545454545454,0.9263636363636364
4,0.6662121212121213,0.7510606060606061,0.7628787878787879,0.7898484848484848,0.8201515151515152,0.8306060606060606,0.8342424242424242,0.8403030303030303,0.848030303030303,0.8603030303030303,0.8768181818181818,0.8886363636363637,0.8962121212121212,0.9001515151515151,0.9106060606060606,0.9130303030303032,0.9077272727272728,0.9175757575757576,0.9122727272727272,0.9187878787878788,0.9154545454545454,0.9166666666666666,0.9178787878787878,0.9153030303030304,0.9193939393939394,0.9195454545454546,0.9190909090909092,0.9233333333333332,0.9251515151515152,0.9222727272727272,0.925,0.9248484848484848,0.9262121212121212,0.926060606060606,0.928030303030303,0.9265151515151516,0.9251515151515152,0.9268181818181818,0.926969696969697,0.9254545454545454,0.9253030303030304,0.926969696969697
6,0.6833333333333333,0.7556060606060606,0.7757575757575758,0.7943939393939394,0.8307575757575758,0.8431818181818181,0.8468181818181818,0.850909090909091,0.8612121212121212,0.8698484848484849,0.8863636363636364,0.8989393939393939,0.9103030303030304,0.9142424242424242,0.916969696969697,0.917121212121212,0.92,0.9236363636363636,0.9178787878787878,0.9195454545454546,0.926060606060606,0.9254545454545454,0.9225757575757576,0.9257575757575758,0.9274242424242424,0.9268181818181818,0.9293939393939394,0.9295454545454546,0.9295454545454546,0.9304545454545454,0.9348484848484848,0.9286363636363636,0.932121212121212,0.9283333333333332,0.9304545454545454,0.932121212121212,0.9301515151515152,0.9316666666666666,0.932121212121212,0.9331818181818182,0.9318181818181818,0.9301515151515152
8,0.6742424242424242,0.7560606060606061,0.7695454545454545,0.803939393939394,0.8262121212121212,0.8454545454545455,0.8486363636363636,0.8478787878787879,0.8542424242424242,0.8663636363636363,0.8834848484848485,0.8972727272727272,0.9040909090909092,0.912121212121212,0.9140909090909092,0.915,0.916969696969697,0.9198484848484848,0.9151515151515152,0.9253030303030304,0.9209090909090908,0.9251515151515152,0.9236363636363636,0.925,0.926969696969697,0.9277272727272728,0.9298484848484848,0.9284848484848484,0.9287878787878788,0.9296969696969696,0.9306060606060608,0.9327272727272728,0.9336363636363636,0.933030303030303,0.9316666666666666,0.9334848484848484,0.932878787878788,0.9363636363636364,0.9345454545454546,0.9337878787878788,0.9327272727272728,0.9318181818181818
10,0.6836363636363636,0.7604545454545455,0.7862121212121213,0.8087878787878788,0.8377272727272728,0.8459090909090909,0.8434848484848485,0.85,0.8587878787878788,0.8712121212121212,0.8887878787878788,0.9003030303030303,0.9031818181818182,0.9143939393939394,0.9174242424242424,0.9213636363636364,0.9206060606060606,0.921969696969697,0.9174242424242424,0.9203030303030304,0.9265151515151516,0.928030303030303,0.9268181818181818,0.9224242424242424,0.9263636363636364,0.9263636363636364,0.93,0.932121212121212,0.9298484848484848,0.9290909090909092,0.9336363636363636,0.9318181818181818,0.933939393939394,0.9316666666666666,0.9324242424242424,0.9331818181818182,0.9316666666666666,0.9313636363636364,0.9334848484848484,0.9336363636363636,0.9342424242424242,0.9324242424242424
12,0.6771212121212121,0.7504545454545455,0.7807575757575758,0.8107575757575758,0.8348484848484848,0.8409090909090909,0.8428787878787879,0.8501515151515151,0.8634848484848485,0.8713636363636363,0.8884848484848484,0.9030303030303032,0.9043939393939394,0.9127272727272728,0.916060606060606,0.922878787878788,0.9181818181818182,0.9245454545454546,0.9234848484848484,0.9259090909090908,0.9266666666666666,0.9262121212121212,0.931060606060606,0.9231818181818182,0.9312121212121212,0.9263636363636364,0.9283333333333332,0.931060606060606,0.931060606060606,0.9345454545454546,0.9348484848484848,0.9368181818181818,0.9368181818181818,0.9346969696969696,0.9372727272727271,0.9356060606060606,0.9336363636363636,0.9307575757575758,0.932878787878788,0.936060606060606,0.936060606060606,0.936060606060606
14,0.6734848484848485,0.7568181818181818,0.7774242424242425,0.806969696969697,0.8316666666666667,0.8413636363636363,0.8468181818181818,0.8545454545454545,0.8616666666666667,0.8724242424242424,0.8859090909090909,0.9009090909090908,0.906818181818182,0.911969696969697,0.9154545454545454,0.9201515151515152,0.918939393939394,0.921969696969697,0.9257575757575758,0.9284848484848484,0.925,0.9292424242424242,0.9284848484848484,0.9254545454545454,0.9292424242424242,0.9301515151515152,0.9324242424242424,0.9346969696969696,0.9322727272727273,0.9318181818181818,0.9359090909090908,0.9366666666666666,0.9363636363636364,0.932878787878788,0.9346969696969696,0.9372727272727271,0.9363636363636364,0.9334848484848484,0.9377272727272729,0.9366666666666666,0.9348484848484848,0.9368181818181818
16,0.6740909090909091,0.7616666666666667,0.7765151515151515,0.8083333333333333,0.8295454545454546,0.8427272727272728,0.8456060606060606,0.8471212121212122,0.8577272727272728,0.871969696969697,0.8901515151515151,0.9012121212121212,0.9054545454545454,0.9180303030303032,0.9165151515151516,0.9206060606060606,0.9222727272727272,0.9266666666666666,0.9242424242424242,0.9227272727272728,0.9266666666666666,0.9325757575757576,0.9284848484848484,0.9262121212121212,0.927878787878788,0.9306060606060608,0.9322727272727273,0.9346969696969696,0.937121212121212,0.9327272727272728,0.936060606060606,0.9374242424242424,0.9354545454545454,0.937878787878788,0.937121212121212,0.9368181818181818,0.94,0.9365151515151516,0.9392424242424242,0.9340909090909092,0.9363636363636364,0.9372727272727273
