SNR,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
-20,0.093030303030303,0.0916666666666666,0.0937878787878787,0.0959090909090909,0.0919696969696969,0.094090909090909,0.094090909090909,0.095,0.0956060606060606,0.0972727272727272,0.0969696969696969,0.0953030303030303,0.0946969696969697,0.096060606060606,0.0959090909090909,0.0965151515151515,0.0953030303030303,0.094090909090909,0.0986363636363636,0.0968181818181818,0.0971212121212121,0.0981818181818181,0.0966666666666666,0.0981818181818181,0.1001515151515151,0.1016666666666666,0.1012121212121212,0.1009090909090909,0.1036363636363636,0.1066666666666666,0.1112121212121212,0.1087878787878788,0.1109090909090909,0.1153030303030303,0.113030303030303,0.1168181818181818,0.11681818181818182
-18,0.0972727272727272,0.0924242424242424,0.0956060606060606,0.093030303030303,0.0965151515151515,0.0968181818181818,0.0959090909090909,0.0959090909090909,0.0983333333333333,0.0977272727272727,0.0963636363636363,0.0971212121212121,0.0968181818181818,0.0943939393939393,0.0974242424242424,0.099090909090909,0.0975757575757575,0.0981818181818181,0.1019696969696969,0.1,0.0995454545454545,0.1013636363636363,0.1019696969696969,0.1053030303030303,0.1028787878787878,0.1039393939393939,0.1066666666666666,0.108030303030303,0.1095454545454545,0.1122727272727272,0.111060606060606,0.1137878787878787,0.1165151515151515,0.1178787878787878,0.1236363636363636,0.1209090909090909,0.12
-16,0.0954545454545454,0.0937878787878787,0.0946969696969697,0.0983333333333333,0.0969696969696969,0.0962121212121212,0.0993939393939394,0.0986363636363636,0.0986363636363636,0.1018181818181818,0.1019696969696969,0.1040909090909091,0.1048484848484848,0.1036363636363636,0.1046969696969696,0.1077272727272727,0.1062121212121212,0.1054545454545454,0.1072727272727272,0.1068181818181818,0.1068181818181818,0.1054545454545454,0.1087878787878788,0.11,0.1113636363636363,0.1134848484848484,0.1159090909090909,0.1157575757575757,0.1159090909090909,0.118030303030303,0.1181818181818181,0.1259090909090909,0.1275757575757575,0.1275757575757575,0.1315151515151515,0.1383333333333333,0.1393939393939394
-14,0.1112121212121212,0.1165151515151515,0.1215151515151515,0.1224242424242424,0.1219696969696969,0.1233333333333333,0.131060606060606,0.131060606060606,0.1316666666666666,0.1316666666666666,0.1319696969696969,0.1289393939393939,0.1325757575757575,0.1333333333333333,0.1345454545454545,0.1392424242424242,0.1428787878787878,0.1427272727272727,0.1427272727272727,0.1404545454545454,0.1451515151515151,0.1454545454545454,0.1403030303030303,0.1459090909090909,0.1422727272727272,0.1456060606060606,0.1519696969696969,0.1515151515151515,0.1534848484848484,0.1619696969696969,0.16,0.1616666666666666,0.1674242424242424,0.168030303030303,0.1731818181818182,0.1775757575757575,0.1784848484848485
-12,0.1545454545454545,0.1690909090909091,0.1748484848484848,0.1813636363636363,0.1756060606060606,0.1765151515151515,0.1765151515151515,0.1766666666666666,0.1775757575757575,0.1743939393939394,0.1737878787878788,0.1778787878787879,0.1784848484848485,0.1768181818181818,0.1813636363636363,0.1798484848484848,0.1822727272727272,0.1818181818181818,0.1863636363636363,0.1916666666666666,0.1898484848484848,0.1924242424242424,0.1896969696969697,0.1943939393939394,0.1887878787878787,0.201060606060606,0.2053030303030303,0.2086363636363636,0.2124242424242424,0.2101515151515151,0.2186363636363636,0.2221212121212121,0.2287878787878788,0.2306060606060606,0.231060606060606,0.2362121212121212,0.24454545454545454
-10,0.2193939393939394,0.2543939393939394,0.2557575757575757,0.2592424242424242,0.2584848484848485,0.2687878787878788,0.2651515151515151,0.2684848484848485,0.2756060606060606,0.276969696969697,0.2745454545454545,0.2783333333333333,0.2842424242424242,0.2709090909090909,0.2686363636363636,0.2689393939393939,0.2763636363636363,0.2846969696969696,0.2839393939393939,0.2837878787878788,0.2843939393939394,0.2851515151515151,0.2896969696969697,0.289090909090909,0.295,0.2954545454545454,0.3095454545454545,0.316060606060606,0.3156060606060606,0.3198484848484848,0.3239393939393939,0.3331818181818182,0.3371212121212121,0.3390909090909091,0.3481818181818182,0.3515151515151515,0.3596969696969697
-8,0.3218181818181818,0.3681818181818181,0.3659090909090909,0.3793939393939394,0.3901515151515151,0.3943939393939394,0.3906060606060606,0.3978787878787879,0.4046969696969697,0.4043939393939394,0.4089393939393939,0.4174242424242424,0.42,0.4221212121212121,0.4192424242424242,0.4233333333333333,0.4284848484848484,0.4262121212121212,0.4227272727272727,0.4366666666666666,0.4283333333333333,0.4292424242424242,0.4401515151515151,0.4407575757575757,0.4507575757575757,0.446060606060606,0.4668181818181818,0.4701515151515151,0.4724242424242424,0.4806060606060606,0.4746969696969697,0.4959090909090909,0.5027272727272727,0.5062121212121212,0.5054545454545455,0.5159090909090909,0.519090909090909
-6,0.4393939393939394,0.5065151515151515,0.5184848484848484,0.5221212121212121,0.535,0.5384848484848485,0.5454545454545454,0.5462121212121213,0.5516666666666666,0.5554545454545454,0.5606060606060606,0.5686363636363636,0.5798484848484848,0.595,0.5915151515151515,0.5933333333333334,0.5983333333333334,0.6045454545454545,0.600909090909091,0.6110606060606061,0.616969696969697,0.6260606060606061,0.6251515151515151,0.6212121212121212,0.6312121212121212,0.6357575757575757,0.6546969696969697,0.651969696969697,0.6616666666666666,0.6639393939393939,0.6686363636363636,0.6807575757575758,0.6957575757575758,0.6927272727272727,0.6857575757575758,0.6998484848484848,0.7065151515151515
-4,0.5315151515151515,0.6172727272727273,0.6345454545454545,0.6287878787878788,0.6580303030303031,0.6603030303030303,0.6712121212121213,0.6753030303030303,0.6781818181818182,0.6857575757575758,0.6918181818181818,0.715,0.713030303030303,0.7236363636363636,0.7298484848484849,0.7321212121212122,0.7381818181818182,0.7454545454545455,0.7472727272727273,0.7442424242424243,0.7527272727272727,0.7583333333333333,0.7506060606060606,0.7610606060606061,0.7625757575757576,0.765,0.7790909090909091,0.7878787878787878,0.7895454545454546,0.7951515151515152,0.7966666666666666,0.8109090909090909,0.8124242424242424,0.8168181818181818,0.811060606060606,0.823030303030303,0.8303030303030303
-2,0.6021212121212122,0.6787878787878788,0.6959090909090909,0.7078787878787879,0.7413636363636363,0.7440909090909091,0.7678787878787878,0.7662121212121212,0.7651515151515151,0.7809090909090909,0.7981818181818182,0.8127272727272727,0.8137878787878788,0.8213636363636364,0.8284848484848485,0.83,0.835,0.8409090909090909,0.8443939393939394,0.8448484848484848,0.8442424242424242,0.8484848484848485,0.853030303030303,0.8490909090909091,0.8525757575757575,0.853030303030303,0.8681818181818182,0.8709090909090909,0.8715151515151515,0.8748484848484849,0.8751515151515151,0.8822727272727273,0.8846969696969696,0.8892424242424243,0.8833333333333333,0.8918181818181818,0.8936363636363637
0,0.6498484848484849,0.730909090909091,0.735,0.7704545454545455,0.791060606060606,0.8077272727272727,0.8195454545454546,0.813939393939394,0.8259090909090909,0.8343939393939394,0.8543939393939394,0.8624242424242424,0.8743939393939394,0.8784848484848485,0.8795454545454545,0.8907575757575757,0.8880303030303031,0.8937878787878788,0.8924242424242425,0.8956060606060606,0.8959090909090909,0.9001515151515151,0.8984848484848484,0.8998484848484849,0.899090909090909,0.9036363636363636,0.9131818181818182,0.9124242424242424,0.911060606060606,0.911818181818182,0.9122727272727272,0.916060606060606,0.9178787878787878,0.916818181818182,0.9181818181818182,0.9204545454545454,0.9187878787878788
2,0.6640909090909091,0.7446969696969697,0.761969696969697,0.7916666666666666,0.8142424242424242,0.8236363636363636,0.8368181818181818,0.8337878787878787,0.8475757575757575,0.8504545454545455,0.8696969696969697,0.8880303030303031,0.8965151515151515,0.9027272727272728,0.9057575757575758,0.9103030303030304,0.9046969696969696,0.9137878787878788,0.9072727272727272,0.9142424242424242,0.9124242424242424,0.913939393939394,0.9134848484848485,0.9183333333333332,0.9163636363636364,0.9175757575757576,0.9227272727272728,0.9216666666666666,0.9240909090909092,0.9246969696969696,0.9206060606060606,0.9248484848484848,0.9263636363636364,0.925,0.926060606060606,0.9262121212121212,0.9231818181818182
4,0.6616666666666666,0.7510606060606061,0.7687878787878788,0.7972727272727272,0.8184848484848485,0.828030303030303,0.8421212121212122,0.833030303030303,0.8403030303030303,0.8540909090909091,0.884090909090909,0.8907575757575757,0.9015151515151516,0.9025757575757576,0.9083333333333332,0.9106060606060606,0.912121212121212,0.9146969696969696,0.913939393939394,0.9156060606060606,0.916818181818182,0.911818181818182,0.9174242424242424,0.9204545454545454,0.9225757575757576,0.916969696969697,0.921818181818182,0.923939393939394,0.9215151515151516,0.9213636363636364,0.9254545454545454,0.9251515151515152,0.9246969696969696,0.9259090909090908,0.9265151515151516,0.9283333333333332,0.9248484848484848
6,0.675,0.7571212121212121,0.781060606060606,0.808030303030303,0.833030303030303,0.8409090909090909,0.8504545454545455,0.8531818181818182,0.8574242424242424,0.8693939393939394,0.8881818181818182,0.902121212121212,0.9084848484848485,0.915,0.9172727272727272,0.9187878787878788,0.9181818181818182,0.9190909090909092,0.9231818181818182,0.9212121212121211,0.9236363636363636,0.9233333333333332,0.9233333333333332,0.9265151515151516,0.921060606060606,0.9242424242424242,0.93,0.9295454545454546,0.9301515151515152,0.9295454545454546,0.928939393939394,0.9303030303030304,0.9295454545454546,0.9292424242424242,0.9281818181818182,0.9262121212121212,0.9296969696969697
8,0.6724242424242424,0.7610606060606061,0.7754545454545455,0.8027272727272727,0.8301515151515152,0.8395454545454546,0.8524242424242424,0.8503030303030303,0.8572727272727273,0.8606060606060606,0.8842424242424243,0.8975757575757576,0.9074242424242424,0.9125757575757576,0.9146969696969696,0.9177272727272728,0.916060606060606,0.9187878787878788,0.9212121212121211,0.9213636363636364,0.9216666666666666,0.921060606060606,0.9245454545454546,0.9245454545454546,0.9216666666666666,0.9234848484848484,0.9240909090909092,0.9253030303030304,0.9283333333333332,0.9251515151515152,0.9266666666666666,0.9245454545454546,0.9254545454545454,0.9292424242424242,0.9257575757575758,0.9268181818181818,0.9286363636363636
