SNR,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
-20,0.1045833333333333,0.1058333333333333,0.1079444444444444,0.1060833333333333,0.1061111111111111,0.1071666666666666,0.1067777777777777,0.1051388888888888,0.1057222222222222,0.1060833333333333,0.106,0.1053611111111111,0.1073611111111111,0.1058333333333333,0.1050277777777777,0.1087222222222222,0.1086944444444444,0.1048055555555555,0.1076944444444444,0.1076111111111111,0.1088611111111111,0.1090277777777777,0.1061388888888889,0.1065555555555555,0.1099722222222222,0.1086944444444444,0.1099444444444444,0.1066666666666666,0.1074166666666666,0.1093055555555555,0.1083333333333333,0.1080555555555555,0.1095277777777777,0.1097777777777777,0.1081111111111111,0.1119166666666666,0.1097777777777777,0.1108611111111111,0.1124166666666666,0.1125555555555555,0.1169166666666666,0.1138611111111111,0.1184722222222222,0.1164444444444444,0.1203055555555555,0.1212222222222222,0.1222222222222222,0.1228611111111111,0.1259166666666666,0.12577777777777777
-18,0.1108333333333333,0.1069166666666666,0.11025,0.1100277777777777,0.1085833333333333,0.1088333333333333,0.1113055555555555,0.1070555555555555,0.1079722222222222,0.1094722222222222,0.1119722222222222,0.1107222222222222,0.11225,0.1118611111111111,0.1127222222222222,0.1114166666666666,0.1110833333333333,0.1100833333333333,0.1113611111111111,0.1129166666666666,0.1105,0.1116388888888888,0.1095,0.1116944444444444,0.1096111111111111,0.1131666666666666,0.1120277777777777,0.1121666666666666,0.1148055555555555,0.1125277777777777,0.1125833333333333,0.1149444444444444,0.1130277777777777,0.11725,0.1143888888888888,0.1149444444444444,0.11825,0.1166666666666666,0.1199722222222222,0.11975,0.1200277777777777,0.1218888888888889,0.1202222222222222,0.1235555555555555,0.1256111111111111,0.1265833333333333,0.1284722222222222,0.1274444444444444,0.1308611111111111,0.1308888888888889
-16,0.1172222222222222,0.1193888888888888,0.1211944444444444,0.1197222222222222,0.1187222222222222,0.1244444444444444,0.1211944444444444,0.1237777777777777,0.1259444444444444,0.1218333333333333,0.1246944444444444,0.1245277777777777,0.1248611111111111,0.1238333333333333,0.1221944444444444,0.1251666666666666,0.1250833333333333,0.1240555555555555,0.1245833333333333,0.1254166666666666,0.1255555555555555,0.1258055555555555,0.1272777777777777,0.1248611111111111,0.1274722222222222,0.1273611111111111,0.1281111111111111,0.1268333333333333,0.1284166666666666,0.1291111111111111,0.12725,0.1283888888888888,0.1241944444444444,0.1279444444444444,0.1298333333333333,0.1281944444444444,0.13025,0.1352222222222222,0.1348333333333333,0.1321111111111111,0.1346944444444444,0.1356944444444444,0.1358055555555555,0.1382222222222222,0.1416111111111111,0.1423888888888889,0.1437222222222222,0.1465555555555555,0.1499722222222222,0.14863888888888888
-14,0.1385,0.1526111111111111,0.1511666666666666,0.1544166666666666,0.1550833333333333,0.156,0.1538333333333333,0.1553888888888888,0.1531111111111111,0.1572777777777777,0.1564444444444444,0.1596666666666666,0.1566666666666666,0.1606111111111111,0.1607777777777777,0.16025,0.1602222222222222,0.1591944444444444,0.1592222222222222,0.1647777777777777,0.1610555555555555,0.1650833333333333,0.1625277777777777,0.1606111111111111,0.1638055555555555,0.1645833333333333,0.1677222222222222,0.1628333333333333,0.1624444444444444,0.1620277777777777,0.1652222222222222,0.1635,0.1648611111111111,0.1633055555555555,0.16675,0.1668888888888889,0.16825,0.1719166666666666,0.1717777777777777,0.1760833333333333,0.1746388888888889,0.179,0.1738888888888889,0.1787222222222222,0.1859444444444444,0.1838055555555555,0.1841111111111111,0.1878333333333333,0.18875,0.19225
-12,0.1850833333333333,0.2042222222222222,0.2037777777777777,0.2044722222222222,0.2032222222222222,0.2066388888888889,0.2083333333333333,0.2116944444444444,0.2163333333333333,0.2159166666666666,0.2166388888888888,0.2135833333333333,0.2122222222222222,0.2122777777777778,0.2173333333333333,0.2145,0.21375,0.2181944444444444,0.2186388888888888,0.21625,0.21725,0.2133611111111111,0.2175,0.2189722222222222,0.2195833333333333,0.2188611111111111,0.2191666666666666,0.2199444444444444,0.2180833333333333,0.2189444444444444,0.2184722222222222,0.2194722222222222,0.2202777777777777,0.2211388888888888,0.2220277777777777,0.226,0.2255833333333333,0.2283611111111111,0.2304444444444444,0.23275,0.2378333333333333,0.2315555555555555,0.2374444444444444,0.2361666666666666,0.2439444444444444,0.24525,0.2458888888888888,0.2491111111111111,0.2510277777777778,0.2554444444444444
-10,0.2669722222222222,0.2808888888888889,0.2837222222222222,0.2828888888888889,0.2875833333333333,0.2879444444444444,0.2875833333333333,0.2946111111111111,0.29575,0.2966388888888889,0.3011388888888889,0.3050277777777778,0.2996388888888889,0.3032222222222222,0.3080555555555556,0.3065555555555556,0.3095277777777778,0.3079722222222222,0.3084444444444444,0.3111388888888889,0.3136111111111111,0.312,0.3174166666666667,0.31725,0.31525,0.3195555555555555,0.3172222222222222,0.3221666666666666,0.3171944444444444,0.3226666666666666,0.3223055555555555,0.3234722222222222,0.3218611111111111,0.3226666666666666,0.3228333333333333,0.3278333333333333,0.3304444444444444,0.3359722222222222,0.3429722222222222,0.3428055555555555,0.3426666666666667,0.3451666666666667,0.3453888888888889,0.3450277777777777,0.3559722222222222,0.3629444444444444,0.3608888888888888,0.3632222222222222,0.3703888888888889,0.36630555555555555
-8,0.3308055555555556,0.3540833333333333,0.3750833333333333,0.3849444444444444,0.3918333333333333,0.39025,0.3878888888888889,0.3933888888888889,0.3955277777777777,0.4030833333333333,0.4059444444444444,0.4088055555555555,0.4161388888888889,0.4180555555555555,0.4188611111111111,0.4224166666666666,0.4267222222222222,0.4266388888888889,0.4322222222222222,0.42975,0.4347777777777777,0.4363333333333333,0.4374444444444444,0.4359166666666667,0.4395833333333333,0.4411944444444444,0.4403055555555555,0.4458888888888889,0.4424444444444444,0.4459444444444444,0.4486111111111111,0.4480277777777778,0.4519722222222222,0.4514444444444444,0.4558055555555556,0.4543611111111111,0.4571111111111111,0.4655833333333333,0.4693611111111111,0.4693611111111111,0.4718888888888889,0.4725833333333333,0.476,0.4764166666666666,0.4856944444444444,0.4883333333333333,0.4919444444444444,0.4919444444444444,0.4969722222222222,0.5001666666666666
-6,0.4109166666666666,0.4583333333333333,0.4943333333333333,0.5085,0.5244444444444445,0.53625,0.5360555555555555,0.5475,0.55325,0.5571388888888889,0.56075,0.5646388888888889,0.5714722222222223,0.5705,0.5708611111111112,0.5788055555555556,0.58125,0.5804722222222222,0.5823055555555555,0.5845277777777778,0.5894166666666667,0.5928055555555556,0.5935555555555555,0.5924722222222222,0.5937222222222223,0.5971388888888889,0.5943055555555555,0.5974444444444444,0.6023333333333334,0.6026111111111111,0.6054444444444445,0.6055833333333334,0.6089444444444444,0.6102222222222222,0.6120555555555556,0.6119444444444444,0.6128611111111111,0.6283888888888889,0.629,0.6301111111111111,0.6335555555555555,0.6353333333333333,0.6401388888888889,0.64075,0.6507222222222222,0.6521666666666667,0.6560833333333334,0.6580277777777778,0.6649444444444444,0.66325
-4,0.5214444444444445,0.6051666666666666,0.6461666666666667,0.6633333333333333,0.6783333333333333,0.6850833333333334,0.6897222222222222,0.70475,0.7166388888888889,0.7180555555555556,0.7246944444444444,0.7306944444444444,0.7326944444444444,0.7368611111111111,0.7373055555555555,0.7422222222222222,0.7453333333333333,0.74875,0.7531666666666667,0.7523888888888889,0.7568055555555555,0.7557222222222222,0.7622222222222222,0.761,0.7630555555555556,0.7623055555555556,0.7661388888888889,0.7682222222222223,0.7659166666666667,0.7716111111111111,0.7728055555555555,0.7742222222222223,0.7771111111111111,0.7763888888888889,0.7778333333333334,0.7803611111111111,0.7818055555555555,0.7943055555555556,0.7955833333333333,0.7977777777777778,0.7983333333333333,0.8004166666666667,0.8045277777777777,0.8045277777777777,0.8169166666666666,0.8158611111111111,0.8186111111111111,0.82025,0.8253055555555555,0.8265555555555556
-2,0.6231944444444445,0.7282222222222222,0.7716944444444445,0.7911388888888888,0.8039444444444445,0.8165555555555556,0.8236111111111111,0.8369444444444445,0.8441111111111111,0.8505,0.85525,0.8533888888888889,0.8616111111111111,0.8595277777777778,0.8648055555555556,0.868,0.8691111111111111,0.8711666666666666,0.8720277777777777,0.8700277777777777,0.8728611111111111,0.8749722222222223,0.8753888888888889,0.87475,0.87725,0.8781111111111111,0.8803611111111111,0.8795277777777778,0.8815,0.8815,0.8811944444444444,0.8848333333333334,0.8833611111111112,0.8839444444444444,0.8855277777777778,0.8859722222222223,0.8884444444444445,0.8940833333333333,0.8939444444444444,0.8927222222222222,0.8953888888888889,0.8947777777777778,0.8965833333333333,0.8963055555555556,0.9010555555555556,0.9032222222222224,0.9021388888888888,0.9032222222222224,0.9035833333333332,0.9051666666666667
