SNR,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51
-20,0.1064444444444444,0.1047777777777777,0.1051388888888888,0.10475,0.1060833333333333,0.10575,0.1030277777777777,0.1041111111111111,0.1056666666666666,0.106,0.1026944444444444,0.1062222222222222,0.1055,0.1060277777777777,0.1064722222222222,0.1062777777777777,0.1054166666666666,0.1069722222222222,0.1064166666666666,0.10875,0.1081944444444444,0.1051388888888888,0.1076111111111111,0.109,0.1076666666666666,0.1091666666666666,0.1084722222222222,0.1085,0.1051388888888888,0.1088611111111111,0.1124722222222222,0.1094444444444444,0.1096388888888888,0.1106388888888888,0.1097777777777777,0.1108611111111111,0.1135,0.1145,0.1148611111111111,0.1166111111111111,0.1164444444444444,0.1170277777777777,0.1190277777777777,0.1188055555555555,0.1198611111111111,0.1190833333333333,0.1223055555555555,0.12175,0.1216944444444444,0.1199722222222222,0.1232777777777777,0.12397222222222222
-18,0.1072777777777777,0.1111111111111111,0.1118611111111111,0.1091944444444444,0.1079444444444444,0.11175,0.10925,0.1104444444444444,0.1104444444444444,0.1089444444444444,0.1138888888888888,0.1100833333333333,0.1155277777777777,0.1126944444444444,0.1126944444444444,0.1104166666666666,0.1115555555555555,0.1112222222222222,0.1113055555555555,0.1105,0.1127777777777777,0.1126111111111111,0.1121111111111111,0.1124444444444444,0.1151111111111111,0.1149166666666666,0.1122222222222222,0.1141944444444444,0.1142222222222222,0.1136111111111111,0.1158611111111111,0.1139722222222222,0.1152222222222222,0.1151388888888888,0.1161944444444444,0.1210277777777777,0.1176388888888888,0.1185555555555555,0.1210833333333333,0.1199166666666666,0.1194444444444444,0.1217222222222222,0.1240555555555555,0.1244444444444444,0.1251666666666666,0.1259166666666666,0.1245555555555555,0.1255555555555555,0.1243611111111111,0.1277222222222222,0.1279722222222222,0.12605555555555556
-16,0.1157777777777777,0.1206388888888888,0.1186388888888888,0.1187222222222222,0.1192777777777777,0.1209444444444444,0.1231388888888889,0.1206944444444444,0.1238055555555555,0.1238888888888889,0.1225833333333333,0.1220555555555555,0.1239166666666666,0.1258611111111111,0.1236388888888889,0.1220277777777777,0.12475,0.1224722222222222,0.1237777777777777,0.1243611111111111,0.1230555555555555,0.1263611111111111,0.1237777777777777,0.1278888888888888,0.126,0.1253888888888888,0.1268055555555555,0.1268611111111111,0.1241666666666666,0.1316666666666666,0.1293888888888889,0.1296944444444444,0.1292222222222222,0.1305555555555555,0.1290833333333333,0.1340833333333333,0.1365,0.1341111111111111,0.1337777777777777,0.1373611111111111,0.13475,0.1393611111111111,0.1384444444444444,0.1399166666666666,0.1401388888888889,0.1418333333333333,0.14275,0.1434444444444444,0.1437777777777777,0.1465,0.1421388888888889,0.14383333333333334
-14,0.1335555555555555,0.1496111111111111,0.1481111111111111,0.1488055555555555,0.1567222222222222,0.1543055555555555,0.1537222222222222,0.1564722222222222,0.1563333333333333,0.1549444444444444,0.1528055555555555,0.1581944444444444,0.1569166666666666,0.1584722222222222,0.1590833333333333,0.1578611111111111,0.1575555555555555,0.1593333333333333,0.1569444444444444,0.1589166666666666,0.1620833333333333,0.1580277777777777,0.1588055555555555,0.1608333333333333,0.1613333333333333,0.1622222222222222,0.1608888888888889,0.1621944444444444,0.1643611111111111,0.16475,0.1676111111111111,0.1682777777777777,0.1704722222222222,0.1680833333333333,0.1693055555555555,0.1710833333333333,0.1751388888888889,0.1757777777777777,0.1756666666666666,0.1777777777777777,0.1781944444444444,0.1810555555555555,0.1809166666666666,0.1808333333333333,0.1825277777777778,0.1829444444444444,0.1831666666666666,0.1824166666666666,0.1859444444444444,0.1845,0.1878333333333333,0.18466666666666667
-12,0.1861111111111111,0.2075833333333333,0.2023611111111111,0.2008333333333333,0.2029166666666666,0.2052222222222222,0.2084722222222222,0.2105555555555555,0.2130555555555555,0.2105,0.2144722222222222,0.2130833333333333,0.2124444444444444,0.2126666666666666,0.2163333333333333,0.2129166666666666,0.2138333333333333,0.2166666666666666,0.2156111111111111,0.2121388888888888,0.2160555555555555,0.2175833333333333,0.2153888888888888,0.2149722222222222,0.2204444444444444,0.2135555555555555,0.2171388888888888,0.2148888888888888,0.2196666666666666,0.22275,0.2240277777777777,0.2261944444444444,0.2257222222222222,0.2266111111111111,0.2283055555555555,0.2296944444444444,0.2326111111111111,0.2325833333333333,0.2341388888888889,0.2356666666666666,0.2343055555555555,0.2396388888888889,0.2410277777777777,0.2408611111111111,0.2429166666666666,0.2408888888888889,0.2431944444444444,0.2431666666666666,0.2469444444444444,0.2469444444444444,0.2465833333333333,0.24605555555555556
-10,0.2687777777777778,0.2834166666666666,0.2921388888888889,0.2865277777777777,0.2792777777777778,0.2863333333333333,0.2881388888888889,0.2896666666666667,0.2960833333333333,0.3001666666666667,0.3008888888888889,0.3036388888888889,0.3051388888888889,0.3046111111111111,0.3054722222222222,0.3052777777777777,0.3098055555555555,0.309,0.3132777777777777,0.3125555555555555,0.31425,0.3172222222222222,0.3148333333333333,0.3152222222222222,0.31575,0.3198888888888889,0.3203611111111111,0.3239166666666667,0.32275,0.3288333333333333,0.3305277777777777,0.3291111111111111,0.3286388888888888,0.3350277777777777,0.3343333333333333,0.3382222222222222,0.3385833333333333,0.3460277777777777,0.3428055555555555,0.3447222222222222,0.3460555555555555,0.3460833333333333,0.3540833333333333,0.3536944444444444,0.3523333333333333,0.3566944444444444,0.3570277777777778,0.3581388888888889,0.3543888888888888,0.357,0.3555277777777778,0.35683333333333334
-8,0.3296666666666666,0.3548055555555555,0.3696388888888889,0.3801944444444444,0.3841944444444444,0.3929166666666667,0.3906111111111111,0.397,0.4033055555555555,0.4028611111111111,0.4083055555555555,0.4124722222222222,0.4145,0.4163611111111111,0.4223611111111111,0.4205277777777778,0.4233333333333333,0.4239722222222222,0.4305,0.4266111111111111,0.4316666666666666,0.4318055555555555,0.4358055555555555,0.4380555555555555,0.4363611111111111,0.4407222222222222,0.4427777777777777,0.4422777777777777,0.4429722222222222,0.4543888888888889,0.4554444444444444,0.4576388888888889,0.4614166666666666,0.4605555555555555,0.4633611111111111,0.4681666666666667,0.4687777777777778,0.4698055555555555,0.4706111111111111,0.4738055555555555,0.4763611111111111,0.4773055555555555,0.4790555555555555,0.4828055555555555,0.4809444444444444,0.4851111111111111,0.4831944444444444,0.4843055555555555,0.4858611111111111,0.4868333333333333,0.4883333333333333,0.4874722222222222
-6,0.4110277777777777,0.4637222222222222,0.4830277777777778,0.5036111111111111,0.5205555555555555,0.5364444444444444,0.5450833333333334,0.5492222222222222,0.5521388888888888,0.5575277777777777,0.5646388888888889,0.5660833333333334,0.5699722222222222,0.5698611111111112,0.5731111111111111,0.5754166666666667,0.5798333333333333,0.5796944444444444,0.5821666666666667,0.5833055555555555,0.5840555555555556,0.5891388888888889,0.5896666666666667,0.5918888888888889,0.5903888888888889,0.5945833333333334,0.5947222222222223,0.5930277777777778,0.5989722222222222,0.60825,0.6105555555555555,0.6136388888888888,0.6124166666666667,0.6153611111111111,0.6158333333333333,0.6254444444444445,0.6249166666666667,0.6291388888888889,0.6271666666666667,0.6310833333333333,0.6329722222222223,0.6379166666666667,0.63725,0.6381944444444444,0.6404444444444445,0.6423888888888889,0.6451111111111111,0.6453055555555556,0.6441388888888889,0.6468888888888888,0.6451666666666667,0.646
-4,0.5272777777777777,0.6050277777777778,0.6328333333333334,0.6522777777777777,0.6678888888888889,0.6876944444444445,0.6951666666666667,0.7074166666666667,0.7128888888888889,0.7197777777777777,0.7260555555555556,0.7287222222222223,0.733,0.7375277777777778,0.7423055555555556,0.7435,0.7487222222222222,0.7505833333333334,0.7519166666666667,0.7568055555555555,0.7566111111111111,0.7566944444444444,0.7589444444444444,0.7639444444444444,0.765,0.7626111111111111,0.7654444444444445,0.7696666666666667,0.7684166666666666,0.7804444444444445,0.7831388888888889,0.7848611111111111,0.7859444444444444,0.7869444444444444,0.7878055555555555,0.7964722222222222,0.7998055555555555,0.8005555555555556,0.7992222222222222,0.8011388888888888,0.8018888888888889,0.8094722222222223,0.8095277777777777,0.8107777777777778,0.8098055555555556,0.8113055555555555,0.8144166666666667,0.8151666666666667,0.8163611111111111,0.81375,0.8156388888888889,0.8157222222222222
-2,0.6342777777777778,0.7294166666666667,0.7572222222222222,0.7810555555555555,0.7999166666666667,0.8139722222222222,0.8256388888888889,0.8355555555555556,0.8419166666666666,0.8443611111111111,0.8498888888888889,0.8563055555555555,0.8573611111111111,0.8593888888888889,0.8610555555555556,0.8646111111111111,0.8660833333333333,0.8683055555555556,0.8683888888888889,0.8711388888888889,0.8724166666666666,0.875,0.87325,0.8758055555555555,0.87575,0.8767222222222222,0.8785,0.8769722222222223,0.8802222222222222,0.8881666666666667,0.8889444444444444,0.8891666666666667,0.8886944444444445,0.8895555555555555,0.8901388888888889,0.8947222222222222,0.8976111111111111,0.8955833333333333,0.8971666666666667,0.8959722222222222,0.8980833333333333,0.9005833333333333,0.9011111111111112,0.9015833333333332,0.9016944444444444,0.9039444444444444,0.9029444444444444,0.9028888888888889,0.9031944444444444,0.9043888888888888,0.9034444444444444,0.9051111111111111
