SNR,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
-20,0.106,0.10475,0.1064722222222222,0.1053888888888888,0.1071666666666666,0.1030277777777777,0.1052222222222222,0.1068888888888889,0.1066388888888889,0.1071388888888889,0.1072777777777777,0.10575,0.1085277777777777,0.1086388888888888,0.1090555555555555,0.1105833333333333,0.1103333333333333,0.112,0.1104444444444444,0.1123055555555555,0.1135833333333333,0.1150833333333333,0.1185555555555555,0.1178333333333333,0.1193888888888888,0.1216111111111111,0.1199444444444444,0.1245555555555555,0.1224722222222222,0.1269722222222222
-18,0.1083611111111111,0.1116666666666666,0.1077222222222222,0.1089722222222222,0.1101111111111111,0.1101944444444444,0.1085833333333333,0.1118055555555555,0.1125277777777777,0.1143888888888888,0.1105277777777777,0.1100555555555555,0.1133611111111111,0.1144444444444444,0.1106111111111111,0.1166111111111111,0.1149166666666666,0.11775,0.11925,0.1180277777777777,0.1195,0.1234444444444444,0.1246388888888888,0.1253333333333333,0.1252777777777777,0.1273333333333333,0.1308888888888889,0.1293055555555555,0.1304444444444444,0.13205555555555556
-16,0.117,0.1221111111111111,0.1231388888888889,0.12525,0.1259444444444444,0.1235555555555555,0.1255277777777777,0.1246111111111111,0.1249166666666666,0.1256944444444444,0.1251944444444444,0.1260833333333333,0.1275555555555555,0.1273055555555555,0.1274722222222222,0.1328333333333333,0.1321944444444444,0.1326111111111111,0.1326388888888889,0.1331944444444444,0.1343055555555555,0.1383888888888889,0.1426944444444444,0.1418333333333333,0.14425,0.145,0.1460833333333333,0.1479166666666666,0.1481388888888888,0.15230555555555556
-14,0.1398333333333333,0.1491111111111111,0.1531944444444444,0.1558055555555555,0.15725,0.157,0.1616388888888889,0.1595277777777777,0.1584166666666666,0.1604444444444444,0.1653333333333333,0.1623333333333333,0.1617777777777777,0.1653611111111111,0.1642222222222222,0.1716388888888889,0.1692222222222222,0.1695277777777777,0.1680555555555555,0.1713333333333333,0.17175,0.1774166666666666,0.1775,0.17975,0.1818333333333333,0.1806666666666666,0.18775,0.1872777777777777,0.1871388888888888,0.18916666666666668
-12,0.2014722222222222,0.2130555555555555,0.2103888888888888,0.2146111111111111,0.2174722222222222,0.2171666666666666,0.2197777777777777,0.2205277777777777,0.2191111111111111,0.2253888888888889,0.2233333333333333,0.2249722222222222,0.2238888888888889,0.2201388888888888,0.2262777777777777,0.2256666666666666,0.2319166666666666,0.2303055555555555,0.2303333333333333,0.2316111111111111,0.2319722222222222,0.2371944444444444,0.2381388888888889,0.2396944444444444,0.2437777777777778,0.2459722222222222,0.2473333333333333,0.2461944444444444,0.2471666666666666,0.24930555555555556
-10,0.2873611111111111,0.3025555555555556,0.3039166666666666,0.2999722222222222,0.3038611111111111,0.3069444444444444,0.3113888888888889,0.3125277777777778,0.3126944444444444,0.3180833333333333,0.3149166666666667,0.3163333333333333,0.3189166666666667,0.3210555555555555,0.322,0.3284722222222222,0.3319166666666667,0.3323611111111111,0.33375,0.33675,0.3397222222222222,0.3451666666666667,0.3428055555555555,0.3475277777777777,0.3506944444444444,0.3541944444444444,0.3563055555555555,0.3580277777777778,0.3583055555555555,0.3610277777777778
-8,0.3758888888888889,0.4015277777777777,0.4263055555555555,0.4275277777777778,0.4256944444444444,0.4265277777777778,0.42825,0.4318055555555555,0.43,0.4357222222222222,0.4352222222222222,0.4371944444444444,0.4366111111111111,0.43925,0.4449722222222222,0.4562777777777778,0.4533333333333333,0.4607777777777778,0.4600277777777777,0.4591111111111111,0.4665277777777777,0.4736388888888889,0.4785833333333333,0.47825,0.4806944444444444,0.4893611111111111,0.4907222222222222,0.4922222222222222,0.4935555555555556,0.4969722222222222
-6,0.4885833333333333,0.5203055555555556,0.55725,0.5738055555555556,0.5751388888888889,0.5816944444444444,0.5878055555555556,0.5876666666666667,0.59075,0.5919166666666666,0.5970277777777778,0.59875,0.6004166666666667,0.601,0.6035,0.6147777777777778,0.6185,0.6243333333333333,0.6224166666666666,0.6272222222222222,0.6292222222222222,0.6419444444444444,0.6418333333333334,0.6451388888888889,0.6494722222222222,0.65475,0.6553888888888889,0.6557222222222222,0.6593888888888889,0.6641111111111111
-4,0.5983333333333334,0.6630277777777778,0.7074722222222222,0.7318333333333333,0.7403055555555556,0.7470277777777777,0.7571388888888889,0.7571111111111111,0.761,0.7655833333333333,0.7676944444444445,0.7709722222222222,0.77325,0.7761388888888889,0.7774444444444445,0.7910555555555555,0.7929166666666667,0.7956388888888889,0.7961944444444444,0.7990555555555555,0.8025,0.8106666666666666,0.8137777777777778,0.8133333333333334,0.8153055555555555,0.822,0.8238888888888889,0.822,0.8224166666666667,0.8273888888888888
-2,0.6741111111111111,0.7697777777777778,0.8343055555555555,0.851,0.8580833333333333,0.8655277777777778,0.8673888888888889,0.8728611111111111,0.8738888888888889,0.8776944444444444,0.8799444444444444,0.8809166666666667,0.8825833333333334,0.8840833333333333,0.8849444444444444,0.89075,0.8942777777777777,0.8942222222222223,0.8957777777777778,0.8945277777777778,0.8963333333333333,0.9025833333333332,0.9001944444444444,0.902,0.9017222222222222,0.9055833333333332,0.9060555555555556,0.907,0.90725,0.9083055555555556
