dataset,model,SNR,n,mean,std
2016.10a,MCLDNN,-20,5,0.09581818181818177,0.0028276965481810364
2016.10a,MCLDNN,-18,5,0.09336363636363634,0.0022863229709016923
2016.10a,MCLDNN,-16,5,0.0945454545454545,0.0025511300364367815
2016.10a,MCLDNN,-14,5,0.11072727272727267,0.007284082045094608
2016.10a,MCLDNN,-12,5,0.14099999999999996,0.01863747225083988
2016.10a,MCLDNN,-10,5,0.22345454545454543,0.043349673757434815
2016.10a,MCLDNN,-8,5,0.3319090909090909,0.07168961449503183
2016.10a,MCLDNN,-6,5,0.4589090909090909,0.10159502737229248
2016.10a,MCLDNN,-4,5,0.5753636363636364,0.09845364307485398
2016.10a,MCLDNN,-2,5,0.6708181818181818,0.09987512864729663
2016.10a,MCLDNN,0,5,0.7337272727272728,0.0945538676326755
2016.10a,MCLDNN,2,5,0.7713636363636363,0.09132461853417853
2016.10a,MCLDNN,4,5,0.7843636363636364,0.07749740064955737
2016.10a,MCLDNN,6,5,0.7931818181818182,0.09057210268688683
2016.10a,MCLDNN,8,5,0.7963636363636364,0.07833296699990537
2016.10a,MCLDNN,10,5,0.7944545454545455,0.07857288557197989
2016.10a,MCLDNN,12,5,0.7933636363636364,0.08112178376769642
2016.10a,MCLDNN,14,5,0.798,0.08207447233010068
2016.10a,MCLDNN,16,5,0.79,0.08454606549143874
2016.10a,MCLDNN,18,5,0.7947272727272727,0.09283115838414462
2016.10a,MCFormer,-20,5,0.09554545454545452,0.0005926547641093116
2016.10a,MCFormer,-18,5,0.09772727272727269,0.001670106642806688
2016.10a,MCFormer,-16,5,0.09781818181818178,0.0031062453751399856
2016.10a,MCFormer,-14,5,0.1275454545454545,0.004073193966767245
2016.10a,MCFormer,-12,5,0.1578181818181818,0.004504359687940907
2016.10a,MCFormer,-10,5,0.23445454545454542,0.006737400239222149
2016.10a,MCFormer,-8,5,0.34345454545454546,0.015352604969152386
2016.10a,MCFormer,-6,5,0.5099090909090909,0.011971902366833431
2016.10a,MCFormer,-4,5,0.635,0.007996641857163233
2016.10a,MCFormer,-2,5,0.7129090909090909,0.007241409844010024
