dataset,model,modulation,SNR,n,mean,std
2016.10a,IQFormer,8PSK,-20,5,0.01,0.007905694150420948
2016.10a,IQFormer,8PSK,-18,5,0.007000000000000001,0.004472135954999579
2016.10a,IQFormer,8PSK,-16,5,0.002,0.0027386127875258306
2016.10a,IQFormer,8PSK,-14,5,0.003,0.00447213595499958
2016.10a,IQFormer,8PSK,-12,5,0.006,0.0022360679774997894
2016.10a,IQFormer,8PSK,-10,5,0.012,0.008366600265340756
2016.10a,IQFormer,8PSK,-8,5,0.05500000000000001,0.015811388300841896
2016.10a,IQFormer,8PSK,-6,5,0.17099999999999999,0.027248853186877427
2016.10a,IQFormer,8PSK,-4,5,0.40700000000000003,0.047116875957559
2016.10a,IQFormer,8PSK,-2,5,0.717,0.07546522377890362
2016.10a,IQFormer,8PSK,0,5,0.907,0.016431676725154998
2016.10a,IQFormer,8PSK,2,5,0.9730000000000001,0.009746794344808973
2016.10a,IQFormer,8PSK,4,5,0.9800000000000001,0.006123724356957951
2016.10a,IQFormer,8PSK,6,5,0.992,0.0057008771254956955
2016.10a,IQFormer,8PSK,8,5,0.985,0.0035355339059327407
2016.10a,IQFormer,8PSK,10,5,0.993,0.004472135954999583
2016.10a,IQFormer,8PSK,12,5,0.978,0.005700877125495695
2016.10a,IQFormer,8PSK,14,5,0.9890000000000001,0.002236067977499792
2016.10a,IQFormer,8PSK,16,5,0.99,0.0
2016.10a,IQFormer,8PSK,18,5,0.992,0.004472135954999583
2016.10a,IQFormer,AM-DSB,-20,5,0.048,0.00570087712549569
2016.10a,IQFormer,AM-DSB,-18,5,0.083,0.01151086443322134
2016.10a,IQFormer,AM-DSB,-16,5,0.088,0.01680773631397161
2016.10a,IQFormer,AM-DSB,-14,5,0.177,0.01036822067666386
2016.10a,IQFormer,AM-DSB,-12,5,0.31399999999999995,0.034532593299663995
2016.10a,IQFormer,AM-DSB,-10,5,0.462,0.02683281572999748
2016.10a,IQFormer,AM-DSB,-8,5,0.706,0.034532593299663995
2016.10a,IQFormer,AM-DSB,-6,5,0.834,0.04477722635447622
2016.10a,IQFormer,AM-DSB,-4,5,0.8880000000000001,0.04147288270665548
2016.10a,IQFormer,AM-DSB,-2,5,0.9019999999999999,0.025149552679918606
2016.10a,IQFormer,AM-DSB,0,5,0.9109999999999999,0.031898275815473165
2016.10a,IQFormer,AM-DSB,2,5,0.975,0.012247448713915901
2016.10a,IQFormer,AM-DSB,4,5,0.99,0.010000000000000009
2016.10a,IQFormer,AM-DSB,6,5,1.0,0.0
2016.10a,IQFormer,AM-DSB,8,5,1.0,0.0
2016.10a,IQFormer,AM-DSB,10,5,1.0,0.0
2016.10a,IQFormer,AM-DSB,12,5,1.0,0.0
2016.10a,IQFormer,AM-DSB,14,5,1.0,0.0
2016.10a,IQFormer,AM-DSB,16,5,1.0,0.0
2016.10a,IQFormer,AM-DSB,18,5,1.0,0.0
2016.10a,IQFormer,AM-SSB,-20,5,0.9390000000000001,0.008215838362577452
2016.10a,IQFormer,AM-SSB,-18,5,0.89,0.014142135623730963
2016.10a,IQFormer,AM-SSB,-16,5,0.884,0.02103568396796265
2016.10a,IQFormer,AM-SSB,-14,5,0.908,0.009082951062292483
2016.10a,IQFormer,AM-SSB,-12,5,0.9199999999999999,0.015811388300841875
2016.10a,IQFormer,AM-SSB,-10,5,0.901,0.018165902124584965
2016.10a,IQFormer,AM-SSB,-8,5,0.9019999999999999,0.027748873851023242
2016.10a,IQFormer,AM-SSB,-6,5,0.913,0.008366600265340763
2016.10a,IQFormer,AM-SSB,-4,5,0.915,0.019364916731037102
2016.10a,IQFormer,AM-SSB,-2,5,0.9289999999999999,0.021330729007701506
2016.10a,IQFormer,AM-SSB,0,5,0.9289999999999999,0.018506755523321716
2016.10a,IQFormer,AM-SSB,2,5,0.913,0.016807736313971627
2016.10a,IQFormer,AM-SSB,4,5,0.933,0.011510864433221291
2016.10a,IQFormer,AM-SSB,6,5,0.916,0.023291629397704218
2016.10a,IQFormer,AM-SSB,8,5,0.915,0.013693063937629165
2016.10a,IQFormer,AM-SSB,10,5,0.892,0.01923538406167136
2016.10a,IQFormer,AM-SSB,12,5,0.9030000000000001,0.009746794344808973
2016.10a,IQFormer,AM-SSB,14,5,0.9369999999999999,0.018234582528810436
2016.10a,IQFormer,AM-SSB,16,5,0.915,0.021505813167606583
2016.10a,IQFormer,AM-SSB,18,5,0.925,0.01695582495781313
2016.10a,IQFormer,BPSK,-20,5,0.003,0.0027386127875258306
2016.10a,IQFormer,BPSK,-18,5,0.005,0.005
