SNR,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
-20,0.0918181818181818,0.0901515151515151,0.0931818181818181,0.0925757575757575,0.0934848484848484,0.0936363636363636,0.0933333333333333,0.0918181818181818,0.0928787878787878,0.0956060606060606,0.093030303030303,0.0956060606060606,0.0937878787878787,0.0954545454545454,0.094090909090909,0.0957575757575757,0.0965151515151515,0.0936363636363636,0.094090909090909,0.0939393939393939,0.0946969696969697,0.0959090909090909,0.0942424242424242,0.0966666666666666,0.093030303030303,0.0939393939393939,0.0968181818181818,0.096060606060606,0.0933333333333333,0.0948484848484848,0.0948484848484848,0.0968181818181818,0.0956060606060606,0.096060606060606,0.0954545454545454,0.095,0.0962121212121212,0.0954545454545454,0.0953030303030303,0.0972727272727272,0.0962121212121212,0.0954545454545454,0.098030303030303,0.0963636363636363,0.096060606060606,0.098030303030303,0.0966666666666666,0.0975757575757575,0.0984848484848484,0.0981818181818181,0.1003030303030303,0.0978787878787878,0.098030303030303,0.0993939393939394,0.1007575757575757,0.0984848484848484,0.0992424242424242,0.0974242424242424,0.098030303030303,0.09954545454545455
-18,0.0953030303030303,0.0945454545454545,0.0987878787878787,0.0963636363636363,0.0978787878787878,0.0954545454545454,0.096060606060606,0.0968181818181818,0.0968181818181818,0.098030303030303,0.0954545454545454,0.0977272727272727,0.0968181818181818,0.0978787878787878,0.0959090909090909,0.0959090909090909,0.0959090909090909,0.0998484848484848,0.0977272727272727,0.0974242424242424,0.0968181818181818,0.0946969696969697,0.0992424242424242,0.0953030303030303,0.096060606060606,0.0968181818181818,0.0965151515151515,0.0963636363636363,0.0977272727272727,0.0972727272727272,0.0971212121212121,0.0981818181818181,0.0962121212121212,0.0972727272727272,0.0965151515151515,0.0962121212121212,0.0986363636363636,0.0984848484848484,0.0962121212121212,0.0989393939393939,0.0963636363636363,0.0986363636363636,0.0977272727272727,0.0995454545454545,0.0974242424242424,0.0993939393939394,0.0995454545454545,0.0996969696969697,0.0981818181818181,0.1016666666666666,0.1006060606060606,0.1004545454545454,0.1001515151515151,0.1007575757575757,0.1,0.1009090909090909,0.1036363636363636,0.1003030303030303,0.1024242424242424,0.10196969696969697
-16,0.0901515151515151,0.0978787878787878,0.0974242424242424,0.0977272727272727,0.0972727272727272,0.0986363636363636,0.1004545454545454,0.1015151515151515,0.0986363636363636,0.1040909090909091,0.1042424242424242,0.1009090909090909,0.1027272727272727,0.1006060606060606,0.1001515151515151,0.1025757575757575,0.1022727272727272,0.1016666666666666,0.101060606060606,0.1031818181818181,0.1009090909090909,0.1039393939393939,0.1012121212121212,0.1024242424242424,0.0998484848484848,0.103030303030303,0.1006060606060606,0.1027272727272727,0.1036363636363636,0.1004545454545454,0.1040909090909091,0.1053030303030303,0.103030303030303,0.1034848484848484,0.1016666666666666,0.1031818181818181,0.1036363636363636,0.1039393939393939,0.1028787878787878,0.1048484848484848,0.1024242424242424,0.1074242424242424,0.1057575757575757,0.1062121212121212,0.1033333333333333,0.1053030303030303,0.1054545454545454,0.1081818181818181,0.108030303030303,0.1118181818181818,0.1087878787878788,0.1093939393939393,0.1093939393939393,0.1107575757575757,0.1104545454545454,0.1125757575757575,0.109090909090909,0.1101515151515151,0.1118181818181818,0.11151515151515151
-14,0.1068181818181818,0.1151515151515151,0.1196969696969696,0.1190909090909091,0.1195454545454545,0.1278787878787878,0.1248484848484848,0.1324242424242424,0.1259090909090909,0.1312121212121212,0.1304545454545454,0.1254545454545454,0.1295454545454545,0.1262121212121212,0.1272727272727272,0.1269696969696969,0.1278787878787878,0.1321212121212121,0.1301515151515151,0.1319696969696969,0.131060606060606,0.1318181818181818,0.1322727272727272,0.1307575757575757,0.1304545454545454,0.1318181818181818,0.1325757575757575,0.1274242424242424,0.1301515151515151,0.1328787878787878,0.133030303030303,0.135,0.1316666666666666,0.1292424242424242,0.133030303030303,0.1345454545454545,0.1315151515151515,0.138030303030303,0.1393939393939394,0.1325757575757575,0.1340909090909091,0.1401515151515151,0.1357575757575757,0.1389393939393939,0.1378787878787878,0.1375757575757575,0.1390909090909091,0.1334848484848484,0.1366666666666666,0.1416666666666666,0.1416666666666666,0.1457575757575757,0.1401515151515151,0.1421212121212121,0.1427272727272727,0.1439393939393939,0.1413636363636363,0.143030303030303,0.1442424242424242,0.1459090909090909
-12,0.1219696969696969,0.1619696969696969,0.1716666666666666,0.1827272727272727,0.171060606060606,0.1739393939393939,0.1725757575757575,0.1784848484848485,0.1737878787878788,0.1659090909090909,0.1703030303030303,0.1693939393939394,0.1713636363636363,0.1643939393939394,0.1648484848484848,0.166060606060606,0.1633333333333333,0.1731818181818182,0.1690909090909091,0.1716666666666666,0.1616666666666666,0.1646969696969697,0.173030303030303,0.1753030303030303,0.1695454545454545,0.1737878787878788,0.168030303030303,0.1683333333333333,0.1706060606060606,0.1690909090909091,0.1739393939393939,0.1677272727272727,0.1766666666666666,0.1745454545454545,0.1768181818181818,0.175,0.1816666666666666,0.1736363636363636,0.1804545454545454,0.1748484848484848,0.1818181818181818,0.1859090909090909,0.1846969696969697,0.1796969696969697,0.1831818181818182,0.1812121212121212,0.1963636363636363,0.1889393939393939,0.1853030303030303,0.1884848484848484,0.1878787878787878,0.1883333333333333,0.1953030303030303,0.1943939393939394,0.1940909090909091,0.1981818181818181,0.1953030303030303,0.1972727272727272,0.1984848484848485,0.19833333333333333
-10,0.1821212121212121,0.2462121212121212,0.2554545454545454,0.2563636363636363,0.2625757575757576,0.2639393939393939,0.2565151515151515,0.2596969696969697,0.2553030303030303,0.2574242424242424,0.2577272727272727,0.2565151515151515,0.2554545454545454,0.2551515151515151,0.2566666666666666,0.2593939393939394,0.2553030303030303,0.2565151515151515,0.25,0.2506060606060606,0.25,0.2565151515151515,0.2493939393939394,0.2507575757575757,0.2524242424242424,0.2554545454545454,0.25,0.2478787878787878,0.2518181818181818,0.2553030303030303,0.2553030303030303,0.2613636363636363,0.2618181818181818,0.2636363636363636,0.2569696969696969,0.2584848484848485,0.2675757575757576,0.2695454545454545,0.2624242424242424,0.2716666666666666,0.2707575757575757,0.2709090909090909,0.271969696969697,0.2757575757575757,0.2824242424242424,0.276060606060606,0.2737878787878788,0.2827272727272727,0.2824242424242424,0.281060606060606,0.2922727272727273,0.2925757575757576,0.2939393939393939,0.2939393939393939,0.2995454545454545,0.2986363636363636,0.3081818181818181,0.3062121212121212,0.3037878787878788,0.30712121212121213
-8,0.2642424242424242,0.3481818181818182,0.3434848484848485,0.3427272727272727,0.3578787878787878,0.3575757575757576,0.3612121212121212,0.3639393939393939,0.3712121212121212,0.3772727272727272,0.3828787878787879,0.391060606060606,0.3895454545454545,0.3868181818181818,0.3959090909090909,0.3918181818181818,0.3995454545454545,0.4084848484848485,0.4053030303030303,0.4015151515151515,0.401060606060606,0.4062121212121212,0.3989393939393939,0.4063636363636363,0.4074242424242424,0.4046969696969697,0.3993939393939394,0.4096969696969696,0.3974242424242424,0.411969696969697,0.4098484848484848,0.4031818181818182,0.4077272727272727,0.4059090909090909,0.4048484848484848,0.4106060606060606,0.4128787878787879,0.414090909090909,0.4063636363636363,0.4095454545454545,0.421969696969697,0.4268181818181818,0.4204545454545454,0.4234848484848484,0.4287878787878788,0.4277272727272727,0.4271212121212121,0.4286363636363636,0.4368181818181818,0.4353030303030303,0.4443939393939394,0.4383333333333333,0.4487878787878788,0.4466666666666666,0.4477272727272727,0.4512121212121212,0.4515151515151515,0.4531818181818182,0.451060606060606,0.45590909090909093
-6,0.3822727272727272,0.4466666666666666,0.4684848484848485,0.4757575757575757,0.4996969696969697,0.5024242424242424,0.509090909090909,0.5107575757575757,0.5159090909090909,0.5281818181818182,0.5327272727272727,0.5307575757575758,0.5242424242424243,0.541969696969697,0.5512121212121213,0.5533333333333333,0.5537878787878788,0.5515151515151515,0.5456060606060606,0.5527272727272727,0.5646969696969697,0.563939393939394,0.5653030303030303,0.5643939393939394,0.5606060606060606,0.5692424242424242,0.5692424242424242,0.5756060606060606,0.5701515151515152,0.5695454545454546,0.5756060606060606,0.5778787878787879,0.5683333333333334,0.5843939393939394,0.5836363636363636,0.5736363636363636,0.5803030303030303,0.588030303030303,0.5824242424242424,0.5916666666666667,0.6018181818181818,0.6086363636363636,0.6154545454545455,0.6043939393939394,0.608030303030303,0.6116666666666667,0.605,0.6110606060606061,0.6131818181818182,0.6213636363636363,0.6256060606060606,0.6277272727272727,0.6313636363636363,0.6356060606060606,0.6404545454545455,0.6425757575757576,0.6403030303030303,0.6504545454545455,0.6453030303030303,0.6489393939393939
-4,0.4857575757575758,0.5443939393939394,0.5724242424242424,0.5936363636363636,0.6106060606060606,0.6078787878787879,0.6286363636363637,0.6381818181818182,0.6572727272727272,0.6634848484848485,0.6609090909090909,0.6657575757575758,0.6653030303030303,0.6774242424242424,0.6813636363636364,0.6868181818181818,0.6893939393939394,0.6851515151515152,0.6842424242424242,0.6916666666666667,0.6963636363636364,0.6942424242424242,0.6940909090909091,0.6996969696969697,0.7065151515151515,0.6983333333333334,0.7118181818181818,0.7109090909090909,0.7153030303030303,0.7136363636363636,0.7090909090909091,0.7104545454545454,0.7174242424242424,0.7234848484848485,0.7254545454545455,0.7253030303030303,0.7316666666666667,0.7256060606060606,0.733030303030303,0.7436363636363637,0.751969696969697,0.7525757575757576,0.7524242424242424,0.7565151515151515,0.7515151515151515,0.7537878787878788,0.76,0.7616666666666667,0.7615151515151515,0.7721212121212121,0.7739393939393939,0.7751515151515151,0.78,0.7853030303030303,0.79,0.7871212121212121,0.7890909090909091,0.7915151515151515,0.7962121212121213,0.7945454545454546
-2,0.5309090909090909,0.6396969696969697,0.6627272727272727,0.69,0.7077272727272728,0.7236363636363636,0.7319696969696969,0.7427272727272727,0.756969696969697,0.7678787878787878,0.7643939393939394,0.7759090909090909,0.7812121212121212,0.7863636363636364,0.7924242424242425,0.7983333333333333,0.8006060606060607,0.8034848484848485,0.8034848484848485,0.805,0.8022727272727272,0.8113636363636364,0.8116666666666666,0.818939393939394,0.8186363636363636,0.816969696969697,0.8216666666666667,0.8201515151515152,0.8236363636363636,0.8277272727272728,0.8265151515151515,0.8309090909090909,0.8295454545454546,0.8387878787878787,0.8360606060606061,0.84,0.8359090909090909,0.8413636363636363,0.8428787878787879,0.8471212121212122,0.858030303030303,0.8660606060606061,0.8590909090909091,0.8628787878787879,0.8622727272727273,0.8640909090909091,0.8665151515151515,0.8703030303030304,0.8678787878787879,0.8745454545454545,0.8771212121212121,0.8810606060606061,0.8784848484848485,0.8853030303030303,0.8886363636363637,0.8892424242424243,0.8901515151515151,0.8924242424242425,0.8927272727272727,0.8956060606060606
