SNR,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55
-20,0.0918181818181818,0.0928787878787878,0.0918181818181818,0.0948484848484848,0.0962121212121212,0.0921212121212121,0.0924242424242424,0.094090909090909,0.0903030303030303,0.0948484848484848,0.0925757575757575,0.0943939393939393,0.0937878787878787,0.0925757575757575,0.0922727272727272,0.0933333333333333,0.0928787878787878,0.0943939393939393,0.0957575757575757,0.0942424242424242,0.0943939393939393,0.0951515151515151,0.0953030303030303,0.0954545454545454,0.0925757575757575,0.0948484848484848,0.0951515151515151,0.0957575757575757,0.0931818181818181,0.0957575757575757,0.0943939393939393,0.0945454545454545,0.0937878787878787,0.0971212121212121,0.0945454545454545,0.0956060606060606,0.0945454545454545,0.0939393939393939,0.0956060606060606,0.0934848484848484,0.096060606060606,0.0962121212121212,0.0945454545454545,0.0978787878787878,0.0951515151515151,0.0971212121212121,0.0977272727272727,0.0971212121212121,0.0978787878787878,0.0948484848484848,0.0977272727272727,0.0971212121212121,0.0977272727272727,0.0981818181818181,0.0998484848484848,0.09727272727272727
-18,0.0927272727272727,0.0963636363636363,0.0966666666666666,0.0977272727272727,0.0956060606060606,0.095,0.0962121212121212,0.0971212121212121,0.0977272727272727,0.0965151515151515,0.0948484848484848,0.0984848484848484,0.0951515151515151,0.0954545454545454,0.0974242424242424,0.0966666666666666,0.0986363636363636,0.0966666666666666,0.0962121212121212,0.0984848484848484,0.0984848484848484,0.098030303030303,0.0975757575757575,0.0956060606060606,0.0966666666666666,0.0975757575757575,0.0968181818181818,0.0965151515151515,0.0971212121212121,0.0978787878787878,0.0972727272727272,0.0977272727272727,0.0986363636363636,0.0972727272727272,0.0977272727272727,0.0978787878787878,0.0975757575757575,0.0972727272727272,0.0966666666666666,0.0987878787878787,0.099090909090909,0.0987878787878787,0.0978787878787878,0.0978787878787878,0.0998484848484848,0.0998484848484848,0.1006060606060606,0.1006060606060606,0.0996969696969697,0.0992424242424242,0.1042424242424242,0.1019696969696969,0.1,0.1022727272727272,0.1028787878787878,0.10257575757575757
-16,0.0957575757575757,0.0993939393939394,0.0986363636363636,0.0993939393939394,0.098030303030303,0.0992424242424242,0.1007575757575757,0.1024242424242424,0.1003030303030303,0.1059090909090909,0.1009090909090909,0.1053030303030303,0.1036363636363636,0.1007575757575757,0.1025757575757575,0.101060606060606,0.1027272727272727,0.1024242424242424,0.1013636363636363,0.1042424242424242,0.1039393939393939,0.103030303030303,0.1001515151515151,0.1033333333333333,0.1036363636363636,0.1033333333333333,0.1015151515151515,0.1013636363636363,0.1019696969696969,0.1022727272727272,0.0998484848484848,0.1043939393939394,0.1042424242424242,0.1019696969696969,0.1021212121212121,0.1039393939393939,0.1009090909090909,0.1009090909090909,0.1043939393939394,0.1034848484848484,0.1018181818181818,0.1036363636363636,0.1015151515151515,0.1045454545454545,0.1039393939393939,0.1051515151515151,0.1019696969696969,0.1039393939393939,0.1054545454545454,0.1056060606060606,0.1087878787878788,0.1106060606060606,0.1089393939393939,0.1124242424242424,0.1089393939393939,0.10681818181818181
-14,0.109090909090909,0.1127272727272727,0.1198484848484848,0.1251515151515151,0.1203030303030303,0.1253030303030303,0.1221212121212121,0.1268181818181818,0.1281818181818181,0.1306060606060606,0.1356060606060606,0.1331818181818181,0.1278787878787878,0.1295454545454545,0.1278787878787878,0.1306060606060606,0.1319696969696969,0.1283333333333333,0.1334848484848484,0.1340909090909091,0.1318181818181818,0.1369696969696969,0.1304545454545454,0.1328787878787878,0.1292424242424242,0.1343939393939394,0.1318181818181818,0.1359090909090909,0.133030303030303,0.1333333333333333,0.1339393939393939,0.1333333333333333,0.1324242424242424,0.1363636363636363,0.1339393939393939,0.1327272727272727,0.136060606060606,0.1319696969696969,0.1374242424242424,0.1315151515151515,0.1327272727272727,0.1372727272727272,0.1412121212121212,0.1327272727272727,0.1371212121212121,0.1396969696969697,0.1372727272727272,0.141060606060606,0.1372727272727272,0.1396969696969697,0.1474242424242424,0.1433333333333333,0.1456060606060606,0.1463636363636363,0.1492424242424242,0.14303030303030304
-12,0.1212121212121212,0.1654545454545454,0.1825757575757575,0.1765151515151515,0.1772727272727272,0.176060606060606,0.1656060606060606,0.1642424242424242,0.1633333333333333,0.16,0.1625757575757575,0.1581818181818181,0.1645454545454545,0.1621212121212121,0.1637878787878788,0.1674242424242424,0.1631818181818181,0.1659090909090909,0.1639393939393939,0.1677272727272727,0.1687878787878788,0.1740909090909091,0.171060606060606,0.1674242424242424,0.1701515151515151,0.1762121212121212,0.1722727272727272,0.175,0.1751515151515151,0.1728787878787878,0.1737878787878788,0.1724242424242424,0.1731818181818182,0.1818181818181818,0.1719696969696969,0.1728787878787878,0.1751515151515151,0.1824242424242424,0.179090909090909,0.1786363636363636,0.1825757575757575,0.1778787878787879,0.1781818181818182,0.181060606060606,0.1819696969696969,0.1825757575757575,0.185,0.1874242424242424,0.1831818181818182,0.1886363636363636,0.1921212121212121,0.1963636363636363,0.1883333333333333,0.1927272727272727,0.1954545454545454,0.19424242424242424
-10,0.1784848484848485,0.2519696969696969,0.2627272727272727,0.271060606060606,0.2713636363636363,0.2675757575757576,0.2586363636363636,0.2587878787878788,0.2606060606060606,0.2572727272727272,0.2593939393939394,0.2496969696969697,0.2534848484848485,0.2569696969696969,0.2489393939393939,0.2475757575757576,0.2443939393939393,0.2448484848484848,0.2506060606060606,0.2431818181818182,0.2516666666666666,0.2419696969696969,0.2424242424242424,0.25,0.2492424242424242,0.2474242424242424,0.2528787878787878,0.2553030303030303,0.2536363636363636,0.2525757575757575,0.2545454545454545,0.2553030303030303,0.2516666666666666,0.2553030303030303,0.2651515151515151,0.2578787878787879,0.2640909090909091,0.2656060606060606,0.2587878787878788,0.2586363636363636,0.2634848484848485,0.2633333333333333,0.266060606060606,0.2662121212121212,0.2681818181818182,0.2742424242424242,0.2777272727272727,0.2868181818181818,0.2834848484848485,0.2793939393939394,0.2804545454545454,0.2912121212121212,0.2825757575757576,0.2913636363636364,0.29,0.2962121212121212
-8,0.2663636363636363,0.3501515151515151,0.3465151515151515,0.359090909090909,0.3536363636363636,0.3604545454545454,0.3748484848484849,0.3745454545454545,0.3827272727272727,0.3815151515151515,0.3845454545454545,0.3907575757575757,0.3913636363636363,0.3971212121212121,0.3912121212121212,0.3927272727272727,0.3959090909090909,0.3942424242424242,0.3984848484848485,0.3963636363636363,0.3972727272727273,0.3943939393939394,0.3896969696969697,0.4025757575757576,0.401060606060606,0.3975757575757576,0.3946969696969697,0.4031818181818182,0.3996969696969697,0.3995454545454545,0.4039393939393939,0.4051515151515151,0.4084848484848485,0.4036363636363636,0.4095454545454545,0.4074242424242424,0.4043939393939394,0.4024242424242424,0.3977272727272727,0.4053030303030303,0.4065151515151515,0.4113636363636364,0.4153030303030303,0.4078787878787879,0.4124242424242424,0.4174242424242424,0.4195454545454545,0.4274242424242424,0.4260606060606061,0.4290909090909091,0.44,0.4342424242424242,0.4446969696969697,0.4412121212121212,0.4419696969696969,0.44257575757575757
-6,0.3768181818181818,0.4474242424242424,0.461060606060606,0.4696969696969697,0.4812121212121212,0.4883333333333333,0.5037878787878788,0.503030303030303,0.5134848484848484,0.5157575757575757,0.5236363636363637,0.5343939393939394,0.5334848484848485,0.5398484848484848,0.5404545454545454,0.5463636363636364,0.5390909090909091,0.556969696969697,0.5528787878787879,0.5553030303030303,0.5531818181818182,0.5622727272727273,0.5677272727272727,0.561060606060606,0.571969696969697,0.5663636363636364,0.563939393939394,0.5659090909090909,0.5736363636363636,0.5762121212121212,0.568939393939394,0.5795454545454546,0.5834848484848485,0.5825757575757575,0.5824242424242424,0.5854545454545454,0.5918181818181818,0.5865151515151515,0.5863636363636363,0.5942424242424242,0.5956060606060606,0.5937878787878788,0.5857575757575758,0.5974242424242424,0.5963636363636363,0.6078787878787879,0.6166666666666667,0.6157575757575757,0.6171212121212121,0.6187878787878788,0.6245454545454545,0.6309090909090909,0.6228787878787879,0.6307575757575757,0.6342424242424243,0.6403030303030303
-4,0.475,0.5575757575757576,0.5827272727272728,0.5871212121212122,0.6113636363636363,0.6254545454545455,0.6343939393939394,0.6436363636363637,0.6493939393939394,0.6457575757575758,0.6565151515151515,0.6671212121212121,0.6757575757575758,0.6766666666666666,0.6775757575757576,0.6813636363636364,0.6824242424242424,0.6893939393939394,0.6884848484848485,0.6925757575757576,0.6966666666666667,0.6957575757575758,0.7006060606060606,0.7006060606060606,0.7034848484848485,0.7069696969696969,0.7048484848484848,0.7051515151515152,0.7042424242424242,0.7107575757575758,0.7146969696969697,0.7134848484848485,0.7204545454545455,0.7213636363636363,0.7177272727272728,0.723939393939394,0.7296969696969697,0.7263636363636363,0.7290909090909091,0.7312121212121212,0.7362121212121212,0.7351515151515151,0.7390909090909091,0.7392424242424243,0.7356060606060606,0.7503030303030302,0.7610606060606061,0.7566666666666667,0.7607575757575757,0.7651515151515151,0.776969696969697,0.7778787878787878,0.7762121212121212,0.7815151515151515,0.781060606060606,0.7928787878787878
-2,0.5380303030303031,0.6507575757575758,0.6846969696969697,0.6906060606060606,0.7245454545454545,0.7321212121212122,0.7524242424242424,0.7601515151515151,0.7625757575757576,0.7739393939393939,0.7778787878787878,0.781060606060606,0.7916666666666666,0.7943939393939394,0.7959090909090909,0.7995454545454546,0.8042424242424242,0.8042424242424242,0.8059090909090909,0.8092424242424242,0.8154545454545454,0.8134848484848485,0.8162121212121212,0.82,0.8254545454545454,0.8213636363636364,0.8284848484848485,0.8224242424242424,0.8248484848484848,0.8271212121212121,0.8331818181818181,0.8263636363636364,0.8290909090909091,0.838939393939394,0.838939393939394,0.838030303030303,0.8401515151515152,0.8392424242424242,0.8374242424242424,0.8403030303030303,0.8463636363636363,0.8396969696969697,0.8492424242424242,0.8468181818181818,0.848939393939394,0.8621212121212121,0.8689393939393939,0.8665151515151515,0.8657575757575757,0.8701515151515151,0.875,0.8822727272727273,0.8771212121212121,0.8851515151515151,0.8871212121212121,0.8865151515151515
