SNR,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
-20,0.0931818181818181,0.094090909090909,0.0924242424242424,0.0934848484848484,0.0924242424242424,0.0942424242424242,0.095,0.0924242424242424,0.094090909090909,0.0939393939393939,0.0943939393939393,0.0934848484848484,0.0942424242424242,0.094090909090909,0.0969696969696969,0.0957575757575757,0.0942424242424242,0.0975757575757575,0.0953030303030303,0.0977272727272727,0.0977272727272727,0.0995454545454545,0.0977272727272727,0.1004545454545454,0.0993939393939394,0.1018181818181818,0.1021212121212121,0.1034848484848484,0.1042424242424242,0.1072727272727272,0.1101515151515151,0.1139393939393939,0.1127272727272727,0.1142424242424242,0.1201515151515151,0.1207575757575757,0.1196969696969696,0.124090909090909,0.1259090909090909,0.1269696969696969,0.1243939393939393,0.12575757575757576
-18,0.094090909090909,0.095,0.0953030303030303,0.0946969696969697,0.0959090909090909,0.0959090909090909,0.0983333333333333,0.0954545454545454,0.0995454545454545,0.096060606060606,0.0977272727272727,0.0993939393939394,0.0981818181818181,0.0984848484848484,0.0962121212121212,0.0969696969696969,0.0992424242424242,0.1001515151515151,0.1027272727272727,0.0978787878787878,0.0993939393939394,0.103030303030303,0.1027272727272727,0.1016666666666666,0.1040909090909091,0.106060606060606,0.1078787878787878,0.1098484848484848,0.1098484848484848,0.1121212121212121,0.1163636363636363,0.1143939393939394,0.1168181818181818,0.121060606060606,0.1201515151515151,0.1234848484848484,0.123030303030303,0.1242424242424242,0.1269696969696969,0.1298484848484848,0.1283333333333333,0.12954545454545455
-16,0.0954545454545454,0.1,0.0962121212121212,0.0984848484848484,0.0966666666666666,0.0978787878787878,0.0983333333333333,0.0989393939393939,0.0995454545454545,0.1022727272727272,0.1021212121212121,0.105,0.1031818181818181,0.1043939393939394,0.1063636363636363,0.1051515151515151,0.105,0.1051515151515151,0.1081818181818181,0.1063636363636363,0.1107575757575757,0.1092424242424242,0.1083333333333333,0.1125757575757575,0.1136363636363636,0.114090909090909,0.1184848484848484,0.118030303030303,0.1204545454545454,0.1206060606060606,0.1266666666666666,0.1283333333333333,0.1284848484848484,0.1324242424242424,0.1331818181818181,0.1368181818181818,0.1368181818181818,0.1439393939393939,0.1419696969696969,0.1415151515151515,0.1431818181818182,0.14984848484848484
-14,0.1075757575757575,0.1190909090909091,0.1228787878787878,0.1212121212121212,0.1295454545454545,0.1293939393939394,0.1290909090909091,0.1313636363636363,0.1331818181818181,0.1309090909090909,0.1346969696969697,0.1346969696969697,0.1331818181818181,0.1325757575757575,0.1339393939393939,0.1337878787878788,0.1386363636363636,0.1383333333333333,0.1398484848484848,0.1425757575757575,0.1421212121212121,0.1431818181818182,0.1416666666666666,0.1472727272727272,0.1451515151515151,0.1512121212121212,0.1554545454545454,0.1574242424242424,0.156060606060606,0.1628787878787878,0.1698484848484848,0.1696969696969697,0.1716666666666666,0.1736363636363636,0.178030303030303,0.1828787878787879,0.1836363636363636,0.1848484848484848,0.1907575757575757,0.1878787878787878,0.1892424242424242,0.18727272727272729
-12,0.1436363636363636,0.1739393939393939,0.1786363636363636,0.1836363636363636,0.179090909090909,0.1954545454545454,0.1962121212121212,0.1853030303030303,0.1925757575757575,0.191060606060606,0.1913636363636363,0.1892424242424242,0.1854545454545454,0.1827272727272727,0.1833333333333333,0.1878787878787878,0.1859090909090909,0.1837878787878787,0.186060606060606,0.1869696969696969,0.1909090909090909,0.1931818181818181,0.1986363636363636,0.1968181818181818,0.1919696969696969,0.2068181818181818,0.2168181818181818,0.2109090909090909,0.2146969696969697,0.2163636363636363,0.2222727272727272,0.2315151515151515,0.2375757575757575,0.231060606060606,0.2418181818181818,0.2356060606060606,0.2434848484848485,0.2433333333333333,0.2527272727272727,0.2492424242424242,0.2519696969696969,0.2515151515151515
-10,0.2225757575757575,0.2557575757575757,0.2554545454545454,0.2642424242424242,0.2681818181818182,0.2751515151515151,0.2807575757575757,0.2809090909090909,0.2827272727272727,0.2821212121212121,0.289090909090909,0.2848484848484848,0.276969696969697,0.2834848484848485,0.2774242424242424,0.2834848484848485,0.2843939393939394,0.2809090909090909,0.2836363636363636,0.2921212121212121,0.2881818181818182,0.2907575757575757,0.2928787878787879,0.2912121212121212,0.2951515151515151,0.3069696969696969,0.3146969696969697,0.3113636363636363,0.3212121212121212,0.3207575757575757,0.3357575757575757,0.3431818181818182,0.3445454545454545,0.348030303030303,0.3609090909090909,0.3571212121212121,0.3690909090909091,0.3678787878787878,0.3731818181818181,0.3756060606060606,0.3751515151515151,0.3762121212121212
-8,0.326060606060606,0.3653030303030303,0.3690909090909091,0.3842424242424242,0.3906060606060606,0.3842424242424242,0.3974242424242424,0.3951515151515151,0.4045454545454545,0.3977272727272727,0.4089393939393939,0.4196969696969697,0.418030303030303,0.4259090909090909,0.4257575757575758,0.4321212121212121,0.4304545454545455,0.4346969696969697,0.438030303030303,0.4396969696969697,0.4527272727272727,0.4512121212121212,0.4478787878787879,0.4492424242424242,0.4518181818181818,0.4634848484848485,0.4742424242424242,0.4766666666666667,0.4833333333333333,0.4848484848484848,0.5096969696969696,0.5045454545454545,0.5124242424242424,0.5098484848484849,0.5233333333333333,0.5209090909090909,0.5287878787878788,0.5293939393939394,0.5401515151515152,0.5318181818181819,0.5387878787878788,0.5404545454545454
-6,0.443030303030303,0.4990909090909091,0.516969696969697,0.5283333333333333,0.5374242424242425,0.5346969696969697,0.5463636363636364,0.5407575757575758,0.5543939393939394,0.5603030303030303,0.5601515151515152,0.5601515151515152,0.5740909090909091,0.578030303030303,0.5834848484848485,0.5934848484848485,0.5948484848484848,0.5984848484848485,0.6028787878787879,0.6071212121212122,0.6065151515151516,0.6181818181818182,0.6189393939393939,0.6281818181818182,0.6306060606060606,0.6472727272727272,0.6598484848484848,0.6606060606060606,0.6630303030303031,0.6645454545454546,0.6790909090909091,0.6898484848484848,0.6954545454545454,0.6925757575757576,0.7016666666666667,0.7034848484848485,0.7009090909090909,0.7081818181818181,0.7119696969696969,0.7166666666666667,0.7251515151515151,0.7165151515151515
-4,0.5262121212121212,0.6172727272727273,0.6398484848484849,0.6484848484848484,0.6603030303030303,0.6672727272727272,0.6774242424242424,0.6774242424242424,0.6842424242424242,0.6893939393939394,0.688939393939394,0.6887878787878788,0.7015151515151515,0.7103030303030303,0.7196969696969697,0.7275757575757575,0.7304545454545455,0.7459090909090909,0.7442424242424243,0.7462121212121212,0.7553030303030303,0.7587878787878788,0.7633333333333333,0.7616666666666667,0.7642424242424243,0.7851515151515152,0.795,0.8018181818181818,0.7948484848484848,0.8001515151515152,0.8166666666666667,0.8212121212121212,0.8203030303030303,0.8228787878787879,0.8325757575757575,0.8403030303030303,0.8404545454545455,0.8368181818181818,0.8446969696969697,0.8466666666666667,0.8496969696969697,0.8471212121212122
-2,0.5934848484848485,0.6840909090909091,0.7218181818181818,0.7265151515151516,0.7483333333333333,0.7603030303030303,0.7653030303030303,0.776060606060606,0.7766666666666666,0.7836363636363637,0.7818181818181819,0.7889393939393939,0.8036363636363636,0.808939393939394,0.8227272727272728,0.8324242424242424,0.8354545454545454,0.8407575757575757,0.8404545454545455,0.8496969696969697,0.8524242424242424,0.8554545454545455,0.8518181818181818,0.8622727272727273,0.8539393939393939,0.8753030303030302,0.8786363636363637,0.8754545454545455,0.8789393939393939,0.8777272727272727,0.8886363636363637,0.8895454545454545,0.8933333333333333,0.8948484848484849,0.8942424242424243,0.8992424242424243,0.8963636363636364,0.8989393939393939,0.9043939393939394,0.9015151515151516,0.906060606060606,0.9028787878787878
0,0.6380303030303031,0.7254545454545455,0.7545454545454545,0.7766666666666666,0.7912121212121213,0.8078787878787879,0.8133333333333334,0.8142424242424242,0.8187878787878788,0.8265151515151515,0.825,0.8343939393939394,0.8492424242424242,0.860909090909091,0.8653030303030304,0.8721212121212121,0.8827272727272727,0.8872727272727273,0.8925757575757576,0.8906060606060606,0.8975757575757576,0.8951515151515151,0.8936363636363637,0.8986363636363637,0.9037878787878788,0.9090909090909092,0.9080303030303032,0.9087878787878788,0.9131818181818182,0.911060606060606,0.911969696969697,0.916060606060606,0.9162121212121213,0.9142424242424242,0.9180303030303032,0.9196969696969696,0.9175757575757576,0.9186363636363636,0.9156060606060606,0.9201515151515152,0.92,0.9166666666666666
2,0.6539393939393939,0.7515151515151515,0.7675757575757576,0.793939393939394,0.8193939393939393,0.8275757575757576,0.8298484848484848,0.8316666666666667,0.8404545454545455,0.8390909090909091,0.8424242424242424,0.8460606060606061,0.8683333333333333,0.8753030303030302,0.8881818181818182,0.8962121212121212,0.9059090909090908,0.9013636363636364,0.9063636363636364,0.9095454545454544,0.9122727272727272,0.911060606060606,0.9162121212121213,0.916818181818182,0.9128787878787878,0.9227272727272728,0.922121212121212,0.9209090909090908,0.9275757575757576,0.9213636363636364,0.9253030303030304,0.9246969696969696,0.9253030303030304,0.921818181818182,0.928030303030303,0.926060606060606,0.9256060606060608,0.923939393939394,0.926060606060606,0.9242424242424242,0.9281818181818182,0.9272727272727272
4,0.6792424242424242,0.7551515151515151,0.7825757575757576,0.8037878787878788,0.816969696969697,0.8292424242424242,0.8306060606060606,0.8396969696969697,0.8386363636363636,0.8446969696969697,0.8433333333333334,0.8551515151515151,0.8653030303030304,0.8809090909090909,0.8943939393939394,0.8995454545454545,0.901060606060606,0.9027272727272728,0.9087878787878788,0.911818181818182,0.9159090909090908,0.9115151515151516,0.9095454545454544,0.9157575757575758,0.9177272727272728,0.922121212121212,0.9183333333333332,0.9213636363636364,0.9198484848484848,0.921060606060606,0.923030303030303,0.9213636363636364,0.9195454545454546,0.9198484848484848,0.9204545454545454,0.9201515151515152,0.9224242424242424,0.9184848484848483,0.9216666666666666,0.9212121212121211,0.923030303030303,0.9234848484848485
6,0.676969696969697,0.7642424242424243,0.7842424242424243,0.8151515151515152,0.8268181818181818,0.8333333333333334,0.8427272727272728,0.8454545454545455,0.8460606060606061,0.8506060606060606,0.8584848484848485,0.8586363636363636,0.8795454545454545,0.8896969696969697,0.9004545454545455,0.9048484848484848,0.9098484848484848,0.9151515151515152,0.9174242424242424,0.9195454545454546,0.9198484848484848,0.9177272727272728,0.9243939393939394,0.9236363636363636,0.9213636363636364,0.927878787878788,0.926060606060606,0.9268181818181818,0.926969696969697,0.9256060606060608,0.9306060606060608,0.9292424242424242,0.9290909090909092,0.9293939393939394,0.93,0.931969696969697,0.9307575757575758,0.9306060606060608,0.9298484848484848,0.928939393939394,0.9325757575757576,0.931060606060606
8,0.6677272727272727,0.7534848484848485,0.7845454545454545,0.8077272727272727,0.8263636363636364,0.8393939393939394,0.84,0.8484848484848485,0.8483333333333334,0.8506060606060606,0.853030303030303,0.8607575757575757,0.8778787878787879,0.8893939393939394,0.9009090909090908,0.9092424242424244,0.91,0.9163636363636364,0.9166666666666666,0.9184848484848483,0.9181818181818182,0.9162121212121213,0.9177272727272728,0.9245454545454546,0.921060606060606,0.9237878787878788,0.9242424242424242,0.928939393939394,0.923939393939394,0.9237878787878788,0.9272727272727272,0.9287878787878788,0.9262121212121212,0.927878787878788,0.927121212121212,0.928939393939394,0.9268181818181818,0.9281818181818182,0.9259090909090908,0.927878787878788,0.926060606060606,0.9296969696969697
10,0.683030303030303,0.7589393939393939,0.7916666666666666,0.8125757575757576,0.8290909090909091,0.8342424242424242,0.8478787878787879,0.8495454545454545,0.8493939393939394,0.8513636363636363,0.8548484848484849,0.8616666666666667,0.8784848484848485,0.8924242424242425,0.9031818181818182,0.9151515151515152,0.9122727272727272,0.918939393939394,0.9204545454545454,0.9225757575757576,0.923030303030303,0.9212121212121211,0.9259090909090908,0.922121212121212,0.921969696969697,0.9301515151515152,0.928939393939394,0.928939393939394,0.9292424242424242,0.9287878787878788,0.9336363636363636,0.9301515151515152,0.9301515151515152,0.9312121212121212,0.9293939393939394,0.9293939393939394,0.932121212121212,0.931969696969697,0.9307575757575758,0.9295454545454546,0.9301515151515152,0.9304545454545454
12,0.673030303030303,0.7636363636363637,0.7833333333333333,0.8166666666666667,0.8271212121212121,0.838030303030303,0.8436363636363636,0.8493939393939394,0.8469696969696969,0.8553030303030303,0.8539393939393939,0.858030303030303,0.8771212121212121,0.8872727272727273,0.8986363636363637,0.9095454545454544,0.912121212121212,0.913939393939394,0.9215151515151516,0.9206060606060606,0.9248484848484848,0.923939393939394,0.9209090909090908,0.9262121212121212,0.9265151515151516,0.9290909090909092,0.928939393939394,0.9307575757575758,0.9337878787878788,0.932878787878788,0.9327272727272728,0.9334848484848484,0.9343939393939394,0.932878787878788,0.9348484848484848,0.9337878787878788,0.9334848484848484,0.9342424242424242,0.936060606060606,0.9342424242424242,0.9336363636363636,0.933939393939394
