SNR,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
-20,0.1034444444444444,0.1045555555555555,0.1040555555555555,0.1068888888888889,0.1063611111111111,0.1059166666666666,0.103,0.1067777777777777,0.1061111111111111,0.10675,0.1044166666666666,0.1029444444444444,0.1080555555555555,0.1038611111111111,0.1059166666666666,0.1061111111111111,0.1041666666666666,0.1083055555555555,0.1073333333333333,0.1034166666666666,0.1092777777777777,0.1068888888888889,0.1073055555555555,0.1073055555555555,0.1079722222222222,0.1095,0.1073611111111111,0.1065,0.1079166666666666,0.1083888888888889,0.1077777777777777,0.1090277777777777,0.1108611111111111,0.1104444444444444,0.1108055555555555,0.1094166666666666,0.1083333333333333,0.11083333333333334
-18,0.1068055555555555,0.1084722222222222,0.1079722222222222,0.10975,0.1101944444444444,0.1106666666666666,0.1084722222222222,0.1088888888888888,0.1108055555555555,0.1094722222222222,0.1116388888888888,0.1093888888888888,0.1069444444444444,0.1088055555555555,0.1094166666666666,0.1108055555555555,0.1115277777777777,0.1128055555555555,0.1100833333333333,0.1107222222222222,0.1121666666666666,0.1106944444444444,0.11225,0.112,0.1127777777777777,0.1128888888888888,0.1141111111111111,0.1111111111111111,0.1108888888888888,0.1142777777777777,0.1131388888888888,0.1134444444444444,0.11375,0.1136944444444444,0.1152777777777777,0.1149722222222222,0.1169444444444444,0.11702777777777777
-16,0.1151944444444444,0.1176944444444444,0.1221666666666666,0.1215,0.1255555555555555,0.1221111111111111,0.1240277777777777,0.1221111111111111,0.1221388888888889,0.1226944444444444,0.1225833333333333,0.1247777777777777,0.1255277777777777,0.1228333333333333,0.1261388888888888,0.1247222222222222,0.1249722222222222,0.12475,0.1277777777777777,0.1267222222222222,0.1277777777777777,0.1249166666666666,0.1258888888888888,0.1274444444444444,0.1258888888888888,0.1274444444444444,0.1270277777777777,0.1255,0.1270555555555555,0.1259166666666666,0.13125,0.12925,0.1276944444444444,0.1296666666666666,0.1299166666666666,0.1304722222222222,0.1309444444444444,0.1313888888888889
-14,0.1376666666666666,0.1469722222222222,0.1530833333333333,0.155,0.1560555555555555,0.1581388888888888,0.1598333333333333,0.1558055555555555,0.1605555555555555,0.15875,0.1583611111111111,0.1583055555555555,0.1565833333333333,0.1578055555555555,0.1616944444444444,0.1580555555555555,0.1598611111111111,0.1601388888888889,0.16025,0.1598888888888888,0.1604166666666666,0.1608055555555555,0.1615833333333333,0.1602222222222222,0.16275,0.1608888888888889,0.1630555555555555,0.1626388888888889,0.1647222222222222,0.1661666666666666,0.1653333333333333,0.1658055555555555,0.1651111111111111,0.1685,0.1688333333333333,0.1655555555555555,0.1691388888888889,0.16927777777777778
-12,0.1866944444444444,0.2013888888888889,0.1982777777777777,0.2007222222222222,0.2104166666666666,0.2115555555555555,0.2105,0.2141666666666666,0.2143333333333333,0.2165833333333333,0.2144444444444444,0.2191111111111111,0.2130833333333333,0.2148333333333333,0.2147777777777778,0.2138888888888888,0.2178888888888888,0.2136388888888888,0.2157222222222222,0.2196388888888888,0.2203611111111111,0.2195555555555555,0.2187777777777777,0.2175277777777777,0.2187222222222222,0.2186944444444444,0.2208888888888888,0.22,0.2204444444444444,0.2226666666666666,0.2259444444444444,0.2242777777777777,0.225,0.2285833333333333,0.2248333333333333,0.2287777777777777,0.2274444444444444,0.22875
-10,0.2753055555555556,0.2841111111111111,0.2787777777777778,0.2780555555555555,0.2826666666666667,0.283,0.2844444444444444,0.2915833333333333,0.2958888888888888,0.296,0.3004722222222222,0.3012777777777777,0.3052222222222222,0.3075833333333333,0.3075833333333333,0.3083055555555555,0.3061944444444444,0.3122222222222222,0.3056111111111111,0.3085555555555556,0.3146111111111111,0.3149444444444444,0.3181111111111111,0.3134722222222222,0.3134722222222222,0.3166944444444444,0.3192222222222222,0.32125,0.3190555555555555,0.3208888888888889,0.3214444444444444,0.3206111111111111,0.3236111111111111,0.3244444444444444,0.3281111111111111,0.3316388888888888,0.3316111111111111,0.3347222222222222
-8,0.344,0.3706111111111111,0.3838888888888889,0.3877222222222222,0.3881111111111111,0.3860555555555555,0.39375,0.3951944444444444,0.3983611111111111,0.4013888888888889,0.4039444444444444,0.4074444444444444,0.4119166666666666,0.4144444444444444,0.4184722222222222,0.4199722222222222,0.4249166666666666,0.4252777777777777,0.4233888888888888,0.4251666666666667,0.4295,0.4278055555555555,0.4319722222222222,0.4327222222222222,0.42825,0.4358333333333333,0.4371111111111111,0.4380277777777778,0.4393055555555555,0.4447222222222222,0.4411944444444444,0.4439722222222222,0.4461944444444444,0.4497777777777778,0.44875,0.452,0.4532222222222222,0.45252777777777775
-6,0.4243611111111111,0.4775833333333333,0.5008888888888889,0.5160277777777778,0.5259722222222222,0.5365555555555556,0.5435,0.5495833333333333,0.5570833333333334,0.5581666666666667,0.5582777777777778,0.5635,0.5676388888888889,0.5691111111111111,0.5731944444444445,0.573,0.5735277777777777,0.5794444444444444,0.5807222222222223,0.5807777777777777,0.5846944444444444,0.5839166666666666,0.5895,0.5857777777777777,0.5910833333333333,0.5917777777777777,0.5958333333333333,0.5949722222222222,0.5984166666666667,0.5985277777777778,0.6015,0.6006388888888889,0.6045555555555555,0.6043333333333333,0.6078333333333333,0.6052222222222222,0.6093055555555555,0.6104722222222222
-4,0.5309722222222222,0.6109444444444444,0.6424444444444445,0.6572777777777777,0.6688333333333333,0.68275,0.6945277777777777,0.7036944444444444,0.7071388888888889,0.7135555555555556,0.7197777777777777,0.7245833333333334,0.7295277777777778,0.7334166666666667,0.7406388888888888,0.7411111111111112,0.7424166666666666,0.7435833333333334,0.7492777777777778,0.7465277777777778,0.7508055555555555,0.7548611111111111,0.7571388888888889,0.76,0.7587222222222222,0.7582222222222222,0.7654444444444445,0.7661944444444444,0.7668333333333334,0.7668055555555555,0.7706111111111111,0.7698333333333334,0.7734166666666666,0.7715833333333333,0.7706666666666667,0.7748055555555555,0.7745277777777778,0.7782222222222223
-2,0.6205833333333334,0.7205,0.7612222222222222,0.7858333333333334,0.7965,0.8113888888888889,0.8218333333333333,0.8321944444444445,0.8373333333333334,0.843,0.8476111111111111,0.853,0.8548333333333333,0.8580833333333333,0.8606944444444444,0.8611666666666666,0.8658333333333333,0.8655555555555555,0.8661944444444445,0.8660555555555556,0.8687777777777778,0.8726944444444444,0.8756388888888889,0.8745277777777778,0.8756944444444444,0.8745555555555555,0.8780833333333333,0.8770277777777777,0.8771944444444445,0.8795555555555555,0.8796944444444444,0.8804722222222222,0.8814444444444445,0.8814722222222222,0.8821944444444444,0.8828888888888888,0.88375,0.8830555555555556
0,0.6812777777777778,0.7961944444444444,0.8363888888888888,0.8565833333333334,0.8731666666666666,0.8814444444444445,0.8928333333333334,0.89725,0.9011944444444444,0.9038611111111112,0.9037777777777778,0.9088333333333334,0.9095833333333332,0.9103333333333332,0.9115277777777778,0.9107777777777778,0.9133055555555556,0.91225,0.9145,0.9136111111111112,0.9142222222222224,0.9172222222222224,0.9150833333333334,0.9158611111111112,0.9186944444444444,0.9178333333333332,0.9171944444444444,0.9170277777777778,0.9201944444444444,0.9185,0.9184166666666668,0.9185277777777778,0.9185277777777778,0.9205,0.9185833333333332,0.9191666666666668,0.9188333333333332,0.9211666666666667
2,0.7071666666666667,0.828,0.8639444444444444,0.8883333333333333,0.8961388888888889,0.9078888888888887,0.9135,0.9157222222222222,0.91825,0.9198055555555557,0.9213888888888888,0.9228055555555555,0.9235833333333332,0.9254166666666668,0.9254722222222224,0.9244722222222224,0.9254722222222224,0.9245277777777776,0.9268333333333332,0.9264444444444444,0.9261944444444444,0.9271666666666668,0.9275,0.9269444444444443,0.9286944444444444,0.9287222222222222,0.9284444444444444,0.9275555555555556,0.9280833333333334,0.9274166666666668,0.9291944444444444,0.92775,0.9287222222222222,0.9297222222222222,0.9287222222222222,0.9290833333333334,0.9283055555555556,0.9298888888888889
4,0.7118055555555556,0.8386944444444444,0.8768888888888889,0.8979166666666667,0.9101944444444444,0.9168333333333332,0.92225,0.9241388888888888,0.9254722222222224,0.926,0.9279722222222222,0.9274444444444444,0.9294444444444444,0.9290833333333334,0.9298055555555556,0.9303611111111112,0.9304444444444444,0.9299166666666666,0.9316111111111112,0.9308333333333332,0.9306944444444444,0.9306111111111112,0.9318611111111113,0.931,0.9310833333333334,0.9320555555555556,0.9316666666666666,0.9317777777777778,0.9315833333333332,0.9319166666666666,0.933,0.9316944444444444,0.93275,0.9325833333333332,0.9319166666666666,0.9326111111111112,0.9323333333333332,0.933
