SNR,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
-20,0.1039722222222222,0.1043333333333333,0.1064166666666666,0.1066388888888889,0.1074444444444444,0.1056666666666666,0.1055555555555555,0.1072222222222222,0.10425,0.1075555555555555,0.1078611111111111,0.1066111111111111,0.1078888888888889,0.1084722222222222,0.1091944444444444,0.1090277777777777,0.1091388888888888,0.1096388888888888,0.1120277777777777,0.1095833333333333,0.1123888888888888,0.1136944444444444,0.11575,0.1164166666666666,0.1146944444444444,0.1188055555555555,0.1183888888888888,0.1195,0.1186944444444444,0.1209444444444444,0.1205277777777777,0.12230555555555556
-18,0.1096666666666666,0.1108333333333333,0.1112777777777777,0.10925,0.1091944444444444,0.1126111111111111,0.1116111111111111,0.1129166666666666,0.1096944444444444,0.11425,0.11225,0.1116944444444444,0.1124444444444444,0.1129444444444444,0.1128055555555555,0.1124444444444444,0.1124722222222222,0.1145277777777777,0.115,0.1183333333333333,0.1168333333333333,0.1175833333333333,0.1171111111111111,0.1190555555555555,0.1230277777777777,0.1259444444444444,0.1260555555555555,0.1258611111111111,0.1280277777777777,0.1269722222222222,0.12775,0.12927777777777777
-16,0.12,0.1220555555555555,0.1238055555555555,0.1256944444444444,0.12525,0.124,0.1245555555555555,0.1275833333333333,0.1247222222222222,0.1258333333333333,0.1241666666666666,0.1299166666666666,0.1273333333333333,0.1286666666666666,0.1296111111111111,0.1298611111111111,0.1284444444444444,0.1320555555555555,0.1334722222222222,0.13275,0.1316388888888889,0.1369444444444444,0.1386111111111111,0.1408888888888889,0.1398611111111111,0.1420277777777777,0.1429444444444444,0.142,0.1461944444444444,0.1463055555555555,0.1481944444444444,0.14802777777777779
-14,0.1389722222222222,0.1479444444444444,0.1570555555555555,0.1597222222222222,0.1607777777777777,0.1625,0.1638888888888889,0.1605833333333333,0.1618611111111111,0.1614722222222222,0.16175,0.1634444444444444,0.1624444444444444,0.1625833333333333,0.1674722222222222,0.1667222222222222,0.1710555555555555,0.1706944444444444,0.1689166666666666,0.1723888888888889,0.1752222222222222,0.1787222222222222,0.1776666666666666,0.1811944444444444,0.1811666666666666,0.1854444444444444,0.18775,0.18575,0.1887777777777777,0.1923055555555555,0.1925277777777777,0.19177777777777777
-12,0.2036388888888889,0.2151388888888888,0.20725,0.2115,0.2132777777777778,0.212,0.2118055555555555,0.2170277777777777,0.2189444444444444,0.2192777777777777,0.2198888888888888,0.2206388888888888,0.2196666666666666,0.2230277777777777,0.2210833333333333,0.2268333333333333,0.2265555555555555,0.2268611111111111,0.2305277777777777,0.2299444444444444,0.2304722222222222,0.2366944444444444,0.2376666666666666,0.2393888888888889,0.2401388888888889,0.2460555555555555,0.24625,0.2461111111111111,0.2489722222222222,0.2496944444444444,0.2501388888888889,0.2520833333333333
-10,0.2897222222222222,0.303,0.3018333333333333,0.2983055555555555,0.3045,0.3026388888888889,0.3088055555555555,0.3115277777777778,0.3142777777777777,0.3159722222222222,0.3191666666666666,0.3202222222222222,0.3202222222222222,0.3302777777777778,0.3292222222222222,0.3295555555555555,0.3285555555555555,0.3363888888888889,0.3336111111111111,0.3338333333333333,0.3376111111111111,0.3423055555555555,0.3446666666666667,0.348,0.3476944444444444,0.3552777777777778,0.3530277777777778,0.3579166666666666,0.3590833333333333,0.3594166666666666,0.3617222222222222,0.36169444444444443
-8,0.36925,0.3876388888888888,0.4188333333333333,0.4189444444444444,0.4219444444444444,0.4278333333333333,0.4280555555555556,0.4297777777777777,0.4306388888888889,0.4331666666666666,0.4350555555555555,0.4356666666666666,0.4388611111111111,0.4501944444444444,0.4535833333333333,0.4564444444444444,0.4601388888888889,0.4573888888888889,0.4605,0.4623611111111111,0.4646388888888889,0.4723333333333333,0.4799722222222222,0.4805555555555555,0.4823055555555555,0.4925,0.4919166666666666,0.4915277777777778,0.4948888888888889,0.5007777777777778,0.4995555555555555,0.49780555555555556
-6,0.4816111111111111,0.5163333333333333,0.5515555555555556,0.5658611111111111,0.5733055555555555,0.5795277777777778,0.5847222222222223,0.5875277777777778,0.5882222222222222,0.5935,0.5946388888888889,0.5967222222222223,0.5977777777777777,0.6118055555555556,0.6129722222222223,0.6182777777777778,0.6226666666666667,0.6224166666666666,0.6258333333333334,0.6287222222222222,0.6296388888888889,0.6398333333333334,0.6431111111111111,0.6490833333333333,0.6499166666666667,0.6578611111111111,0.6619444444444444,0.6626944444444445,0.6656111111111112,0.6688611111111111,0.66925,0.6713611111111111
-4,0.5997777777777777,0.6604722222222222,0.6971388888888889,0.7129444444444445,0.7237777777777777,0.7367777777777778,0.7420277777777777,0.7487777777777778,0.7503611111111111,0.7553055555555556,0.7595555555555555,0.7630277777777777,0.7639444444444444,0.7788611111111111,0.7784722222222222,0.7825555555555556,0.7868611111111111,0.7864444444444444,0.7907222222222222,0.7923888888888889,0.7938055555555555,0.8045,0.80425,0.8078888888888889,0.8083055555555556,0.8163611111111111,0.81675,0.8176666666666667,0.8189444444444445,0.8222777777777778,0.8248888888888889,0.8253333333333334
-2,0.6825277777777777,0.7649444444444444,0.8124722222222223,0.8324444444444444,0.8430277777777778,0.8505833333333334,0.8568888888888889,0.8624166666666667,0.8644166666666667,0.8676388888888888,0.8700555555555556,0.8735,0.8733333333333333,0.8825555555555555,0.8851388888888889,0.8863611111111112,0.8860833333333333,0.8887777777777778,0.8906666666666667,0.8900833333333333,0.8904166666666666,0.8965277777777778,0.8970833333333333,0.8988611111111111,0.8978055555555555,0.9019722222222222,0.90175,0.9025555555555556,0.9035,0.9055833333333332,0.9058888888888889,0.9071666666666667
