SNR,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
-20,0.1065555555555555,0.104,0.1038611111111111,0.1056388888888889,0.1060277777777777,0.1040833333333333,0.107,0.105,0.1062222222222222,0.10625,0.1061944444444444,0.1076388888888889,0.1066111111111111,0.1105555555555555,0.1087222222222222,0.10575,0.1075277777777777,0.1091388888888888,0.1089722222222222,0.1085277777777777,0.1126111111111111,0.1105,0.11175,0.1143888888888888,0.1152777777777777,0.1141111111111111,0.1184722222222222,0.1189444444444444,0.1196666666666666,0.1242222222222222,0.12705555555555556
-18,0.1080833333333333,0.1082777777777777,0.1101388888888888,0.1102777777777777,0.1120277777777777,0.1096666666666666,0.1117222222222222,0.1072777777777777,0.1130277777777777,0.1136944444444444,0.1123333333333333,0.1111388888888888,0.1111388888888888,0.11475,0.1126944444444444,0.1126111111111111,0.1133611111111111,0.1131111111111111,0.11475,0.1173333333333333,0.1175277777777777,0.1191111111111111,0.1194444444444444,0.1193611111111111,0.12125,0.1217222222222222,0.1237222222222222,0.1232222222222222,0.1265,0.1298611111111111,0.13225
-16,0.1185,0.12075,0.1214166666666666,0.1206388888888888,0.1212777777777777,0.1245,0.123,0.1285555555555555,0.1279444444444444,0.1258055555555555,0.1259444444444444,0.1285555555555555,0.1259722222222222,0.1239722222222222,0.1290833333333333,0.1301111111111111,0.1293055555555555,0.1306944444444444,0.1313611111111111,0.1329166666666666,0.1368611111111111,0.1331111111111111,0.1365833333333333,0.1380277777777777,0.1398333333333333,0.1408888888888889,0.1439722222222222,0.1415,0.1466944444444444,0.1512777777777778,0.15294444444444444
-14,0.1414166666666666,0.1513333333333333,0.1578333333333333,0.1580833333333333,0.1622777777777777,0.1649444444444444,0.1595,0.16375,0.1622777777777777,0.16375,0.1625,0.1625277777777777,0.1653055555555555,0.1653055555555555,0.1665833333333333,0.1673055555555555,0.1675,0.1661388888888889,0.1703333333333333,0.1713888888888889,0.17175,0.1735,0.1765,0.17675,0.1781111111111111,0.1801111111111111,0.1806944444444444,0.1800833333333333,0.1829444444444444,0.1903611111111111,0.19230555555555556
-12,0.2005555555555555,0.2179166666666666,0.2083333333333333,0.2146944444444444,0.2161944444444444,0.2196944444444444,0.2190277777777777,0.2198055555555555,0.2211111111111111,0.2199166666666666,0.2198611111111111,0.2199444444444444,0.2199166666666666,0.2217222222222222,0.2213333333333333,0.2236111111111111,0.2212222222222222,0.2228333333333333,0.2305555555555555,0.2321388888888889,0.2354166666666666,0.2344444444444444,0.2366388888888889,0.2389444444444444,0.2382777777777777,0.2420277777777777,0.2421111111111111,0.2450277777777778,0.2486111111111111,0.2542222222222222,0.25480555555555556
-10,0.28325,0.3064722222222222,0.2968055555555555,0.2965277777777778,0.301,0.3052222222222222,0.306,0.3114722222222222,0.3135,0.3117777777777777,0.3144722222222222,0.3160277777777778,0.3155555555555555,0.3200833333333333,0.3219722222222222,0.32325,0.3229166666666667,0.3257222222222222,0.3283333333333333,0.3308055555555556,0.3388333333333333,0.3348333333333333,0.3426388888888889,0.3416944444444444,0.3430555555555555,0.3454444444444444,0.3474444444444444,0.3492222222222222,0.3548333333333333,0.3585277777777778,0.3615833333333333
-8,0.3704444444444444,0.4011111111111111,0.4189444444444444,0.4186111111111111,0.4224722222222222,0.4276666666666666,0.4277222222222222,0.4278888888888889,0.4331111111111111,0.4350555555555555,0.4387777777777777,0.4403888888888889,0.4431388888888889,0.4446666666666666,0.4470833333333333,0.4468333333333333,0.4551111111111111,0.4528333333333333,0.4558888888888889,0.4643611111111111,0.4659722222222222,0.465,0.4739722222222222,0.4730555555555555,0.4746944444444444,0.4789444444444444,0.47725,0.4862222222222222,0.4809166666666666,0.4928333333333333,0.4951111111111111
-6,0.4788333333333333,0.5242777777777777,0.5601388888888889,0.5714444444444444,0.5774166666666667,0.5820833333333333,0.586,0.5912777777777778,0.5910555555555556,0.59175,0.5953055555555555,0.5974722222222222,0.5991944444444445,0.6024722222222222,0.6028055555555556,0.6103333333333333,0.6068333333333333,0.6128888888888889,0.6135833333333334,0.6289166666666667,0.6314166666666666,0.63275,0.63375,0.6387777777777778,0.6377222222222222,0.64275,0.6470277777777778,0.6463611111111112,0.6486111111111111,0.6636944444444445,0.6673611111111111
-4,0.5981111111111111,0.6626944444444445,0.7050277777777778,0.7217222222222223,0.7315277777777778,0.7406388888888888,0.7455555555555555,0.7493333333333333,0.7538333333333334,0.757,0.7599722222222223,0.7624166666666666,0.7643888888888889,0.7687777777777778,0.7687777777777778,0.7755555555555556,0.7756111111111111,0.7781388888888889,0.7815833333333333,0.7935,0.7957222222222222,0.7994444444444444,0.8025555555555556,0.8025555555555556,0.8027222222222222,0.8078888888888889,0.8087222222222222,0.8081388888888889,0.8127222222222222,0.82175,0.8248888888888889
-2,0.6783055555555556,0.7674722222222222,0.8245277777777777,0.8410833333333333,0.8483055555555555,0.8561388888888889,0.8588611111111111,0.864,0.8685,0.8699444444444444,0.87325,0.8751388888888889,0.8789722222222223,0.8778888888888889,0.8809722222222223,0.8801666666666667,0.8839444444444444,0.8850555555555556,0.8846111111111111,0.8919166666666667,0.8945,0.8976111111111111,0.8955277777777778,0.8975,0.8978333333333334,0.8989722222222222,0.8984722222222222,0.9009444444444444,0.9005833333333333,0.9053333333333332,0.9071388888888889
