SNR,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
-20,0.1034444444444444,0.1064722222222222,0.1081666666666666,0.1061944444444444,0.1063333333333333,0.1055833333333333,0.1041944444444444,0.1066388888888889,0.10625,0.1050555555555555,0.1078055555555555,0.1042777777777777,0.1101944444444444,0.1039444444444444,0.1056666666666666,0.1068333333333333,0.1107777777777777,0.1083333333333333,0.1100277777777777,0.1099444444444444,0.1118888888888888,0.1124166666666666,0.1119444444444444,0.1114722222222222,0.1148333333333333,0.1173055555555555,0.1179166666666666,0.1195833333333333,0.1203333333333333,0.1241111111111111,0.1251666666666666,0.12625,0.12658333333333333
-18,0.1098055555555555,0.1111111111111111,0.1103888888888888,0.11075,0.1093333333333333,0.1108333333333333,0.1107777777777777,0.11,0.1110833333333333,0.1110555555555555,0.1110555555555555,0.1128888888888888,0.1126388888888888,0.1157777777777777,0.1143611111111111,0.1158055555555555,0.11125,0.1139166666666666,0.1151944444444444,0.1154722222222222,0.1185,0.1213333333333333,0.1213333333333333,0.1224166666666666,0.1228055555555555,0.1255277777777777,0.1263611111111111,0.1289722222222222,0.1291944444444444,0.1311388888888889,0.1334166666666666,0.1338611111111111,0.13702777777777778
-16,0.1169722222222222,0.1216666666666666,0.1243055555555555,0.1238611111111111,0.1210833333333333,0.1253888888888888,0.1230833333333333,0.1253888888888888,0.1241388888888888,0.1253055555555555,0.1272777777777777,0.1271666666666666,0.1261388888888888,0.1256666666666666,0.1283055555555555,0.125,0.1310555555555555,0.1306388888888889,0.1305,0.1306666666666666,0.1340833333333333,0.1374444444444444,0.1384166666666666,0.1370555555555555,0.14,0.1422777777777777,0.1433333333333333,0.1464722222222222,0.1485277777777778,0.1498611111111111,0.1502222222222222,0.1548333333333333,0.15433333333333332
-14,0.1369722222222222,0.1491388888888888,0.1525,0.1608888888888889,0.1562777777777777,0.1611388888888889,0.1614722222222222,0.1607777777777777,0.1616944444444444,0.1627777777777777,0.1626666666666666,0.1610277777777777,0.1650833333333333,0.1603611111111111,0.165,0.1639166666666666,0.1662222222222222,0.1648888888888889,0.1658055555555555,0.1686388888888889,0.1745277777777777,0.1739444444444444,0.1769166666666666,0.1770555555555555,0.1785833333333333,0.1813055555555555,0.1830833333333333,0.1885555555555555,0.1881666666666666,0.1915833333333333,0.1941666666666666,0.1913611111111111,0.19483333333333333
-12,0.1988055555555555,0.2179166666666666,0.2095555555555555,0.2174444444444444,0.2146388888888888,0.2160277777777778,0.2188611111111111,0.2183055555555555,0.2195555555555555,0.2209444444444444,0.2236388888888889,0.2193611111111111,0.2222222222222222,0.2259166666666666,0.2246944444444444,0.2250833333333333,0.2235277777777777,0.2308888888888889,0.2268055555555555,0.2283333333333333,0.2323055555555555,0.2376666666666666,0.2365833333333333,0.2402777777777777,0.2423611111111111,0.2451388888888888,0.2491111111111111,0.2490277777777777,0.2499444444444444,0.2544444444444444,0.259,0.2616944444444444,0.25833333333333336
-10,0.2863333333333333,0.3086111111111111,0.2962222222222222,0.29575,0.3030555555555556,0.3041666666666666,0.3064166666666666,0.3093611111111111,0.3154722222222222,0.3170277777777778,0.3113888888888889,0.3168888888888889,0.3184722222222222,0.3218333333333333,0.3222777777777778,0.32075,0.3219166666666667,0.3244444444444444,0.3250277777777778,0.3280555555555555,0.3366666666666666,0.33625,0.3421944444444444,0.34225,0.3435,0.3503888888888889,0.3521388888888889,0.3519722222222222,0.3555,0.3624444444444444,0.3623611111111111,0.3650833333333333,0.3642222222222222
-8,0.3765833333333333,0.403,0.42275,0.4186666666666667,0.4241388888888889,0.4268611111111111,0.4273055555555555,0.4298888888888889,0.4316388888888889,0.4305555555555556,0.4366111111111111,0.4349444444444444,0.43875,0.4376944444444444,0.4449722222222222,0.4446111111111111,0.4468333333333333,0.4457777777777778,0.4513611111111111,0.4536666666666666,0.4663888888888889,0.4688611111111111,0.4673888888888889,0.4718333333333333,0.4776111111111111,0.4838333333333333,0.4881666666666667,0.4899166666666666,0.4915555555555556,0.4987777777777777,0.5029722222222223,0.5017222222222222,0.5038611111111111
-6,0.4873055555555555,0.5245,0.5546111111111112,0.5656111111111111,0.5741944444444445,0.5823611111111111,0.5805833333333333,0.5839166666666666,0.58575,0.5869722222222222,0.5920833333333333,0.5943611111111111,0.5978888888888889,0.5999166666666667,0.6036388888888888,0.6071111111111112,0.6069166666666667,0.6086944444444444,0.61325,0.6124444444444445,0.6281944444444445,0.6328611111111111,0.6379722222222223,0.6378055555555555,0.64275,0.6535833333333333,0.6567777777777778,0.6585277777777778,0.6613333333333333,0.6711666666666667,0.6686666666666666,0.6702222222222223,0.6744166666666667
-4,0.5995277777777778,0.6529722222222222,0.6956944444444444,0.7185555555555555,0.7264722222222222,0.7343888888888889,0.7421666666666666,0.7480833333333333,0.7521111111111111,0.7551388888888889,0.7574166666666666,0.7631944444444444,0.7697777777777778,0.7679166666666667,0.77225,0.7764722222222222,0.7796944444444445,0.7783888888888889,0.7819444444444444,0.7860277777777778,0.8003888888888889,0.8001111111111111,0.80375,0.8045555555555556,0.8060277777777778,0.8141388888888889,0.8185,0.8177777777777778,0.8217777777777778,0.8257777777777778,0.8253333333333334,0.8308888888888889,0.8281388888888889
-2,0.67575,0.7509166666666667,0.8108611111111111,0.8293055555555555,0.84225,0.8473055555555555,0.8526944444444444,0.8587777777777778,0.861,0.86625,0.8671111111111112,0.87575,0.8784722222222222,0.8808888888888889,0.8806666666666667,0.8835277777777778,0.8846944444444444,0.8872222222222222,0.8874722222222222,0.8888611111111111,0.8950833333333333,0.8954444444444445,0.8975,0.8972777777777777,0.8982777777777777,0.9043055555555556,0.9035,0.9054444444444444,0.9059166666666668,0.9073055555555556,0.9076111111111111,0.9079444444444444,0.9088055555555555
0,0.7229444444444444,0.8091666666666667,0.8735833333333334,0.8896666666666667,0.898,0.9013611111111112,0.9081388888888888,0.9101388888888888,0.9107222222222222,0.9132777777777776,0.9140833333333334,0.9164166666666668,0.91725,0.91775,0.9183888888888888,0.9190277777777778,0.9201666666666668,0.9200555555555556,0.9206388888888888,0.9209722222222222,0.9235555555555556,0.9249722222222222,0.9251666666666668,0.9256944444444444,0.9248333333333332,0.9267777777777778,0.9272222222222222,0.9271111111111112,0.926,0.9275277777777776,0.9285833333333332,0.9275,0.9265555555555556
2,0.7497777777777778,0.8297222222222222,0.8951388888888889,0.9091388888888888,0.9139166666666668,0.9183055555555556,0.9215277777777776,0.9226111111111112,0.9241944444444444,0.9256666666666666,0.9258333333333332,0.92575,0.9276388888888888,0.9269722222222222,0.9278888888888888,0.9285833333333332,0.9283333333333332,0.92875,0.9296666666666666,0.9293055555555556,0.9300277777777778,0.9313055555555556,0.9314444444444444,0.9311944444444444,0.9310833333333334,0.9322222222222222,0.9320277777777778,0.9325277777777776,0.9326388888888888,0.9326666666666666,0.9320277777777778,0.9321944444444444,0.9327777777777778
4,0.7561666666666667,0.8391666666666666,0.9042777777777776,0.9165555555555556,0.9206111111111112,0.9238888888888888,0.92625,0.9269166666666668,0.9283888888888888,0.9284444444444444,0.9295555555555556,0.9299444444444444,0.9295833333333332,0.9308888888888888,0.9308333333333332,0.9319722222222222,0.9312222222222222,0.9312777777777778,0.9308333333333332,0.9321388888888889,0.9339444444444444,0.9335833333333332,0.93425,0.9326666666666666,0.9333888888888888,0.9338333333333332,0.9341111111111112,0.9338611111111113,0.9335833333333332,0.9349166666666666,0.9343333333333332,0.9349444444444444,0.9343611111111111
6,0.75975,0.8426666666666667,0.9086111111111111,0.9212777777777778,0.9252777777777778,0.9271388888888888,0.9304722222222224,0.9293611111111112,0.9318611111111113,0.9321111111111112,0.9320833333333334,0.9322222222222222,0.9331666666666668,0.9328055555555556,0.933,0.9315555555555556,0.9339444444444444,0.9337777777777778,0.9333055555555556,0.9348055555555556,0.9353055555555556,0.9359722222222222,0.9350833333333334,0.9355833333333332,0.9355833333333332,0.9368611111111113,0.9361111111111112,0.9364166666666668,0.9354444444444444,0.9368333333333332,0.9372777777777778,0.9369444444444444,0.9368611111111111
8,0.7649166666666667,0.8461111111111111,0.9115277777777778,0.9223888888888888,0.9266388888888888,0.9284444444444444,0.9298611111111112,0.933,0.9334166666666668,0.9319166666666666,0.9338611111111113,0.9336388888888888,0.9338055555555556,0.9346111111111112,0.9340833333333334,0.9345277777777776,0.9351944444444444,0.9351666666666668,0.9354166666666668,0.9363333333333334,0.9359444444444444,0.9360555555555556,0.9369444444444444,0.9375833333333332,0.9362777777777778,0.9380277777777778,0.9369722222222222,0.9372777777777778,0.9380277777777778,0.9377222222222222,0.9383888888888888,0.9385,0.9382777777777778
10,0.76675,0.8495,0.9142222222222224,0.9265555555555556,0.9295277777777776,0.93275,0.9333888888888888,0.9334166666666668,0.9345833333333332,0.9360555555555556,0.9360833333333334,0.9360555555555556,0.9372222222222222,0.9371944444444444,0.9373055555555556,0.9388611111111111,0.9373333333333334,0.938,0.9375277777777776,0.9386111111111112,0.9386666666666666,0.9384444444444444,0.9390555555555556,0.9383888888888888,0.9391388888888887,0.9398888888888888,0.9398333333333332,0.9396944444444444,0.9406388888888888,0.9392777777777778,0.9401666666666668,0.9397222222222222,0.9401111111111111
12,0.7658611111111111,0.8503888888888889,0.9141944444444444,0.9261388888888888,0.9294166666666668,0.9319722222222222,0.93325,0.9341944444444444,0.9353333333333332,0.9366388888888888,0.9353888888888888,0.9363611111111112,0.9373611111111112,0.9370833333333334,0.9371388888888889,0.9366666666666666,0.9381666666666668,0.9371666666666668,0.9382222222222222,0.9376666666666666,0.9388055555555556,0.938,0.9383888888888888,0.9389444444444444,0.9394444444444444,0.9386111111111112,0.9406388888888888,0.9395277777777776,0.9398888888888888,0.9406111111111112,0.9405833333333332,0.9408055555555556,0.9407777777777778
14,0.7664444444444445,0.8509444444444444,0.9148055555555556,0.9255,0.9298611111111112,0.9338611111111113,0.9335,0.9363055555555556,0.93725,0.9370833333333334,0.9371388888888889,0.9376388888888888,0.9371944444444444,0.937,0.9392777777777778,0.9375833333333332,0.9388055555555556,0.9381388888888887,0.9396944444444444,0.9388888888888888,0.9398055555555556,0.9418611111111111,0.9399722222222222,0.9388611111111111,0.9406666666666668,0.9419444444444444,0.9416111111111112,0.9407777777777778,0.9418333333333332,0.9426111111111112,0.9419166666666666,0.9421388888888887,0.9414166666666667
16,0.7683333333333333,0.8540833333333333,0.9175555555555556,0.9300555555555556,0.9325277777777776,0.9336944444444444,0.9365,0.9380833333333334,0.9379166666666666,0.9398333333333332,0.94025,0.9401666666666668,0.9411944444444444,0.9411666666666668,0.9425833333333332,0.9429444444444444,0.9421944444444444,0.9425833333333332,0.9415555555555556,0.9436388888888888,0.9444444444444444,0.9451388888888888,0.9456111111111112,0.9447777777777778,0.9453888888888888,0.9456944444444444,0.9456666666666668,0.9456388888888888,0.9448333333333332,0.9462777777777778,0.9467222222222222,0.9463333333333334,0.946
18,0.7654722222222222,0.8520277777777778,0.9188055555555557,0.9289166666666666,0.9331388888888889,0.9370277777777778,0.9384444444444444,0.9392777777777778,0.9395833333333332,0.9405,0.9412222222222222,0.9423333333333334,0.9410555555555556,0.9411388888888887,0.9436111111111112,0.9436944444444444,0.9433333333333334,0.9435833333333332,0.9445833333333332,0.9429722222222222,0.9457222222222222,0.9453055555555556,0.9450833333333334,0.9448333333333332,0.9458055555555556,0.9466944444444444,0.9462222222222222,0.9474722222222224,0.9481111111111112,0.9469444444444444,0.9470555555555557,0.9467777777777778,0.9465
Avg,0.5338958333333333,0.5885041666666667,0.6278888888888889,0.6371611111111111,0.6408347222222223,0.644125,0.6459444444444444,0.6477222222222222,0.6490972222222222,0.6501305555555555,0.6511277777777777,0.6520194444444445,0.6537555555555555,0.6538263888888889,0.6552972222222222,0.6557263888888889,0.6565791666666667,0.6570847222222223,0.6579416666666666,0.6588722222222222,0.6632125,0.6643486111111111,0.66525,0.6655263888888889,0.6669180555555555,0.6699180555555555,0.6709652777777778,0.6718277777777778,0.6726625,0.6751,0.6757986111111111,0.6764861111111111,0.6767097222222223
